Название,Синоним
"Вычислительные системы, сети и телекоммуникации",Выч сети сист и телекомун
Иностранный язык,Ин Яз
Безопасность жизнедеятельности,БЖД
Введение в профессиональную деятельность,Проф деят
Теория и практика  эффективного речевого общения,Эффектив реч общ
Теория и практика эффективного речевого общения,Эффектив реч общ
Математический анализ,Мат Анализ
Теория функций комплексного переменного,ТФКП
Операционные системы и сети ЭВМ,ОС и сети ЭВМ
Теория случайных процессов,Теория случ проц
Математическое моделирование,Мат моделирование
Математический анализ. Дополнительные главы,Мат Анализ Доп
Уравнения математической физики,Ур Мат физики
Физическая культура и спорт,Физ культ
Прикладная физическая культура и спорт,Прик Физ культ
Интегральные преобразования и их применение,Интегр преобр
Информационная безопасность и защита информации,ИБЗИ
Методика обучения математике,Методика обуч мат
Основы компьютерной алгебры,Основы комп алгебр
Научно-исследовательская работа (получение первичных навыков научно-исследовательской работы),НИР первично
Научно - исследовательская работа,НИР
Междисциплинарный курсовой проект базового уровня,Междисциплин курс проект
Основы проектирования программного обеспечения,Основы проект ПО
Основы конструирования средств вычислительной техники,Основы констр СВТ
Системное программное обеспечение,Системное ПО
Базы данных,БД
"Теория автоматов, языков и вычислений",ТАЯВ
"История (история России, всеобщая история)",История
