з.е.,Распределение з.е. по курсам и периодам обучения,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Курс 1,,,,,,,,,Курс 2,,,,,,,,,Курс 3,,,,,,,,,Курс 4,,,,,,,
,,Сем. 1,,,,Сем. 2,,,,,Сем. 3,,,,Сем. 4,,,,,Сем. 5,,,,Сем. 6,,,,,Сем. 7,,,,Сем. 8,,,
,,,Индекс,Наименование,з.е.,,Индекс,Наименование,з.е.,,,Индекс,Наименование,з.е.,,Индекс,Наименование,з.е.,,,Индекс,Наименование,з.е.,,Индекс,Наименование,з.е.,,,Индекс,Наименование,з.е.,,Индекс,Наименование,з.е.
,,,,"Б3.О.01(Д)
выполнение и защита выпускной квалификационной работы
УК-1.1; УК-1.2; УК-1.3; УК-1.4; УК-1.5; УК-2.1; УК-2.2; УК-2.3; УК-2.4; УК-3.1; УК-3.2; УК-3.3; УК-3.4; УК-4.1; УК-4.2; УК-4.3; УК-4.4; УК-4.5; УК-5.1; УК-5.2; УК-5.3; УК-6.1; УК-6.2; УК-6.3; УК-6.4; УК-6.5; УК-7.1; УК-7.2; УК-8.1; УК-8.2; УК-8.3; УК-8.4; УК-9.1; УК-9.2; УК-9.3; УК-10.1; УК-10.2; ОПК-1.1; ОПК-1.2; ОПК-1.3; ОПК-2.1; ОПК-2.2; ОПК-2.3; ОПК-3.1; ОПК-3.2; ОПК-3.3; ОПК-4.1; ОПК-4.2; ОПК-4.3; ПК-1.1; ПК-1.2; ПК-1.3; ПК-2.1; ПК-2.2; ПК-2.3; ПК-3.1; ПК-3.2; ПК-3.3; ПК-4.1; ПК-4.2; ПК-4.3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Итого,,59,,,,,,,,,59,,,,,,,,,67,,,,,,,,,59,,,,,,,
Всего,,27.5,,,,31.5,,,,,28,,,,31,,,,,32.5,,,,34.5,,,,,30,,,,29,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,{$},,"Б1.О.02
История
[За]
УК-5.1; УК-5.2; УК-5.3",2,{$},,"Б1.О.02
История
[За]
УК-5.1; УК-5.2; УК-5.3",2,,{$},,"Б1.О.03
Иностранный язык
[За]
УК-4.1; УК-4.2; УК-4.3; УК-4.4; УК-4.5",2,{$},,"Б1.О.01
Философия
[Эк]
УК-1.1; УК-1.2; УК-1.3; УК-1.4; УК-1.5; УК-5.1; УК-5.2; УК-5.3; УК-6.1; УК-6.2; УК-6.3; УК-6.4; УК-6.5",4,,{$},,"Б1.О.16
Математическая статистика
[Эк]
ОПК-1.1; ОПК-1.2; ОПК-1.3",4,{$},,"Б1.О.22
Теория случайных процессов
[За]
ОПК-3.1; ОПК-3.2; ОПК-3.3",3,,{$},,"Б1.О.09
Экономика
[За]
УК-1.1; УК-1.2; УК-1.3; УК-1.4; УК-1.5; УК-2.1; УК-2.2; УК-2.3; УК-2.4; УК-9.1; УК-9.2; УК-9.3",3,{$},,"Б1.В.13
Методика обучения математике
[Эк]
ПК-1.1; ПК-1.2; ПК-1.3",3
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,,,{$},,,,{$},,,
