Индекс,,,,Наименование,Формируемые компетенции
Б1,,,,Дисциплины (модули),УК-1; УК-2; УК-3; УК-4; УК-5; УК-6; УК-7; УК-8; УК-9; УК-10; ОПК-1; ОПК-2; ОПК-3; ОПК-4; ПК-1; ПК-2; ПК-3; ПК-4
,Б1.О,,,Обязательная часть,УК-1; УК-2; УК-3; УК-4; УК-5; УК-6; УК-7; УК-8; УК-9; ОПК-1; ОПК-2; ОПК-3; ОПК-4
,,Б1.О.01,,Философия,УК-1; УК-5; УК-6
,,Б1.О.02,,История,УК-5
,,,Б1.О.02.01,История России,УК-5
,,,Б1.О.02.02,Всеобщая история,УК-5
,,Б1.О.03,,Иностранный язык,УК-4
,,Б1.О.04,,Безопасность жизнедеятельности,УК-8
,,Б1.О.05,,Информатика,ОПК-4
,,Б1.О.06,,Языки программирования,ОПК-4
,,Б1.О.07,,Физика,ОПК-1
,,Б1.О.08,,Введение в профессиональную деятельность,УК-2; ОПК-1
,,Б1.О.09,,Экономика,УК-1; УК-2; УК-9
,,Б1.О.10,,Теория и практика  эффективного речевого общения,УК-3; УК-4
,,Б1.О.11,,Математический анализ,ОПК-1
,,Б1.О.12,,Аналитическая геометрия,ОПК-1
,,Б1.О.13,,Математическая логика и теория алгоритмов,ОПК-1
,,Б1.О.14,,Дифференциальные уравнения,ОПК-1
,,Б1.О.15,,Теория вероятностей,ОПК-1
,,Б1.О.16,,Математическая статистика,ОПК-1
,,Б1.О.17,,Теория функций комплексного переменного,ОПК-1
,,Б1.О.18,,Исследование операций,ОПК-1
,,Б1.О.19,,Операционные системы и сети ЭВМ,ОПК-4
,,Б1.О.20,,Базы данных,ОПК-4
,,Б1.О.21,,Численные методы,ОПК-1
,,Б1.О.22,,Теория случайных процессов,ОПК-3
,,Б1.О.23,,Математическое моделирование,ОПК-1; ОПК-2; ОПК-3
,,Б1.О.24,,Математический анализ. Дополнительные главы,ОПК-1
,,Б1.О.25,,Дискретная математика,ОПК-1
,,Б1.О.26,,Алгебра,ОПК-1
,,Б1.О.27,,Уравнения математической физики,ОПК-1; ОПК-2
,,Б1.О.28,,Функциональный анализ,ОПК-1; ОПК-2
,,Б1.О.29,,Язык программирования Python для научных вычислений,ОПК-4
,,Б1.О.30,,Физическая культура и спорт,УК-7
,,Б1.О.31,,Прикладная физическая культура и спорт,УК-7
,,Б1.О.32,,Анализ данных,УК-1; ОПК-2; ОПК-3
,Б1.В,,,"Часть, формируемая участниками образовательных отношений",УК-10; ПК-1; ПК-2; ПК-3; ПК-4
,,Б1.В.01,,Методы оптимизации,ПК-1; ПК-3
,,Б1.В.02,,Теория чисел,ПК-1; ПК-3
,,Б1.В.03,,Интегральные преобразования и их применение,ПК-1; ПК-3
,,Б1.В.04,,Теоретическая механика,ПК-1; ПК-2
,,Б1.В.05,,Компьютерные сети,ПК-1
,,Б1.В.06,,Параллельное программирование,ПК-1
,,Б1.В.07,,Бакалаврский семинар,ПК-2; ПК-4
,,Б1.В.08,,Основы топологии,ПК-3
,,Б1.В.09,,Основы вычислительного эксперимента,ПК-3
,,Б1.В.10,,Информационная безопасность и защита информации,ПК-3
,,Б1.В.11,,Разностные методы,ПК-3
,,Б1.В.12,,Нечеткая логика и ее приложения,ПК-1
,,Б1.В.13,,Методика обучения математике,ПК-1
,,Б1.В.14,,Аналитическая механика,ПК-1; ПК-3
,,Б1.В.15,,Основы профилактики коррупции,УК-10
,,Б1.В.ДВ.01,,Дисциплины по выбору Б1.В.ДВ.1,ПК-2; ПК-3
