Индекс,,,Содержание,Тип
УК-1,,,"Способен осуществлять поиск, критический анализ и синтез информации, применять системный подход для решения поставленных задач",УК
,УК-1.1,,"Анализирует задачу, выделяя ее базовые составляющие.  Осуществляет декомпозицию задачи.",-
,,Б1.О.01,Философия,
,,Б1.О.09,Экономика,
,,Б1.О.32,Анализ данных,
,,Б3.О.01(Д),выполнение и защита выпускной квалификационной работы,
,УК-1.2,,"Находит и критически анализирует информацию, необходимую для решения поставленной задачи.  ",-
,,Б1.О.01,Философия,
,,Б1.О.09,Экономика,
,,Б1.О.32,Анализ данных,
,,Б3.О.01(Д),выполнение и защита выпускной квалификационной работы,
,УК-1.3,,"Рассматривает различные варианты решения задачи, оценивая их достоинства и недостатки.",-
,,Б1.О.01,Философия,
,,Б1.О.09,Экономика,
,,Б1.О.32,Анализ данных,
,,Б3.О.01(Д),выполнение и защита выпускной квалификационной работы,
,УК-1.4,,"Грамотно, логично, аргументированно формирует собственные суждения и оценки. Отличает факты от мнений, интерпретаций, оценок и т.д. в рассуждениях других участников деятельности.",-
,,Б1.О.01,Философия,
,,Б1.О.09,Экономика,
,,Б1.О.32,Анализ данных,
,,Б3.О.01(Д),выполнение и защита выпускной квалификационной работы,
,УК-1.5,,Определяет и оценивает практические последствия возможных решений задачи.,-
,,Б1.О.01,Философия,
,,Б1.О.09,Экономика,
,,Б1.О.32,Анализ данных,
,,Б3.О.01(Д),выполнение и защита выпускной квалификационной работы,
УК-2,,,"Способен определять круг задач в рамках поставленной цели и выбирать оптимальные способы их решения, исходя из действующих правовых норм, имеющихся ресурсов и ограничений",УК
,УК-2.1,,"Формулирует в рамках поставленной цели проекта совокупность взаимосвязанных задач, обеспечивающих ее достижение. Определяет ожидаемые результаты решения выделенных задач.",-
,,Б1.О.08,Введение в профессиональную деятельность,
,,Б1.О.09,Экономика,
,,Б3.О.01(Д),выполнение и защита выпускной квалификационной работы,
,УК-2.2,,"Проектирует решение конкретной задачи проекта, выбирая оптимальный способ ее решения, исходя из действующих правовых норм и имеющихся ресурсов и ограничений.",-
,,Б1.О.08,Введение в профессиональную деятельность,
,,Б1.О.09,Экономика,
,,Б3.О.01(Д),выполнение и защита выпускной квалификационной работы,
,УК-2.3,,Решает конкретные задачи проекта заявленного качества и за установленное время,-
,,Б1.О.08,Введение в профессиональную деятельность,
,,Б1.О.09,Экономика,
,,Б3.О.01(Д),выполнение и защита выпускной квалификационной работы,
,УК-2.4,,Публично представляет результаты решения конкретной задачи проекта.,-
,,Б1.О.08,Введение в профессиональную деятельность,
,,Б1.О.09,Экономика,
,,Б3.О.01(Д),выполнение и защита выпускной квалификационной работы,
УК-3,,,Способен осуществлять социальное взаимодействие и реализовывать свою роль в команде,УК
,УК-3.1,,"Понимает эффективность использования стратегии сотрудничества для достижения поставленной цели, определяет свою роль в команде.",-
,,Б1.О.10,Теория и практика  эффективного речевого общения,
,,Б3.О.01(Д),выполнение и защита выпускной квалификационной работы,
,УК-3.2,,"Понимает особенности поведения выделенных групп людей, с которыми работает/взаимодействует, учитывает их в своей деятельности (выбор категорий групп людей осуществляется образовательной организацией в зависимости от целей подготовки – по возрастным особенностям, по этническому или религиозному признаку, социально незащищенные слои населения и т.п).",-
,,Б1.О.10,Теория и практика  эффективного речевого общения,
,,Б3.О.01(Д),выполнение и защита выпускной квалификационной работы,
,УК-3.3,,Предвидит результаты (последствия) личных действий и планирует последовательность шагов для достижения заданного результата.,-
,,Б1.О.10,Теория и практика  эффективного речевого общения,
,,Б3.О.01(Д),выполнение и защита выпускной квалификационной работы,
,УК-3.4,,"Эффективно взаимодействует с другими членами команды, в т.ч. участвует в обмене информацией, знаниями и опытом, и презентации результатов работы команды.",-
,,Б1.О.10,Теория и практика  эффективного речевого общения,
,,Б3.О.01(Д),выполнение и защита выпускной квалификационной работы,
УК-4,,,Способен осуществлять деловую коммуникацию в устной и письменной формах на государственном языке Российской Федерации и иностранном(ых) языке(ах),УК
,УК-4.1,,"Выбирает на государственном и иностранном (-ых) языках коммуникативно приемлемые стиль делового общения, вербальные и невербальные средства взаимодействия с партнерами.",-
,,Б1.О.03,Иностранный язык,
,,Б1.О.10,Теория и практика  эффективного речевого общения,
,,Б3.О.01(Д),выполнение и защита выпускной квалификационной работы,
,УК-4.2,,Использует информационно-коммуникационные технологии при поиске необходимой информации в процессе   решения стандартных коммуникативных задач на государственном и иностранном (-ых) языках.,-
,,Б1.О.03,Иностранный язык,
,,Б1.О.10,Теория и практика  эффективного речевого общения,
,,Б3.О.01(Д),выполнение и защита выпускной квалификационной работы,
,УК-4.3,,"Ведет деловую переписку, учитывая   особенности стилистики официальных и неофициальных писем, социокультурные различия в формате корреспонденции на государственном и иностранном (-ых) языках.",-
,,Б1.О.03,Иностранный язык,
,,Б1.О.10,Теория и практика  эффективного речевого общения,
,,Б3.О.01(Д),выполнение и защита выпускной квалификационной работы,
,УК-4.4,,Умеет коммуникативно и культурно приемлемо вести устные деловые разговоры на государственном и иностранном (-ых) языках.,-
,,Б1.О.03,Иностранный язык,
,,Б1.О.10,Теория и практика  эффективного речевого общения,
,,Б3.О.01(Д),выполнение и защита выпускной квалификационной работы,
,УК-4.5,,Демонстрирует умение выполнять перевод академических  текстов с иностранного (-ых)  на государственный язык.,-
,,Б1.О.03,Иностранный язык,
,,Б1.О.10,Теория и практика  эффективного речевого общения,
,,Б3.О.01(Д),выполнение и защита выпускной квалификационной работы,
УК-5,,,"Способен воспринимать межкультурное разнообразие общества в социально-историческом, этическом и философском контекстах",УК
,УК-5.1,,Находит и использует необходимую для саморазвития и взаимодействия с другими информацию о культурных особенностях и традициях различных социальных групп.,-
,,Б1.О.01,Философия,
,,Б1.О.02,История,
,,Б1.О.02.01,История России,
,,Б1.О.02.02,Всеобщая история,
,,Б3.О.01(Д),выполнение и защита выпускной квалификационной работы,
,УК-5.2,,"Демонстрирует уважительное отношение к историческому наследию и социокультурным традициям различных социальных групп, опирающееся на знание этапов исторического развития России (включая основные события, основных исторических деятелей) в контексте мировой истории и ряда культурных традиций мира (в зависимости от среды и задач образования), включая мировые религии, философские и этические учения.",-
,,Б1.О.01,Философия,
,,Б1.О.02,История,
,,Б1.О.02.01,История России,
,,Б1.О.02.02,Всеобщая история,
,,Б3.О.01(Д),выполнение и защита выпускной квалификационной работы,
,УК-5.3,,Умеет недискриминационно и конструктивно взаимодействовать с людьми с учетом их социокультурных особенностей в целях успешного выполнения профессиональных задач и усиления социальной интеграции.,-
,,Б1.О.01,Философия,
,,Б1.О.02,История,
,,Б1.О.02.01,История России,
,,Б1.О.02.02,Всеобщая история,
,,Б3.О.01(Д),выполнение и защита выпускной квалификационной работы,
УК-6,,,"Способен управлять своим временем, выстраивать и реализовывать траекторию саморазвития на основе принципов образования в течение всей жизни",УК
,УК-6.1,,"Применяет знание о своих ресурсах и их пределах (личностных, ситуативных, временных и т.д.), для успешного выполнения порученной работы.",-
,,Б1.О.01,Философия,
,,Б3.О.01(Д),выполнение и защита выпускной квалификационной работы,
,УК-6.2,,"Понимает важность планирования перспективных целей деятельности с учетом условий, средств, личностных возможностей, этапов карьерного роста, временной перспективы развития деятельности и требований рынка труда.",-
,,Б1.О.01,Философия,
,,Б3.О.01(Д),выполнение и защита выпускной квалификационной работы,
,УК-6.3,,"Реализует намеченные цели деятельности с учетом условий, средств, личностных возможностей, этапов карьерного роста, временной перспективы развития деятельности и требований рынка труда.",-
,,Б1.О.01,Философия,
,,Б3.О.01(Д),выполнение и защита выпускной квалификационной работы,
,УК-6.4,,"Критически оценивает эффективность использования времени и других ресурсов при решении поставленных задач, а также относительно полученного результата.",-
,,Б1.О.01,Философия,
,,Б3.О.01(Д),выполнение и защита выпускной квалификационной работы,
,УК-6.5,,Демонстрирует интерес к учебе и использует предоставляемые возможности для приобретения новых знаний и навыков.,-
