-,-,-,Форма контроля,,,,,,,з.е.,Итого акад.часов,,,,,Курс 1,,,,,,,,,,,,,,Курс 2,,,,,,,,,,,,,,Курс 3,,,,,,,,,,,,,,Курс 4,,,,,,,,,,,,,,Закрепленная кафедра
,,,,,,,,,,,,,,,,Семестр 1,,,,,,,Семестр 2,,,,,,,Семестр 3,,,,,,,Семестр 4,,,,,,,Семестр 5,,,,,,,Семестр 6,,,,,,,Семестр 7,,,,,,,Семестр 8,,,,,,,
Считать в плане,Индекс,Наименование,Экза мен,Зачет,Зачет с оц.,КП,КР,ДКР,Др,Факт,По плану,Конт. раб.,Ауд.,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,Код
Блок 1.Дисциплины (модули) ,,,,,,,,,,213,7996,3748,3748,3348,900,27.5,1040,186,,332,450,72,28.5,1076,202,18,298,414,144,28,1076,162,54,320,432,108,28,1076,198,18,320,396,144,28.5,1072,202,,312,450,108,28.5,1072,166,,330,468,108,30,1080,180,,288,504,108,14,504,72,,90,234,108,
Обязательная часть ,,,,,,,,,,139,5332,2722,2722,2034,576,27.5,1040,186,,332,450,72,28.5,1076,202,18,298,414,144,24,932,144,54,302,360,72,22,860,162,,284,270,144,15.5,604,112,,186,234,72,7.5,316,58,,132,90,36,14,504,108,,144,216,36,,,,,,,,
+,Б1.О.01,Философия,4,,,,,,,4,144,54,54,54,36,,,,,,,,,,,,,,,,,,,,,,4,144,18,,36,54,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
+,Б1.О.02,История,,12,,,,,,4,144,72,72,72,,2,72,18,,18,36,,2,72,18,,18,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+,Б1.О.02.01,История России,,1,,,,,,2,72,36,36,36,,2,72,18,,18,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,461
+,Б1.О.02.02,Всеобщая история,,2,,,,,,2,72,36,36,36,,,,,,,,,2,72,18,,18,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,461
+,Б1.О.03,Иностранный язык,4,123,,,,,,9,324,144,144,144,36,2,72,,,36,36,,2,72,,,36,36,,2,72,,,36,36,,3,108,,,36,36,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96
+,Б1.О.04,Безопасность жизнедеятельности,,3,,,,,,3,108,54,54,54,,,,,,,,,,,,,,,,3,108,18,,36,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209
+,Б1.О.05,Информатика,1,,,,,,,4,144,54,54,54,36,4,144,18,,36,54,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93
+,Б1.О.06,Языки программирования,2,1,,,,,,6,216,90,90,90,36,3,108,18,,36,54,,3,108,18,,18,36,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94
+,Б1.О.07,Физика,3,2,,,,,,8,288,126,126,126,36,,,,,,,,4,144,36,18,18,72,,4,144,18,18,18,54,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141
+,Б1.О.08,Введение в профессиональную деятельность,,1,,,,,,3,108,36,36,72,,3,108,18,,18,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95
+,Б1.О.09,Экономика,,7,,,,,,3,108,54,54,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108,18,,36,54,,,,,,,,,443
+,Б1.О.10,Теория и практика  эффективного речевого общения,,2,,,,,,3,108,54,54,54,,,,,,,,,3,108,18,,36,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,388
+,Б1.О.11,Математический анализ,2,1,,,,,,10,360,180,180,144,36,5,180,36,,54,90,,5,180,36,,54,54,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95
+,Б1.О.12,Аналитическая геометрия,1,,,,,,,5,180,72,72,72,36,5,180,36,,36,72,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95
+,Б1.О.13,Математическая логика и теория алгоритмов,,3,,,,,,3,108,54,54,54,,,,,,,,,,,,,,,,3,108,18,,36,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95
