-,-,-,Форма контроля,,,,,,,з.е.,,Итого акад.часов,,,,,,,Курс 1,,Курс 2,,Курс 3,,Курс 4,,Закрепленная кафедра,
,,,,,,,,,,,,,,,,,,,Семестр 1,Семестр 2,Семестр 3,Семестр 4,Семестр 5,Семестр 6,Семестр 7,Семестр 8,,
Считать в плане,Индекс,Наименование,Экза мен,Зачет,Зачет с оц.,КП,КР,ДКР,Др,Экспер тное,Факт,Экспер тное,По плану,Конт. раб.,Ауд.,СР,Конт роль,Пр. подгот,з.е.,з.е.,з.е.,з.е.,з.е.,з.е.,з.е.,з.е.,Код,Наименование
Блок 1.Дисциплины (модули) ,,,,,,,,,,213,213,7996,7996,3748,3748,3348,900,,27.5,28.5,28,28,28.5,28.5,30,14,,
Обязательная часть ,,,,,,,,,,139,139,5332,5332,2722,2722,2034,576,,27.5,28.5,24,22,15.5,7.5,14,,,
+,Б1.О.01,Философия,4,,,,,,,4,4,144,144,54,54,54,36,,,,,4,,,,,11,Кафедра философии (КФ1_ИФФ)
+,Б1.О.02,История,,12,,,,,,4,4,144,144,72,72,72,,,2,2,,,,,,,,
+,Б1.О.02.01,История России,,1,,,,,,2,2,72,72,36,36,36,,,2,,,,,,,,461,"Кафедра истории России, мировых и региональных цивилизаций"
+,Б1.О.02.02,Всеобщая история,,2,,,,,,2,2,72,72,36,36,36,,,,2,,,,,,,461,"Кафедра истории России, мировых и региональных цивилизаций"
+,Б1.О.03,Иностранный язык,4,123,,,,,,9,9,324,324,144,144,144,36,,2,2,2,3,,,,,96,Кафедра разговорного иностранного языка (РИЯ_ИКИТ)
+,Б1.О.04,Безопасность жизнедеятельности,,3,,,,,,3,3,108,108,54,54,54,,,,,3,,,,,,209,Кафедра техносферной и экологической безопасности 
+,Б1.О.05,Информатика,1,,,,,,,4,4,144,144,54,54,54,36,,4,,,,,,,,93,Кафедра информатики (И_ИКИТ)
+,Б1.О.06,Языки программирования,2,1,,,,,,6,6,216,216,90,90,90,36,,3,3,,,,,,,94,Кафедра информационных систем (ИС_ИКИТ)
+,Б1.О.07,Физика,3,2,,,,,,8,8,288,288,126,126,126,36,,,4,4,,,,,,141,Кафедра физики  (Ф2_ИФО)
+,Б1.О.08,Введение в профессиональную деятельность,,1,,,,,,3,3,108,108,36,36,72,,,3,,,,,,,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
+,Б1.О.09,Экономика,,7,,,,,,3,3,108,108,54,54,54,,,,,,,,,3,,443,Кафедра экономики и управления бизнес-процессами
+,Б1.О.10,Теория и практика  эффективного речевого общения,,2,,,,,,3,3,108,108,54,54,54,,,,3,,,,,,,388,Кафедра русского языка и  речевой коммуникации (РЯиРК_ИФИЯК)
+,Б1.О.11,Математический анализ,2,1,,,,,,10,10,360,360,180,180,144,36,,5,5,,,,,,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
