Индекс,,,,,Содержание
Тип задач проф. деятельности: ,,,,,производственно-технологический
,ПК-1,,,,"Способность создания (модификации) и сопровождения информационных систем (ИС), автоматизирующих задачи организационного управления и бизнес-процессы в организациях различных форм собственности с целью повышения эффективности деятельности организаций - пользователей ИС"
,,06.015,,,СПЕЦИАЛИСТ ПО ИНФОРМАЦИОННЫМ СИСТЕМАМ
,,,B,,"Выполнение работ по созданию (модификации) и сопровождению ИС, автоматизирующих задачи организационного управления и бизнес-процессы"
,,,C,,"Выполнение работ и управление работами по созданию (модификации) и сопровождению ИС, автоматизирующих задачи организационного управления и бизнес-процессы"
,,,D,,"Управление работами по сопровождению и проектами создания (модификации) ИС, автоматизирующих задачи организационного управления и бизнес-процессы"
,,06.019,,,ТЕХНИЧЕСКИЙ ПИСАТЕЛЬ (СПЕЦИАЛИСТ ПО ТЕХНИЧЕСКОЙ ДОКУМЕНТАЦИИ В ОБЛАСТИ ИНФОРМАЦИОННЫХ ТЕХНОЛОГИЙ)
,,,D,,"Разработка технических документов, адресованных специалисту по информационным технологиям"
,,,,D/02.6,Описание технических решений с точки зрения специалиста по информационным технологиям
,,,,D/05.6,Подготовка слайд-шоу и раздаточных материалов для доклада
,,06.022,,,СИСТЕМНЫЙ АНАЛИТИК
,,,C,,"Концептуальное, функциональное и логическое проектирование систем среднего и крупного масштаба и сложности"
,ПК-2,,,,"Способность разрабатывать программное обеспечение (ПО), включая проектирование, отладку, проверку работоспособности и модификацию ПО"
,,06.001,,,ПРОГРАММИСТ
,,,C,,Интеграция программных модулей и компонент и верификация выпусков программного продукта
,,,D,,Разработка требований и проектирование программного обеспечения
,ПК-3,,,,"Способность обеспечения эффективной работы баз данных, включая развертывание, сопровождение, оптимизация функционирования баз данных, являющихся частью различных информационных систем"
,,06.011,,,АДМИНИСТРАТОР БАЗ ДАННЫХ
,,,B,,Оптимизация функционирования БД
,,,,B/06.5,"Оптимизация управления жизненным циклом данных, хранящихся в БД"
,ПК-4,,,,"Способность проводить юзабилити- исследование программных продуктов и/или аппаратных средств, в том числе планирование исследования, проведение, сбор и анализ данных"
,,06.025,,,СПЕЦИАЛИСТ ПО ДИЗАЙНУ ГРАФИЧЕСКИХ И ПОЛЬЗОВАТЕЛЬСКИХ ИНТЕРФЕЙСОВ
,,,B,,Графический дизайн интерфейса
,ПК-5,,,,"Способность учитывать влияние технологических процессов на разрабатываемый медиапродукт, включая составление требований к дизайн-макету, выработку возможных решений или подходов к изготовлению медиапродукта"
,,06.016,,,РУКОВОДИТЕЛЬ ПРОЕКТОВ В ОБЛАСТИ ИНФОРМАЦИОННЫХ ТЕХНОЛОГИЙ
,,,A,,"Управление проектами в области ИТ на основе полученных планов проектов в условиях, когда проект не выходит за пределы утвержденных параметров"
,,06.019,,,ТЕХНИЧЕСКИЙ ПИСАТЕЛЬ (СПЕЦИАЛИСТ ПО ТЕХНИЧЕСКОЙ ДОКУМЕНТАЦИИ В ОБЛАСТИ ИНФОРМАЦИОННЫХ ТЕХНОЛОГИЙ)
,,,D,,"Разработка технических документов, адресованных специалисту по информационным технологиям"
,,,,D/01.6,Описание информационных и математических моделей
,,,,D/04.6,Подготовка технической статьи о продукции или технологии для размещения на веб-сайте или в профильных средствах массовой информации
,,06.025,,,СПЕЦИАЛИСТ ПО ДИЗАЙНУ ГРАФИЧЕСКИХ И ПОЛЬЗОВАТЕЛЬСКИХ ИНТЕРФЕЙСОВ
,,,B,,Графический дизайн интерфейса
,,06.035,,,РАЗРАБОТЧИК WEB И МУЛЬТИМЕДИЙНЫХ ПРИЛОЖЕНИЙ
,,,C,,Управление работами по созданию (модификации) и сопровождению информационных ресурсов
,,40.059,,,ПРОМЫШЛЕННЫЙ ДИЗАЙНЕР (ЭРГОНОМИСТ)
,ПК-6,,,,"Способность выполнения комплекса технологических операций для создания тематических информационных продуктов на основе использования пространственных данных, подготовки и предоставления информации"
,,25.017,,,СПЕЦИАЛИСТ ПО ОКАЗАНИЮ КОСМИЧЕСКИХ УСЛУГ НА ОСНОВЕ ИСПОЛЬЗОВАНИЯ ДАННЫХ ДИСТАНЦИОННОГО ЗОНДИРОВАНИЯ ЗЕМЛИ ИЗ КОСМОСА
,,,A,,Выполнение отдельных технологических операций по созданию космических продуктов и оказанию космических услуг на основе использования данных дистанционного зондирования Земли из космоса
,,25.044,,,СПЕЦИАЛИСТ ПО ПРИМЕНЕНИЮ ГЕОИНФОРМАЦИОННЫХ СИТЕМ И ТЕХНОЛОГИЙ ДЛЯ РЕШЕНИЯ ЗАДАЧ ГОСУДАРСТВЕННОГО И МУНИЦИПАЛЬНОГО УРОВНЯ
,,,A,,Выполнение технологических операций по работе с геоинформационными системами государственного или муниципального уровня
,,25.050,,,СПЕЦИАЛИСТ ПО ПОДДЕРЖКЕ ПРИНЯТИЯ УПРАВЛЕНЧЕСКИХ РЕШЕНИЙ НА ОСНОВЕ РЕЗУЛЬТАТОВ КОСМИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ
,,,A,,Выполнение технологических операций по подготовке предложений для принятия решения на основе результатов космической деятельности
,ПК-7,,,,"Способность формировать, инициировать, контролировать, анализировать результаты выполнения задач управления ИТ-инфраструктурой и выполнять управленческие действия по результатам анализа"
,,06.014,,,МЕНЕДЖЕР ПО ИНФОРМАЦИОННЫМ ТЕХНОЛОГИЯМ
,,,A,,Управление ресурсами ИТ
,ПК-9,,,,Способность организовывать работы персонала для управления качеством проектов в области ИТ
,,06.014,,,МЕНЕДЖЕР ПО ИНФОРМАЦИОННЫМ ТЕХНОЛОГИЯМ
,,,A,,Управление ресурсами ИТ
,ПК-8,,,,Способность подготавливать текст плана управления проектом и частных планов в его составе. Разрабатывать расписания проекта в соответствии с полученным заданием
,,06.016,,,РУКОВОДИТЕЛЬ ПРОЕКТОВ В ОБЛАСТИ ИНФОРМАЦИОННЫХ ТЕХНОЛОГИЙ
,,,A,,"Управление проектами в области ИТ на основе полученных планов проектов в условиях, когда проект не выходит за пределы утвержденных параметров"
,ПК-10,,,,"Способность проектировать интерфейс согласно требованиям концепции интерфейса. Описывать логику работы элементов интерфейса, их взаимосвязи, взаимодействия и вариантов состояний"
,,06.025,,,СПЕЦИАЛИСТ ПО ДИЗАЙНУ ГРАФИЧЕСКИХ И ПОЛЬЗОВАТЕЛЬСКИХ ИНТЕРФЕЙСОВ
,,,C,,Проектирование пользовательских интерфейсов по готовому образцу или концепции интерфейса
