Индекс,,,,Содержание,Тип
УК-1,,,,"Способен осуществлять поиск, критический анализ и синтез информации, применять системный подход для решения поставленных задач",УК
,УК-1.1,,,"Знает принципы сбора, отбора и обобщения информации, методики системного подхода для решения профессиональных задач.",-
,,Б1.О.01,,Философия,
,,Б1.О.06,,Системный анализ,
,,Б2.О.02(У),,Технологическая (проектно-технологическая) практика,
,,Б3.01,,выполнение и защита выпускной квалификационной работы,
,,ФТД.02,,Информационное общество и проблемы прикладной информатики,
,УК-1.2,,,"Умеет анализировать и систематизировать разнородные данные, оценивать эффективность процедур анализа проблем и принятия решений в профессиональной деятельности.",-
,,Б1.О.01,,Философия,
,,Б1.О.06,,Системный анализ,
,,Б2.О.02(У),,Технологическая (проектно-технологическая) практика,
,,Б3.01,,выполнение и защита выпускной квалификационной работы,
,,ФТД.02,,Информационное общество и проблемы прикладной информатики,
,УК-1.3,,,Владеет навыками научного поиска и практической работы с информационными источниками; методами принятия решений.,-
,,Б1.О.01,,Философия,
,,Б1.О.06,,Системный анализ,
,,Б2.О.02(У),,Технологическая (проектно-технологическая) практика,
,,Б3.01,,выполнение и защита выпускной квалификационной работы,
,,ФТД.02,,Информационное общество и проблемы прикладной информатики,
УК-2,,,,"Способен определять круг задач в рамках поставленной цели и выбирать оптимальные способы их решения, исходя из действующих правовых норм, имеющихся ресурсов и ограничений",УК
,УК-2.1,,,Знает необходимые для осуществления профессиональной деятельности правовые нормы и методологические основы принятия управленческого решения,-
,,Б1.О.15,,Право,
,,Б1.О.20,,Основы проектного менеджмента,
,,Б3.01,,выполнение и защита выпускной квалификационной работы,
,УК-2.2,,,"Умеет анализировать альтернативные варианты решений для достижения намеченных результатов; разрабатывать план, определять целевые этапы и основные направления работ.",-
,,Б1.О.15,,Право,
,,Б1.О.20,,Основы проектного менеджмента,
,,Б3.01,,выполнение и защита выпускной квалификационной работы,
,УК-2.3,,,"Владеет методиками разработки цели и задач проекта; методами оценки продолжительности и стоимости проекта, а также потребности в ресурсах.",-
,,Б1.О.15,,Право,
,,Б1.О.20,,Основы проектного менеджмента,
,,Б3.01,,выполнение и защита выпускной квалификационной работы,
УК-3,,,,Способен осуществлять социальное взаимодействие и реализовывать свою роль в команде,УК
,УК-3.1,,,"Знает типологию и факторы формирования команд, способы социального взаимодействия.",-
,,Б1.О.13,,Эффективная коммуникация,
,,Б1.О.20,,Основы проектного менеджмента,
,,Б3.01,,выполнение и защита выпускной квалификационной работы,
,УК-3.2,,,"Умеет действовать в духе сотрудничества; принимать решения с соблюдением этических принципов их реализации; проявлять уважение к мнению и культуре других; определять цели и работать в направлении личностного, образовательного и профессионального роста.",-
,,Б1.О.13,,Эффективная коммуникация,
,,Б1.О.20,,Основы проектного менеджмента,
,,Б3.01,,выполнение и защита выпускной квалификационной работы,
,УК-3.3,,,"Владеет навыками распределения ролей в условиях командного взаимодействия; методами оценки своих действий, планирования и управления временем.",-
,,Б1.О.13,,Эффективная коммуникация,
,,Б1.О.20,,Основы проектного менеджмента,
