,,,,Итого,,,,,,,,,,,,,,,,,,Курс 1,,,,,,,Курс 2,,,,,,,Курс 3,,,,,,,Курс 4,,,,,,,Курс 5,,,,,,,Курс 6,,,,,,,Курс 7,,,,,
,,,,Баз.%,Вар.%,ДВ(от Вар.)%,з.е.,,,,,,,Часов,,,,,,,,Всего,Всего,Сем. 1,,Сем. 2,,,Всего,Всего,Сем. 3,,Сем. 4,,,Всего,Всего,Сем. 5,,Сем. 6,,,Всего,Всего,Сем. 7,,Сем. 8,,,Всего,Всего,Сем. 9,,Сем. A,,,Всего,Всего,Сем. B,,Сем. C,,,Всего,Всего,Сем. D,,Сем. E,
,,,,,,,Мин.,Макс.,,,Факт,Факт,Переат.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Итого (с факультативами),12,,,,,193,248,,,244,244,,,,,,,,,,60,,27.5,,32.5,,,60,,29,,31,,,63,,27.5,,35.5,,,61,,26,,35,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Итого по ОП (без факультативов),11,,,,,189,241,,,240,240,,,,,,,,,,60,,27.5,,32.5,,,60,,29,,31,,,59,,27.5,,31.5,,,61,,26,,35,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Б1,Дисциплины (модули),733656,,55%,45%,13.5%,160,211,,,211,211,,,,,,,,,,57,,27.5,,29.5,,,57,,29,,28,,,55,,27.5,,27.5,,,42,,26,,16,,,,,,,,,,,,,,,,,,,,,,
Б1.О,Обязательная часть,733657,,,,,115,115,,,115,115,,,,,,,,,,57,,27.5,,29.5,,,57,,29,,28,,,1,,0.5,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Б1.В,"Часть, формируемая участниками образовательных отношений",733658,,,,,96,96,,,96,96,,,,,,,,,,,,,,,,,,,,,,,,54,,27,,27,,,42,,26,,16,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Б2,Практика,733659,,30%,70%,0%,20,21,,,20,20,,,,,,,,,,3,,,,3,,,3,,,,3,,,4,,,,4,,,10,,,,10,,,,,,,,,,,,,,,,,,,,,,
Б2.О,Обязательная часть,733660,,,,,6,6,,,6,6,,,,,,,,,,3,,,,3,,,3,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Б2.В,"Часть, формируемая участниками образовательных отношений",733661,,,,,14,14,,,14,14,,,,,,,,,,,,,,,,,,,,,,,,4,,,,4,,,10,,,,10,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Б3,Государственная итоговая аттестация,733662,,,,,9,9,,,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,9,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ФТД,Факультативные дисциплины,733663,,,,,4,7,,,4,4,,,,,,,,,,,,,,,,,,,,,,,,4,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Учебная нагрузка (акад.час/нед),"ОП, факультативы (в период ТО)",,,,,,,,,54,,,,,,,,,,,-,,53.8,,51.9,,,-,,53.8,,53.8,,,-,,53.6,,57.6,,,-,,54,,53.1,,,-,,,,,,,-,,,,,,,-,,,,,
,,"ОП, факультативы (в период экз. сессий)",,,,,,,,,54,,,,,,,,,,,-,,54,,54,,,-,,54,,54,,,-,,54,,54,,,-,,54,,54,,,-,,,,,,,-,,,,,,,-,,,,,
,,в период гос. экзаменов,,,,,,,,,,,,,,,,,,,,-,,,,,,,-,,,,,,,-,,,,,,,-,,,,,,,-,,,,,,,-,,,,,,,-,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Контактная работа в период ТО (акад.час/нед),ОП без элект. дисциплин по физ.к.,,,,,,,,,23.1,,,,,,,,,,,-,,21,,24.2,,,-,,23.2,,23.9,,,-,,25,,22,,,-,,22.4,,22.8,,,-,,,,,,,-,,,,,,,-,,,,,
,,элективные дисциплины по физ.к.,,,,,,,,,2.5,,,,,,,,,,,-,,2.8,,2.7,,,-,,3.7,,4,,,-,,2.7,,2.6,,,-,,,,,,,-,,,,,,,-,,,,,,,-,,,,,
,Контактная работа (акад.час/год),обязательная,,,,,,,,,382.5,,,,,,,,,,,-,,828,,,,,-,,846,,,,,-,,828,,,,,-,,558,,,,,-,,,,,,,-,,,,,,,-,,,,,
,,необязательная,,,,,,,,,66.7,,,,,,,,,,,-,,100,,,,,-,,136,,,,,-,,164,,,,,-,,,,,,,-,,,,,,,-,,,,,,,-,,,,,
,Суммарная контактная работа (акад. час),Блок Б1,,,,,,,,,3388,,,,,,,,,,,-,,428,,500,,,-,,500,,482,,,-,,478,,442,,,-,,342,,216,,,-,,,,,,,-,,,,,,,-,,,,,
,,в том числе по элект. дисц. по ф.к.,,,,,,,,,328,,,,,,,,,,,-,,50,,50,,,-,,68,,68,,,-,,46,,46,,,-,,,,,,,-,,,,,,,-,,,,,,,-,,,,,
,,Блок Б2,,,,,,,,,,,,,,,,,,,,-,,,,,,,-,,,,,,,-,,,,,,,-,,,,,,,-,,,,,,,-,,,,,,,-,,,,,
,,Блок Б3,,,,,,,,,14,,,,,,,,,,,-,,,,,,,-,,,,,,,-,,,,,,,-,,,,14,,,-,,,,,,,-,,,,,,,-,,,,,
,,Блок ФТД,,,,,,,,,72,,,,,,,,,,,-,,,,,,,-,,,,,,,-,,,,72,,,-,,,,,,,-,,,,,,,-,,,,,,,-,,,,,
,,Итого по всем блокам,,,,,,,,,3474,,,,,,,,,,,-,,428,,500,,,-,,500,,482,,,-,,478,,514,,,-,,342,,230,,,-,,,,,,,-,,,,,,,-,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Аудиторная нагрузка (акад.час/нед),ОП без элект. дисциплин по физ.к.,,,,,,,,,23.1,,,,,,,,,,,-,,21,,24.2,,,-,,23.2,,23.9,,,-,,25,,22,,,-,,22.4,,22.8,,,-,,,,,,,-,,,,,,,-,,,,,
,,элективные дисциплины по физ.к.,,,,,,,,,,,,,,,,,,,,-,,2.8,,2.7,,,-,,3.7,,4,,,-,,2.7,,2.6,,,-,,,,,,,-,,,,,,,-,,,,,,,-,,,,,
,Аудиторная нагрузка (акад.час/год),обязательная,,,,,,,,,382.5,,,,,,,,,,,-,,828,,,,,-,,846,,,,,-,,828,,,,,-,,558,,,,,-,,,,,,,-,,,,,,,-,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Обязательные формы контроля,  ЭКЗАМЕН (Эк),,,,,,,,,,,,,,,,,,,,6,,2,,4,,,7,,3,,4,,,7,,3,,4,,,6,,3,,3,,,,,,,,,,,,,,,,,,,,,,
,,  ЗАЧЕТ (За),,,,,,,,,,,,,,,,,,,,11,,6,,5,,,9,,5,,4,,,8,,5,,3,,,6,,4,,2,,,,,,,,,,,,,,,,,,,,,,
,,  КУРСОВАЯ РАБОТА (КР),,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Процент ... занятий от аудиторных (%), лекционных,,,,,,,,,37.06%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, в интерактивной форме,,,,,,,,,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Объём обязательной части от общего объёма программы (%),,,,,,,,,,50.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Объём конт. работы от общего объёма времени на реализацию дисциплин (модулей) (%),,,,,,,,,,42.76%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Доля учебных занятий и практик в ОП (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Доля практик в профессиональном цикле (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Процент практической подготовки от общего объёма часов (%),Б1,,,,,,,,,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Б2,,,,,,,,,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Б3,,,,,,,,,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Итого по блокам,,,,,,,,,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Процент практической подготовки от общего объёма часов на практики (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
