Индекс,,,,Каф,Наименование,Формируемые компетенции
Б1,,,,,Дисциплины (модули),УК-1; УК-2; УК-3; УК-4; УК-5; УК-6; УК-7; УК-8; ОПК-1; ОПК-2; ОПК-3; ОПК-4; ОПК-5; ОПК-6; ОПК-7; ОПК-8; ОПК-9; ПК-1; ПК-3; ПК-4; ПК-2; ПК-5; ПК-9; ПК-10; ПК-6; ПК-7; ПК-11; ПК-8; УК-9; УК-10
,Б1.О,,,,Обязательная часть,УК-1; УК-2; УК-3; УК-4; УК-5; УК-6; УК-7; УК-8; ОПК-1; ОПК-2; ОПК-3; ОПК-4; ОПК-5; ОПК-6; ОПК-7; ОПК-8; ОПК-9; УК-9
,,Б1.О.01,,11,Философия,УК-1.1; УК-1.2; УК-1.3; УК-5.1; УК-5.2; УК-5.3; УК-6.1; УК-6.2; УК-6.3
,,Б1.О.02,,,История,УК-5.1; УК-5.2; УК-5.3
,,,Б1.О.02.01,461,История России,УК-5.1; УК-5.2; УК-5.3
,,,Б1.О.02.02,461,Всеобщая история,УК-5.1; УК-5.2; УК-5.3
,,Б1.О.03,,96,Иностранный язык,УК-4.1; УК-4.2; УК-4.3
,,Б1.О.04,,209,Безопасность жизнедеятельности,УК-8.1; УК-8.2; УК-8.3
,,Б1.О.05,,92,"Вычислительные системы, сети и телекоммуникации",ОПК-2.1; ОПК-2.2; ОПК-2.3; ОПК-5.1; ОПК-5.2; ОПК-5.3
,,Б1.О.06,,389,Системный анализ,УК-1.1; УК-1.2; УК-1.3; ОПК-6.1; ОПК-6.2; ОПК-6.3
,,Б1.О.07,,94,Программирование,ОПК-5.1; ОПК-5.2; ОПК-5.3; ОПК-7.1; ОПК-7.2; ОПК-7.3
,,Б1.О.08,,292,Введение в профессиональную деятельность,ОПК-3.1; ОПК-3.2; ОПК-3.3; ОПК-4.1; ОПК-4.2; ОПК-4.3
,,Б1.О.09,,94,Информационные системы и технологии,ОПК-2.1; ОПК-2.2; ОПК-2.3
,,Б1.О.10,,95,Высшая математика,ОПК-1.1; ОПК-1.2; ОПК-1.3
,,Б1.О.11,,95,Дискретная математика,ОПК-1.1; ОПК-1.2; ОПК-1.3
,,Б1.О.12,,95,Теория вероятностей и математическая статистика,ОПК-1.1; ОПК-1.2; ОПК-1.3
,,Б1.О.13,,292,Эффективная коммуникация,УК-3.1; УК-3.2; УК-3.3; УК-4.1; УК-4.2; УК-4.3
,,Б1.О.14,,95,Информационная безопасность и защита информации,ОПК-3.1; ОПК-3.2; ОПК-3.3
,,Б1.О.15,,226,Право,УК-2.1; УК-2.2; УК-2.3
,,Б1.О.16,,98,Проектирование информационных систем,ОПК-4.1; ОПК-4.2; ОПК-4.3; ОПК-8.1; ОПК-8.2; ОПК-8.3; ОПК-9.1; ОПК-9.2; ОПК-9.3
,,Б1.О.17,,92,Операционные системы,ОПК-2.1; ОПК-2.2; ОПК-2.3; ОПК-5.1; ОПК-5.2; ОПК-5.3
,,Б1.О.18,,346,Физическая культура и спорт,УК-7.1; УК-7.2; УК-7.3
,,Б1.О.19,,346,Прикладная физическая культура  и спорт,УК-7.1; УК-7.2; УК-7.3
,,Б1.О.20,,443,Основы проектного менеджмента,УК-2.1; УК-2.2; УК-2.3; УК-3.1; УК-3.2; УК-3.3; ОПК-9.1; ОПК-9.2; ОПК-9.3
,,Б1.О.21,,94,Базы данных,ОПК-2.1; ОПК-2.2; ОПК-2.3
,,Б1.О.22,,443,Макроэкономика,ОПК-6.1; ОПК-6.2; ОПК-6.3; УК-9.1; УК-9.2; УК-9.3
,,Б1.О.23,,441,Эконометрика,ОПК-1.1; ОПК-1.2; ОПК-1.3; УК-9.1; УК-9.2; УК-9.3
,Б1.В,,,,"Часть, формируемая участниками образовательных отношений",УК-1; УК-2; УК-3; УК-4; УК-5; ПК-1; ПК-3; ПК-2; ПК-4; ПК-5; ПК-9; ПК-6; ПК-10; ПК-7; ПК-11; ПК-8; УК-10
,,Б1.В.01,,292,Технологии оцифровки,ПК-5.1; ПК-5.2; ПК-5.3; ПК-11.1; ПК-11.2; ПК-11.3
,,Б1.В.02,,292,Всемирное культурное наследие,УК-5.1; УК-5.2; УК-5.3; ПК-1.1; ПК-1.2; ПК-1.3; ПК-2.1; ПК-2.2; ПК-2.3; УК-10.1; УК-10.2; УК-10.3
,,Б1.В.03,,292,Основы научно-исследовательской работы,УК-1.1; УК-1.2; УК-1.3; ПК-1.1; ПК-1.2; ПК-1.3; ПК-2.1; ПК-2.2; ПК-2.3
,,Б1.В.04,,292,Специальные исторические дисциплины,УК-5.1; УК-5.2; УК-5.3; ПК-2.1; ПК-2.2; ПК-2.3
