Индекс,,,,Содержание,Тип
УК-1,,,,"Способен осуществлять поиск, критический анализ и синтез информации, применять системный подход для решения поставленных задач",УК
,УК-1.1,,,"Знает механизмы и методики поиска, анализа и синтеза информации, включающие системный подход для решения различных задач",-
,,Б1.О.01,,Философия,
,,Б1.О.06,,Системный анализ,
,,Б1.В.03,,Основы научно-исследовательской работы,
,,Б1.В.20,,Компьютерный анализ текста,
,,Б2.О.02(У),,Технологическая (проектно-технологическая) практика,
,,Б3.01,,выполнение и защита выпускной квалификационной работы,
,,ФТД.02,,"Природа, культура и история Красноярского края",
,УК-1.2,,,"Умеет анализировать различные задачи, выделять их базовые составляющие, осуществлять декомпозицию задач, находить и критически анализировать информацию, необходимую для решения поставленных задач, оценивать достоинства и недостатки всевозможных решений",-
,,Б1.О.01,,Философия,
,,Б1.О.06,,Системный анализ,
,,Б1.В.03,,Основы научно-исследовательской работы,
,,Б1.В.20,,Компьютерный анализ текста,
,,Б2.О.02(У),,Технологическая (проектно-технологическая) практика,
,,Б3.01,,выполнение и защита выпускной квалификационной работы,
,,ФТД.02,,"Природа, культура и история Красноярского края",
,УК-1.3,,,"Владеет методами установления причинно - следственных связей и определения наиболее значимых среди них, механизмами поиска информации, в том числе с применением информационных и коммуникационных технологий",-
,,Б1.О.01,,Философия,
,,Б1.О.06,,Системный анализ,
,,Б1.В.03,,Основы научно-исследовательской работы,
,,Б1.В.20,,Компьютерный анализ текста,
,,Б2.О.02(У),,Технологическая (проектно-технологическая) практика,
,,Б3.01,,выполнение и защита выпускной квалификационной работы,
,,ФТД.02,,"Природа, культура и история Красноярского края",
УК-2,,,,"Способен определять круг задач в рамках поставленной цели и выбирать оптимальные способы их решения, исходя из действующих правовых норм, имеющихся ресурсов и ограничений",УК
,УК-2.1,,,"Знает виды ресурсов и ограничений для решения профессиональных задач, основные методы оценки разных способов решения задач, действующее законодательство и правовые нормы, регулирующие профессиональную деятельность",-
,,Б1.О.15,,Право,
,,Б1.О.20,,Основы проектного менеджмента,
,,Б1.В.19,,Информационная этика и цифровое право,
,,Б1.В.ДВ.01.02,,Авторское право в медиа,
,,Б3.01,,выполнение и защита выпускной квалификационной работы,
,УК-2.2,,,"Умеет проводить анализ поставленной цели и формулировать задачи, которые необходимо решить для ее достижения, анализировать альтернативные варианты для достижения намеченных результатов, использовать нормативно – правовую документацию в сфере профессиональной деятельности.",-
,,Б1.О.15,,Право,
,,Б1.О.20,,Основы проектного менеджмента,
,,Б1.В.19,,Информационная этика и цифровое право,
,,Б1.В.ДВ.01.02,,Авторское право в медиа,
,,Б3.01,,выполнение и защита выпускной квалификационной работы,
,УК-2.3,,,"Владеет методиками разработки цели и задач проекта, методами оценки потребности в ресурсах, продолжительности и стоимости проекта, навыками работы с нормативно – правовой документацией",-
,,Б1.О.15,,Право,
,,Б1.О.20,,Основы проектного менеджмента,
,,Б1.В.19,,Информационная этика и цифровое право,
,,Б1.В.ДВ.01.02,,Авторское право в медиа,
,,Б3.01,,выполнение и защита выпускной квалификационной работы,
УК-3,,,,Способен осуществлять социальное взаимодействие и реализовывать свою роль в команде,УК
,УК-3.1,,,"Знает основные приемы и нормы социального взаимодействия; основные понятия и методы конфликтологии, техники межличностной и деловой коммуникации, а также принципы командной работы",-
,,Б1.О.13,,Эффективная коммуникация,
,,Б1.О.20,,Основы проектного менеджмента,
,,Б1.В.22,,Конфликты и переговоры,
,,Б3.01,,выполнение и защита выпускной квалификационной работы,
,,ФТД.03,,Иностранный язык в профессиональной деятельности,
,УК-3.2,,,"Умеет устанавливать и поддерживать контакты, обеспечивающие успешную работу в команде, применяет основные нормы социального взаимодействия для самореализации и достижения личных и командных целей",-
,,Б1.О.13,,Эффективная коммуникация,
,,Б1.О.20,,Основы проектного менеджмента,
,,Б1.В.22,,Конфликты и переговоры,
,,Б3.01,,выполнение и защита выпускной квалификационной работы,
,,ФТД.03,,Иностранный язык в профессиональной деятельности,
,УК-3.3,,,"Владеет навыками и командной работы, а также навыками успешного взаимодействия в различных сферах жизнедеятельности.",-
,,Б1.О.13,,Эффективная коммуникация,
,,Б1.О.20,,Основы проектного менеджмента,
,,Б1.В.22,,Конфликты и переговоры,
,,Б3.01,,выполнение и защита выпускной квалификационной работы,
,,ФТД.03,,Иностранный язык в профессиональной деятельности,
УК-4,,,,Способен осуществлять деловую коммуникацию в устной и письменной формах на государственном языке Российской Федерации и иностранном(ых) языке(ах),УК
,УК-4.1,,,Знает особенности устного и письменного общения на русском и иностранном (ых) языках; правила и закономерности деловой устной и письменной коммуникации,-
,,Б1.О.03,,Иностранный язык,
,,Б1.О.13,,Эффективная коммуникация,
,,Б1.В.12,,Основы цифрового делопроизводства,
,,Б1.В.13,,Методы анализа данных на Python и R,
,,Б3.01,,выполнение и защита выпускной квалификационной работы,
,,ФТД.03,,Иностранный язык в профессиональной деятельности,
,УК-4.2,,,"Умеет применять различные методы делового общения на русском и иностранном (ых) языках как в устной, так и в письменной форме",-
,,Б1.О.03,,Иностранный язык,
,,Б1.О.13,,Эффективная коммуникация,
,,Б1.В.12,,Основы цифрового делопроизводства,
,,Б1.В.13,,Методы анализа данных на Python и R,
,,Б3.01,,выполнение и защита выпускной квалификационной работы,
,,ФТД.03,,Иностранный язык в профессиональной деятельности,
,УК-4.3,,,Владеет навыками чтения и перевода текстов на иностранном (ых) языке (ах) в профессиональном общении; навыками деловых коммуникаций в устной и письменной форме на русском и иностранном (ых) языках,-
,,Б1.О.03,,Иностранный язык,
,,Б1.О.13,,Эффективная коммуникация,
,,Б1.В.12,,Основы цифрового делопроизводства,
,,Б1.В.13,,Методы анализа данных на Python и R,
,,Б3.01,,выполнение и защита выпускной квалификационной работы,
,,ФТД.03,,Иностранный язык в профессиональной деятельности,
УК-5,,,,"Способен воспринимать межкультурное разнообразие общества в социально-историческом, этическом и философском контекстах",УК
,УК-5.1,,,Знает закономерности и особенности социально – исторического развития различных культур в этическом и философском контексте,-
,,Б1.О.01,,Философия,
,,Б1.О.02,,История,
,,Б1.О.02.01,,История России,
,,Б1.О.02.02,,Всеобщая история,
,,Б1.В.02,,Всемирное культурное наследие,
,,Б1.В.04,,Специальные исторические дисциплины,
,,Б1.В.05,,История исскуств,
,,Б3.01,,выполнение и защита выпускной квалификационной работы,
,,ФТД.01,,Психология визуального восприятия,
,,ФТД.02,,"Природа, культура и история Красноярского края",
,УК-5.2,,,"Умеет воспринимать межкультурное разнообразие общества в социально – историческом, этическом и философском контекстах",-
,,Б1.О.01,,Философия,
,,Б1.О.02,,История,
,,Б1.О.02.01,,История России,
,,Б1.О.02.02,,Всеобщая история,
,,Б1.В.02,,Всемирное культурное наследие,
,,Б1.В.04,,Специальные исторические дисциплины,
,,Б1.В.05,,История исскуств,
,,Б3.01,,выполнение и защита выпускной квалификационной работы,
,,ФТД.01,,Психология визуального восприятия,
,,ФТД.02,,"Природа, культура и история Красноярского края",
