,,,,,,,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,,,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,,,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,,,,,
,,,,,,,p,,,,,,,,,,,,,,,,,,,,,,p,,,p,,,,,,,,,,,,,,,,,,,,,,p,,,p,,,,,,,,,,,,,,,,,,,,,,p,,,,,
,,№,Индекс,Наименование,,Семестр 7,,,,,,,,,,,,,,,,,,,,,,,,,Семестр 8,,,,,,,,,,,,,,,,,,,,,,,,,Итого за курс,,,,,,,,,,,,,,,,,,,,,,,,,Каф.,Наименование кафедры,Семестр,
,,,,,,Контроль,Академических часов,,,,,,,,,,,,,,,,,,,,,,з.е.,Недель,Контроль,Академических часов,,,,,,,,,,,,,,,,,,,,,,з.е.,Недель,Контроль,Академических часов,,,,,,,,,,,,,,,,,,,,,,з.е.,Недель,,,,
,,,,,,,Всего,Кон такт.,Лек,Лек интер,Лек электр,Лек пр. подгот,Лаб,Лаб интер,Лаб электр,Лаб пр. подгот,Пр,Пр интер,Пр электр,Пр пр. подгот,СР,СР интер,СР электр,СР пр. подгот,Контроль,Контроль интер,Контроль электр,Контроль пр. подгот,,,,Всего,Кон такт.,Лек,Лек интер,Лек электр,Лек пр. подгот,Лаб,Лаб интер,Лаб электр,Лаб пр. подгот,Пр,Пр интер,Пр электр,Пр пр. подгот,СР,СР интер,СР электр,СР пр. подгот,Контроль,Контроль интер,Контроль электр,Контроль пр. подгот,,,,Всего,Кон такт.,Лек,Лек интер,Лек электр,Лек пр. подгот,Лаб,Лаб интер,Лаб электр,Лаб пр. подгот,Пр,Пр интер,Пр электр,Пр пр. подгот,СР,СР интер,СР электр,СР пр. подгот,Контроль,Контроль интер,Контроль электр,Контроль пр. подгот,Всего,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ИТОГО (с факультативами),,,,,1188,,,,,,,,,,,,,,,,,,,,,,33,19 3/6,,1224,,,,,,,,,,,,,,,,,,,,,,34,21,,2412,,,,,,,,,,,,,,,,,,,,,,67,40 3/6,,,,
,,ИТОГО по ОП (без факультативов),,,,,1116,,,,,,,,,,,,,,,,,,,,,,31,,,1116,,,,,,,,,,,,,,,,,,,,,,31,,,2232,,,,,,,,,,,,,,,,,,,,,,62,,,,,
,,"УЧЕБНАЯ НАГРУЗКА, (акад.час/нед)",,"ОП, факультативы (в период ТО)",,,62.1,,,,,,,,,,,,,,,,,,,,,,,,,65.8,,,,,,,,,,,,,,,,,,,,,,,,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ОП, факультативы (в период экз. сес.)",,,54,,,,,,,,,,,,,,,,,,,,,,,,,54,,,,,,,,,,,,,,,,,,,,,,,,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ауд. нагр. (ОП - элект. курсы по физ.к.),,,31.1,,,,,,,,,,,,,,,,,,,,,,,,,28.2,,,,,,,,,,,,,,,,,,,,,,,,,29.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Конт. раб. (ОП - элект. курсы по физ.к.),,,31.1,,,,,,,,,,,,,,,,,,,,,,,,,28.2,,,,,,,,,,,,,,,,,,,,,,,,,29.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ауд. нагр. (элект. курсы по физ.к.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"КОНТАКТНАЯ РАБОТА, ОП (час/год)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,738,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ДИСЦИПЛИНЫ (МОДУЛИ),,,,,1188,558,54,,,,,,,,504,,,,486,,,,144,,,,33,"ТО: 16 5/6
Э: 2 2/3",,576,252,54,,,,,,,,198,,,,252,,,,72,,,,16,"ТО: 7 2/3
Э: 1 1/3",,1764,810,108,,,,,,,,702,,,,738,,,,216,,,,49,"ТО: 24 1/2
Э: 4",,,,
1,{none},1,Б1.О.02,История,,За,72,36,18,,,,,,,,18,,,,36,,36,,,,,,2,,За,72,36,18,,,,,,,,18,,,,36,,,,,,,,2,,За(2),144,72,36,,,,,,,,36,,,,72,,36,,,,,,4,,,,12,6422088
1,,2,Б1.О.02.01,История России,,За,72,36,18,,,,,,,,18,,,,36,,36,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,За,72,36,18,,,,,,,,18,,,,36,,36,,,,,,2,,461,"Кафедра истории России, мировых и региональных цивилизаций",1,6422090
1,,3,Б1.О.02.02,Всеобщая история,,,,,,,,,,,,,,,,,,,,,,,,,,,За,72,36,18,,,,,,,,18,,,,36,,,,,,,,2,,За,72,36,18,,,,,,,,18,,,,36,,,,,,,,2,,461,"Кафедра истории России, мировых и региональных цивилизаций",2,6422091
1,,4,Б1.О.03,Иностранный язык,,За,72,36,,,,,,,,,36,,,,36,,36,,,,,,2,,За,72,36,,,,,,,,,36,,,,36,,,,,,,,2,,За(2),144,72,,,,,,,,,72,,,,72,,36,,,,,,4,,96,Кафедра разговорного иностранного языка (РИЯ_ИКИТ),1234,6422101
1,,5,Б1.О.06,Системный анализ,,,,,,,,,,,,,,,,,,,,,,,,,,,За,108,54,18,,,,,,,,36,,,,54,,,,,,,,3,,За,108,54,18,,,,,,,,36,,,,54,,,,,,,,3,,389,Базовая кафедра Интеллектуальные системы управления (ИСУ_ИКИТ),2,6422144
1,,6,Б1.О.07,Программирование,,За,108,54,18,,,,36,,,,,,,,54,,,,,,,,3,,За,108,54,18,,,,36,,,,,,,,54,,,,,,,,3,,За(2),216,108,36,,,,72,,,,,,,,108,,,,,,,,6,,94,Кафедра информационных систем (ИС_ИКИТ),123,6422096
1,,7,Б1.О.08,Введение в профессиональную деятельность,,За,72,18,18,,,,,,,,,,,,54,,,,,,,,2,,Эк,108,36,18,,,,,,,,18,,,,36,,,,36,,,,3,,Эк За,180,54,36,,,,,,,,18,,,,90,,,,36,,,,5,,292,Кафедра информационных технологий в креативных и культурных индустриях (ИТККИ_ИСФФ),12,6422111
1,,8,Б1.О.09,Информационные системы и технологии,,Эк,252,72,36,,,,,,,,36,,,,144,,,,36,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,Эк,252,72,36,,,,,,,,36,,,,144,,,,36,,,,7,,94,Кафедра информационных систем (ИС_ИКИТ),1,6422094
1,,9,Б1.О.10,Высшая математика,,Эк,288,90,36,,,,,,,,54,,,,162,,,,36,,,,8,,Эк,252,90,36,,,,,,,,54,,,,126,,,,36,,,,7,,Эк(2),540,180,72,,,,,,,,108,,,,288,,,,72,,,,15,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ),12,6422100
1,,10,Б1.О.11,Дискретная математика,,,,,,,,,,,,,,,,,,,,,,,,,,,Эк,180,72,36,,,,,,,,36,,,,72,,,,36,,,,5,,Эк,180,72,36,,,,,,,,36,,,,72,,,,36,,,,5,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ),2,6422097
1,,11,Б1.О.13,Эффективная коммуникация,,За,108,54,18,,,,,,,,36,,,,54,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,За,108,54,18,,,,,,,,36,,,,54,,,,,,,,3,,292,Кафедра информационных технологий в креативных и культурных индустриях (ИТККИ_ИСФФ),1,6422134
1,,12,Б1.О.18,Физическая культура и спорт,,За,18,18,6,,,,,,,,12,,,,,,,,,,,,0.5,,За,18,18,4,,,,,,,,14,,,,,,,,,,,,0.5,,За(2),36,36,10,,,,,,,,26,,,,,,,,,,,,1,,346,Кафедра физической культуры (ФК_ИФКСТ),1256,6422141
1,,13,Б1.О.19,Прикладная физическая культура  и спорт,,За,50,50,,,,,,,,,50,,,,,,,,,,,,,,За,50,50,,,,,,,,,50,,,,,,,,,,,,,,За(2),100,100,,,,,,,,,100,,,,,,,,,,,,,,346,Кафедра физической культуры (ФК_ИФКСТ),123456,6422142
1,,14,Б1.О.22,Макроэкономика,,,,,,,,,,,,,,,,,,,,,,,,,,,Эк,144,54,18,,,,,,,,36,,,,54,,,,36,,,,4,,Эк,144,54,18,,,,,,,,36,,,,54,,,,36,,,,4,,443,Кафедра экономики и управления бизнес-процессами,2,6422146
2,,1,Б1.О.01,Философия,,,,,,,,,,,,,,,,,,,,,,,,,,,За,108,54,18,,,,,,,,36,,,,54,,,,,,,,3,,За,108,54,18,,,,,,,,36,,,,54,,,,,,,,3,,11,Кафедра философии (КФ1_ИФФ),4,6422143
2,,2,Б1.О.03,Иностранный язык,,За,72,36,,,,,,,,,36,,,,36,,,,,,,,2,,Эк,108,36,,,,,,,,,36,,,,36,,,,36,,,,3,,Эк За,180,72,,,,,,,,,72,,,,72,,,,36,,,,5,,96,Кафедра разговорного иностранного языка (РИЯ_ИКИТ),1234,6422101
2,,3,Б1.О.04,Безопасность жизнедеятельности,,За,108,54,18,,,,,,,,36,,,,54,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,За,108,54,18,,,,,,,,36,,,,54,,,,,,,,3,,209,Кафедра техносферной и экологической безопасности ,3,6422103
2,,4,Б1.О.05,"Вычислительные системы, сети и телекоммуникации",,,,,,,,,,,,,,,,,,,,,,,,,,,За,108,54,18,,,,36,,,,,,,,54,,,,,,,,3,,За,108,54,18,,,,36,,,,,,,,54,,,,,,,,3,,92,Кафедра вычислительной техники (ВТ_ИКИТ),4,6422092
2,,5,Б1.О.07,Программирование,,Эк,144,54,18,,,,36,,,,,,,,54,,,,36,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,Эк,144,54,18,,,,36,,,,,,,,54,,,,36,,,,4,,94,Кафедра информационных систем (ИС_ИКИТ),123,6422096
2,,6,Б1.О.12,Теория вероятностей и математическая статистика,,Эк,216,72,36,,,,,,,,36,,,,108,,,,36,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,Эк,216,72,36,,,,,,,,36,,,,108,,,,36,,,,6,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ),3,6422098
2,,7,Б1.О.14,Информационная безопасность и защита информации,,,,,,,,,,,,,,,,,,,,,,,,,,,За,108,54,18,,,,,,,,36,,,,54,,,,,,,,3,,За,108,54,18,,,,,,,,36,,,,54,,,,,,,,3,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ),4,6422099
2,,8,Б1.О.15,Право,,,,,,,,,,,,,,,,,,,,,,,,,,,За,108,54,18,,,,,,,,36,,,,54,,,,,,,,3,,За,108,54,18,,,,,,,,36,,,,54,,,,,,,,3,,226,Кафедра иностранного права и сравнительного правоведения (ИПиСП_ОЮ),4,6422105
2,,9,Б1.О.16,Проектирование информационных систем,,За,108,54,18,,,,,,,,36,,,,54,,,,,,,,3,,Эк КР,180,54,18,,,,,,,,36,,,,90,,,,36,,,,5,,Эк За КР,288,108,36,,,,,,,,72,,,,144,,,,36,,,,8,,98,Кафедра систем искусственного интеллекта (КСИИ_ИКИТ),34,6422102
2,,10,Б1.О.17,Операционные системы,,За,108,54,18,,,,,,,,36,,,,54,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,За,108,54,18,,,,,,,,36,,,,54,,,,,,,,3,,92,Кафедра вычислительной техники (ВТ_ИКИТ),3,6422093
2,,11,Б1.О.19,Прикладная физическая культура  и спорт,,За,68,68,,,,,,,,,68,,,,,,,,,,,,,,За,68,68,,,,,,,,,68,,,,,,,,,,,,,,За(2),136,136,,,,,,,,,136,,,,,,,,,,,,,,346,Кафедра физической культуры (ФК_ИФКСТ),123456,6422142
2,,12,Б1.О.20,Основы проектного менеджмента,,Эк,144,54,18,,,,,,,,36,,,,54,,,,36,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,Эк,144,54,18,,,,,,,,36,,,,54,,,,36,,,,4,,443,Кафедра экономики и управления бизнес-процессами,3,6422147
2,,13,Б1.О.21,Базы данных,,За КР,144,54,18,,,,,,,,36,,,,90,,,,,,,,4,,Эк,144,54,18,,,,,,,,36,,,,54,,,,36,,,,4,,Эк За КР,288,108,36,,,,,,,,72,,,,144,,,,36,,,,8,,94,Кафедра информационных систем (ИС_ИКИТ),34,6422095
2,,14,Б1.О.23,Эконометрика,,,,,,,,,,,,,,,,,,,,,,,,,,,Эк,144,54,18,,,,,,,,36,,,,54,,,,36,,,,4,,Эк,144,54,18,,,,,,,,36,,,,54,,,,36,,,,4,,441,Кафедра цифровых технологий управления,4,6422145
3,,1,Б1.О.18,Физическая культура и спорт,,За,18,18,4,,,,,,,,14,,,,,,,,,,,,0.5,,За,18,18,4,,,,,,,,14,,,,,,,,,,,,0.5,,За(2),36,36,8,,,,,,,,28,,,,,,,,,,,,1,,346,Кафедра физической культуры (ФК_ИФКСТ),1256,6422141
3,,2,Б1.О.19,Прикладная физическая культура  и спорт,,За,46,46,,,,,,,,,46,,,,,,,,,,,,,,За,46,46,,,,,,,,,46,,,,,,,,,,,,,,За(2),92,92,,,,,,,,,92,,,,,,,,,,,,,,346,Кафедра физической культуры (ФК_ИФКСТ),123456,6422142
3,,3,Б1.В.01,Технологии оцифровки,,,,,,,,,,,,,,,,,,,,,,,,,,,Эк,180,54,,,,,,,,,54,,,,90,,,,36,,,,5,,Эк,180,54,,,,,,,,,54,,,,90,,,,36,,,,5,,292,Кафедра информационных технологий в креативных и культурных индустриях (ИТККИ_ИСФФ),6,6422110
3,,4,Б1.В.02,Всемирное культурное наследие,,За,108,36,18,,,,,,,,18,,,,72,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,За,108,36,18,,,,,,,,18,,,,72,,,,,,,,3,,292,Кафедра информационных технологий в креативных и культурных индустриях (ИТККИ_ИСФФ),5,6422129
3,,5,Б1.В.04,Специальные исторические дисциплины,,Эк,108,36,18,,,,,,,,18,,,,36,,,,36,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,Эк,108,36,18,,,,,,,,18,,,,36,,,,36,,,,3,,292,Кафедра информационных технологий в креативных и культурных индустриях (ИТККИ_ИСФФ),5,6422114
3,,6,Б1.В.05,История исскуств,,Эк,252,72,36,,,,,,,,36,,,,144,,,,36,,,,7,,За,180,72,36,,,,,,,,36,,,,108,,,,,,,,5,,Эк За,432,144,72,,,,,,,,72,,,,252,,,,36,,,,12,,292,Кафедра информационных технологий в креативных и культурных индустриях (ИТККИ_ИСФФ),56,6422126
3,,7,Б1.В.06,Создание и обработка цифрового аудио и видео,,За,108,36,,,,,,,,,36,,,,72,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,За,108,36,,,,,,,,,36,,,,72,,,,,,,,3,,292,Кафедра информационных технологий в креативных и культурных индустриях (ИТККИ_ИСФФ),5,6422115
3,,8,Б1.В.07,Графический дизайн и инфографика/Adobe InDesign,,За,108,54,,,,,,,,,54,,,,54,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,За,108,54,,,,,,,,,54,,,,54,,,,,,,,3,,292,Кафедра информационных технологий в креативных и культурных индустриях (ИТККИ_ИСФФ),5,6422116
3,,9,Б1.В.08,3D-моделирование/Autodesk 3ds Max,,За,108,54,,,,,,,,,54,,,,54,,,,,,,,3,,Эк,216,54,,,,,,,,,54,,,,126,,,,36,,,,6,,Эк За,324,108,,,,,,,,,108,,,,180,,,,36,,,,9,,292,Кафедра информационных технологий в креативных и культурных индустриях (ИТККИ_ИСФФ),56,6422117
3,,10,Б1.В.09,Маркетинг в социальных медиа/SMM,,,,,,,,,,,,,,,,,,,,,,,,,,,За КР,144,72,36,,,,,,,,36,,,,72,,,,,,,,4,,За КР,144,72,36,,,,,,,,36,,,,72,,,,,,,,4,,292,Кафедра информационных технологий в креативных и культурных индустриях (ИТККИ_ИСФФ),6,6422130
3,,11,Б1.В.10,Режиссура интерактивных медиа,,,,,,,,,,,,,,,,,,,,,,,,,,,За,108,36,18,,,,,,,,18,,,,72,,,,,,,,3,,За,108,36,18,,,,,,,,18,,,,72,,,,,,,,3,,292,Кафедра информационных технологий в креативных и культурных индустриях (ИТККИ_ИСФФ),6,6422131
3,,12,Б1.В.11,Моушн-дизайн,,Эк,108,54,,,,,,,,,54,,,,18,,,,36,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,Эк,108,54,,,,,,,,,54,,,,18,,,,36,,,,3,,292,Кафедра информационных технологий в креативных и культурных индустриях (ИТККИ_ИСФФ),5,6422118
3,,13,Б1.В.20,Компьютерный анализ текста,,За,108,54,18,,,,,,,,36,,,,54,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,За,108,54,18,,,,,,,,36,,,,54,,,,,,,,3,,292,Кафедра информационных технологий в креативных и культурных индустриях (ИТККИ_ИСФФ),5,6422138
3,,14,ФТД.01,Психология визуального восприятия,,,,,,,,,,,,,,,,,,,,,,,,,,,За,72,36,18,,,,,,,,18,,,,36,,,,,,,,2,,За,72,36,18,,,,,,,,18,,,,36,,,,,,,,2,,292,Кафедра информационных технологий в креативных и культурных индустриях (ИТККИ_ИСФФ),6,6422133
3,,15,ФТД.02,"Природа, культура и история Красноярского края",,За,72,36,18,,,,,,,,18,,,,36,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,За,72,36,18,,,,,,,,18,,,,36,,,,,,,,2,,292,Кафедра информационных технологий в креативных и культурных индустриях (ИТККИ_ИСФФ),5,6422132
3,,16,ФТД.03,Иностранный язык в профессиональной деятельности,,За,108,36,,,,,,,,,36,,,,72,,,,,,,,3,,За,108,36,,,,,,,,,36,,,,72,,,,,,,,3,,За(2),216,72,,,,,,,,,72,,,,144,,,,,,,,6,,292,Кафедра информационных технологий в креативных и культурных индустриях (ИТККИ_ИСФФ),5678,6422148
4,,1,Б1.В.03,Основы научно-исследовательской работы,,,,,,,,,,,,,,,,,,,,,,,,,,,За,72,36,18,,,,,,,,18,,,,36,,,,,,,,2,,За,72,36,18,,,,,,,,18,,,,36,,,,,,,,2,,292,Кафедра информационных технологий в креативных и культурных индустриях (ИТККИ_ИСФФ),8,6422113
4,,2,Б1.В.12,Основы цифрового делопроизводства,,За,108,54,,,,,,,,,54,,,,18,,,,36,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,За,108,54,,,,,,,,,54,,,,18,,,,36,,,,3,,292,Кафедра информационных технологий в креативных и культурных индустриях (ИТККИ_ИСФФ),7,6422119
4,,3,Б1.В.13,Методы анализа данных на Python и R,,Эк,180,54,,,,,,,,,54,,,,90,,,,36,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,Эк,180,54,,,,,,,,,54,,,,90,,,,36,,,,5,,292,Кафедра информационных технологий в креативных и культурных индустриях (ИТККИ_ИСФФ),7,6422120
4,,4,Б1.В.14,Технологии дополненной и виртуальной реальности: AR и VR,,Эк,180,90,,,,,,,,,90,,,,54,,,,36,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,Эк,180,90,,,,,,,,,90,,,,54,,,,36,,,,5,,292,Кафедра информационных технологий в креативных и культурных индустриях (ИТККИ_ИСФФ),7,6422121
4,,5,Б1.В.15,3D-скульптинг/Pixologic ZBrush,,За,108,54,,,,,,,,,54,,,,54,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,За,108,54,,,,,,,,,54,,,,54,,,,,,,,3,,292,Кафедра информационных технологий в креативных и культурных индустриях (ИТККИ_ИСФФ),7,6422125
4,,6,Б1.В.16,"Веб-аналитика/Яндекс.Метрика, Google Analytics",,,,,,,,,,,,,,,,,,,,,,,,,,,За,72,36,18,,,,,,,,18,,,,36,,,,,,,,2,,За,72,36,18,,,,,,,,18,,,,36,,,,,,,,2,,292,Кафедра информационных технологий в креативных и культурных индустриях (ИТККИ_ИСФФ),8,6422122
4,,7,Б1.В.17,UI/UX дизайн,,За,72,54,,,,,,,,,54,,,,18,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,За,72,54,,,,,,,,,54,,,,18,,,,,,,,2,,292,Кафедра информационных технологий в креативных и культурных индустриях (ИТККИ_ИСФФ),7,6422135
4,,8,Б1.В.18,Полиграфический дизайн и верстка/Adobe Illustrator,,,,,,,,,,,,,,,,,,,,,,,,,,,Эк,108,54,,,,,,,,,54,,,,18,,,,36,,,,3,,Эк,108,54,,,,,,,,,54,,,,18,,,,36,,,,3,,292,Кафедра информационных технологий в креативных и культурных индустриях (ИТККИ_ИСФФ),8,6422136
