Индекс,,,,Блок/ часть,Наименование,Формируемые компетенции
Б1,,,,,Дисциплины (модули),УК-1; УК-2; УК-3; УК-4; УК-5; УК-6; УК-7; УК-8; УК-9; УК-10; ОПК-1; ОПК-2; ОПК-3; ОПК-4; ОПК-6; ОПК-7; ОПК-8; ПК-1; ПК-2; ПК-3; ПК-4; ПК-5; ПК-6; ПК-7; ПК-8; ПК-9; ПК-10; ПК-11; ПК-12; ПК-13; ПК-14; ПК-15; ПК-16; ПК-17; ПК-18
,Б1.О,,,,Обязательная часть,УК-1; УК-2; УК-3; УК-4; УК-5; УК-6; УК-7; УК-8; ОПК-1; ОПК-2; ОПК-3; ОПК-4; ОПК-6; ОПК-7; ОПК-8
,,Б1.О.01,,Б1.О,Философия,УК-1; УК-5; УК-6
,,Б1.О.02,,Б1.О,История,
,,,Б1.О.02.01,Б1.О,История России,УК-5
,,,Б1.О.02.02,Б1.О,Всеобщая история,УК-5
,,Б1.О.03,,Б1.О,Иностранный язык,УК-4
,,Б1.О.04,,Б1.О,Безопасность жизнедеятельности,УК-8
,,Б1.О.05,,Б1.О,Физика,ОПК-1
,,Б1.О.06,,Б1.О,Информатика,ОПК-7
,,Б1.О.07,,Б1.О,Основы программирования,ОПК-6
,,Б1.О.08,,Б1.О,Введение в профессиональную деятельность,УК-2; ОПК-2; ОПК-4
,,Б1.О.09,,Б1.О,Алгебра и геометрия,ОПК-1
,,Б1.О.10,,Б1.О,Математический анализ,ОПК-1
,,Б1.О.11,,Б1.О,Дискретная математика,ОПК-1; ОПК-7
,,Б1.О.12,,Б1.О,Теория вероятностей и математическая статистика,ОПК-1
,,Б1.О.13,,Б1.О,Теория и практика эффективного речевого общения,УК-3; УК-4
,,Б1.О.14,,Б1.О,Информационная безопасность и защита информации,ОПК-3
,,Б1.О.15,,Б1.О,Математическая логика и теория алгоритмов,ОПК-1; ОПК-7
,,Б1.О.16,,Б1.О,Алгоритмы и структуры данных,ОПК-6
,,Б1.О.17,,Б1.О,Базы данных,ОПК-8
,,Б1.О.18,,Б1.О,Технологии анализа данных,ОПК-2; ОПК-8
,,Б1.О.19,,Б1.О,"Теория автоматов, языков и вычислений",ОПК-1
,,Б1.О.20,,Б1.О,Основы функционального программирования,ОПК-6
,,Б1.О.21,,Б1.О,Машинно-зависимые языки программирования,ОПК-6
