-,-,-,-,Форма контроля,,,,,з.е.,Итого акад.часов,,,,,,Курс 1,,,,,,,,,,,,,,,,Курс 2,,,,,,,,,,,,,,Курс 3,,,,,,,,,,,,,,Курс 4,,,,,,,,,,,,,,Закрепленная кафедра
,,,,,,,,,,,,,,,,Семестр 1,,,,,,,,,Семестр 2,,,,,,,Семестр 3,,,,,,,Семестр 4,,,,,,,Семестр 5,,,,,,,Семестр 6,,,,,,,Семестр 7,,,,,,,Семестр 8,,,,,,,
Считать в плане,Индекс,Наименование,Блок/ часть,Экза мен,Зачет,Зачет с оц.,КП,КР,Факт,По плану,Ауд.,СР,Конт роль,Интер  часы,Элект часы,з.е.,Итого,Лек,Лаб,Пр,Пр электр.,СР,СР электр.,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,Код
Блок 1.Дисциплины (модули) ,,,,,,,,,210,7888,3310,3714,864,,116,27.5,1040,168,,350,8,450,108,72,29.5,1112,184,18,334,432,144,28,1076,162,18,320,468,108,29,1112,144,,338,486,144,27,1018,112,,366,432,108,27,1018,112,,294,504,108,28,1008,108,,180,612,108,14,504,26,,76,330,72,
Обязательная часть ,,,,,,,,,123,4756,2290,1962,504,,116,27.5,1040,168,,350,8,450,108,72,29.5,1112,184,18,334,432,144,21,824,108,18,266,360,72,20,788,90,,230,324,144,9.5,388,58,,168,162,,10.5,424,58,,168,162,36,5,180,36,,36,72,36,,,,,,,,
+,Б1.О.01,Философия,Б1.О,4,,,,,4,144,54,54,36,,,,,,,,,,,,,,,,,,,,,,,,,,4,144,18,,36,54,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
+,Б1.О.02,История,Б1.О,,12,,,,4,144,72,72,,,,2,72,18,,18,,36,,,2,72,18,,18,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+,Б1.О.02.01,История России,Б1.О,,1,,,,2,72,36,36,,,,2,72,18,,18,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,461
+,Б1.О.02.02,Всеобщая история,Б1.О,,2,,,,2,72,36,36,,,,,,,,,,,,,2,72,18,,18,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,461
+,Б1.О.03,Иностранный язык,Б1.О,4,123,,,,9,324,144,144,36,,44,2,72,,,36,8,36,36,,2,72,,,36,36,,2,72,,,36,36,,3,108,,,36,36,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96
+,Б1.О.04,Безопасность жизнедеятельности,Б1.О,,3,,,,3,108,54,54,,,,,,,,,,,,,,,,,,,,3,108,18,,36,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209
+,Б1.О.05,Физика,Б1.О,3,2,,,,8,288,126,126,36,,,,,,,,,,,,4,144,36,18,18,72,,4,144,18,18,18,54,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141
+,Б1.О.06,Информатика,Б1.О,1,,,,,4,144,54,54,36,,,4,144,18,,36,,54,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93
+,Б1.О.07,Основы программирования,Б1.О,2,1,,,,9,324,144,144,36,,,5,180,18,,72,,90,,,4,144,18,,36,54,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93
