Индекс,,,,Содержание
ПК-1,,,,"Способен контролировать соблюдение требований по защите информации при установке программного обеспечения, включая антивирусное программное обеспечение"
,06.032,,,СПЕЦИАЛИСТ ПО БЕЗОПАСНОСТИ КОМПЬЮТЕРНЫХ СИСТЕМ И СЕТЕЙ
,,B,,Администрирование средств защиты информации в компьютерных системах и сетях
,,,B/03.6,Администрирование средств защиты информации прикладного и системного программного обеспечения
ПК-2,,,,Способен определять порядок установки программного обеспечения с целью соблюдения требований по защите информации
,06.032,,,СПЕЦИАЛИСТ ПО БЕЗОПАСНОСТИ КОМПЬЮТЕРНЫХ СИСТЕМ И СЕТЕЙ
,,B,,Администрирование средств защиты информации в компьютерных системах и сетях
,,,B/03.6,Администрирование средств защиты информации прикладного и системного программного обеспечения
ПК-3,,,,Способен формулировать требования к параметрам средств антивирусной защиты для корректной работы программного обеспечения
,06.032,,,СПЕЦИАЛИСТ ПО БЕЗОПАСНОСТИ КОМПЬЮТЕРНЫХ СИСТЕМ И СЕТЕЙ
,,B,,Администрирование средств защиты информации в компьютерных системах и сетях
,,,B/03.6,Администрирование средств защиты информации прикладного и системного программного обеспечения
ПК-4,,,,Способен выполнять работы по обнаружению вредоносного программного обеспечения
,06.032,,,СПЕЦИАЛИСТ ПО БЕЗОПАСНОСТИ КОМПЬЮТЕРНЫХ СИСТЕМ И СЕТЕЙ
,,B,,Администрирование средств защиты информации в компьютерных системах и сетях
,,,B/03.6,Администрирование средств защиты информации прикладного и системного программного обеспечения
ПК-5,,,,Способен формулировать требования к встроенным средствам защиты информации программного обеспечения
,06.032,,,СПЕЦИАЛИСТ ПО БЕЗОПАСНОСТИ КОМПЬЮТЕРНЫХ СИСТЕМ И СЕТЕЙ
,,B,,Администрирование средств защиты информации в компьютерных системах и сетях
,,,B/03.6,Администрирование средств защиты информации прикладного и системного программного обеспечения
