Индекс,,,,Наименование,Формируемые компетенции
Б1,,,,Дисциплины (модули),УК-1; УК-2; УК-3; УК-4; УК-5; УК-6; УК-7; УК-8; УК-9; УК-10; ОПК-1; ОПК-2; ОПК-3; ОПК-4; ОПК-5; ОПК-6; ОПК-7; ОПК-8; ОПК-9; ОПК-10; ОПК-11; ОПК-12; ОПК-13; ОПК-14; ОПК-15; ОПК-16; ОПК-17; ОПК-4.1; ОПК-4.2; ОПК-4.3; ПК-1; ПК-2; ПК-3; ПК-4; ПК-5
,Б1.О,,,Обязательная часть,УК-1; УК-2; УК-3; УК-4; УК-5; УК-6; УК-7; УК-8; УК-9; УК-10; ОПК-1; ОПК-2; ОПК-3; ОПК-4; ОПК-5; ОПК-6; ОПК-7; ОПК-8; ОПК-9; ОПК-10; ОПК-11; ОПК-12; ОПК-13; ОПК-14; ОПК-15; ОПК-16; ОПК-17; ОПК-4.1; ОПК-4.2; ОПК-4.3
,,Б1.О.01,,Философия,УК-1
,,Б1.О.02,,"История (история России, всеобщая история)",УК-5; ОПК-17
,,Б1.О.03,,Иностранный язык,УК-4
,,Б1.О.04,,Безопасность жизнедеятельности,УК-8
,,Б1.О.05,,Основы информационной безопасности,ОПК-1; ОПК-11; ОПК-4.3
,,Б1.О.06,,Операционные системы,ОПК-9; ОПК-12
,,Б1.О.07,,Компьютерные сети,ОПК-9
,,Б1.О.08,,Системы управления базами данных,ОПК-9; ОПК-14
,,Б1.О.09,,Защита в операционных системах,ОПК-9
,,Б1.О.10,,Защита информации от утечки по техническим каналам,ОПК-9; ОПК-4.2
,,Б1.О.11,,Основы построения защищённых компьютерных сетей,ОПК-15; ОПК-4.2
,,Б1.О.12,,Основы построения защищенных баз данных,ОПК-14
,,Б1.О.13,,Методы и средства криптографической защиты информации,ОПК-10
,,Б1.О.14,,Криптографические протоколы,ОПК-10
,,Б1.О.15,,Физическая культура и спорт,УК-7
,,Б1.О.16,,Прикладная физическая культура и спорт,УК-7
,,Б1.О.17,,Правоведение,УК-2; УК-10
,,Б1.О.18,,Личностное развитие и командообразование,УК-3; УК-6
,,Б1.О.19,,Теория и практика эффективного речевого общения,УК-4
,,Б1.О.20,,Экономическая культура и финансовая грамотность,УК-9
,,Б1.О.21,,Введение в профессиональную деятельность,ОПК-1
,,Б1.О.22,,Организационное и правовое обеспечение информационной безопасности,ОПК-5; ОПК-6; ОПК-4.1
,,Б1.О.23,,Алгебра,ОПК-3
