Индекс,,,,,Наименование,Компетенции,Требования к образованию
06,,,,,"СВЯЗЬ, ИНФОРМАЦИОННЫЕ И КОММУНИКАЦИОННЫЕ ТЕХНОЛОГИИ",,
,06.033,,,,СПЕЦИАЛИСТ ПО ЗАЩИТЕ ИНФОРМАЦИИ В АВТОМАТИЗИРОВАННЫХ СИСТЕМАХ,ПК-1; ПК-2; ПК-3; ПК-4; ПК-5; ПК-6,
,,D,,,Разработка систем защиты информации автоматизированных систем,ПК-1; ПК-2; ПК-3; ПК-4; ПК-5; ПК-6,Высшее образование - специалитет или магистратура в области информационной безопасности
,,,D/01.7,,Тестирование систем защиты информации автоматизированных систем,ПК-4,
,,,,ТД.3,Выявление основных угроз безопасности информации в автоматизированных системах,ПК-4,
,,,D/02.7,,Разработка проектных решений по защите информации в автоматизированных системах,ПК-1; ПК-2; ПК-3; ПК-5,
,,,,ТД.1,Разработка модели угроз безопасности информации и модели нарушителя в автоматизированных системах,ПК-1,
,,,,ТД.2,Разработка моделей автоматизированных систем и подсистем безопасности автоматизированных систем,ПК-2,
,,,,ТД.3,"Разработка проектов нормативных документов, регламентирующих работу по защите информации",ПК-3,
,,,,ТД.4,Разработка предложений по совершенствованию системы управления безопасностью информации в автоматизированных системах,ПК-5,
,,,D/03.7,,Разработка эксплуатационной документации на системы защиты информации автоматизированных систем,ПК-6,
