Индекс,,,Содержание,Тип
УК-1,,,"Способен осуществлять критический анализ проблемных ситуаций на основе системного подхода, вырабатывать стратегию действий",УК
,УК-1.1,,Осуществляет критический анализ проблемных ситуаций,-
,,Б1.О.01,Философия,
,,Б1.О.50,Основы управленческой деятельности,
,,Б1.О.53,Акмеология,
,,Б2.О.01(У),Ознакомительная практика,
,,Б2.В.01(У),Учебно-лабораторный практикум,
,,Б3.01(Д),Подготовка к процедуре защиты и защита выпускной квалификационной работы,
,,Б3.02(Г),Подготовка к сдаче и сдача государственного экзамена,
,УК-1.2,,Применяет системный подход для анализа проблемных ситуаций,-
,,Б1.О.01,Философия,
,,Б1.О.50,Основы управленческой деятельности,
,,Б1.О.53,Акмеология,
,,Б2.О.01(У),Ознакомительная практика,
,,Б2.В.01(У),Учебно-лабораторный практикум,
,,Б3.01(Д),Подготовка к процедуре защиты и защита выпускной квалификационной работы,
,,Б3.02(Г),Подготовка к сдаче и сдача государственного экзамена,
,УК-1.3,,Вырабатывает стратегию действий,-
,,Б1.О.01,Философия,
,,Б1.О.50,Основы управленческой деятельности,
,,Б1.О.53,Акмеология,
,,Б2.О.01(У),Ознакомительная практика,
,,Б2.В.01(У),Учебно-лабораторный практикум,
,,Б3.01(Д),Подготовка к процедуре защиты и защита выпускной квалификационной работы,
,,Б3.02(Г),Подготовка к сдаче и сдача государственного экзамена,
УК-2,,,Способен управлять проектом на всех этапах его жизненного цикла,УК
,УК-2.1,,"Способен отбирать и разрабатывать проектные инициативы с учетом временных и ресурсных ограничений, а также интересов стейкхолдеров",-
,,Б1.О.50,Основы управленческой деятельности,
,,Б2.О.01(У),Ознакомительная практика,
,,Б2.В.01(У),Учебно-лабораторный практикум,
,,Б3.01(Д),Подготовка к процедуре защиты и защита выпускной квалификационной работы,
,,Б3.02(Г),Подготовка к сдаче и сдача государственного экзамена,
,УК-2.2,,Способен оценивать эффективность проектных инициатив в условиях неопределенности,-
,,Б1.О.50,Основы управленческой деятельности,
,,Б2.О.01(У),Ознакомительная практика,
,,Б2.В.01(У),Учебно-лабораторный практикум,
,,Б3.01(Д),Подготовка к процедуре защиты и защита выпускной квалификационной работы,
,,Б3.02(Г),Подготовка к сдаче и сдача государственного экзамена,
,УК-2.3,,"Способен выбирать релевантные инструменты и методы управления реализацией проекта, в том числе обеспечения контроля за ходом работ и налаживания командной работы",-
,,Б1.О.17,Правоведение,
,,Б1.О.50,Основы управленческой деятельности,
,,Б2.О.01(У),Ознакомительная практика,
,,Б2.В.01(У),Учебно-лабораторный практикум,
,,Б3.01(Д),Подготовка к процедуре защиты и защита выпускной квалификационной работы,
,,Б3.02(Г),Подготовка к сдаче и сдача государственного экзамена,
УК-3,,,"Способен организовывать и руководить работой команды, вырабатывая командную стратегию для достижения поставленной цели",УК
,УК-3.1,,Организует отбор членов команды для достижения поставленной цели,-
,,Б1.О.18,Личностное развитие и командообразование,
,,Б1.О.50,Основы управленческой деятельности,
,,Б3.01(Д),Подготовка к процедуре защиты и защита выпускной квалификационной работы,
,,Б3.02(Г),Подготовка к сдаче и сдача государственного экзамена,
,УК-3.2,,Вырабатывает командную стратегию для достижения поставленной цели и руководит,-
,,Б1.О.18,Личностное развитие и командообразование,
,,Б1.О.50,Основы управленческой деятельности,
,,Б3.01(Д),Подготовка к процедуре защиты и защита выпускной квалификационной работы,
,,Б3.02(Г),Подготовка к сдаче и сдача государственного экзамена,
,УК-3.3,,Разрешает конфликты и противоречия при деловом общении на основе учета интересов всех сторон,-
,,Б1.О.18,Личностное развитие и командообразование,
,,Б1.О.50,Основы управленческой деятельности,
,,Б3.01(Д),Подготовка к процедуре защиты и защита выпускной квалификационной работы,
,,Б3.02(Г),Подготовка к сдаче и сдача государственного экзамена,
УК-4,,,"Способен применять современные коммуникативные технологии, в том числе на иностранном(ых) языке(ах), для академического и профессионального взаимодействия",УК
,УК-4.1,,"Выбирает на государственном и иностранном языке коммуникативно приемлемый стиль делового общения, вербальные и невербальные средства взаимодействия с партнёрами",-
,,Б1.О.03,Иностранный язык,
,,Б1.О.19,Теория и практика эффективного речевого общения,
,,Б1.В.03,Английский язык для профессиональных целей,
,,Б3.01(Д),Подготовка к процедуре защиты и защита выпускной квалификационной работы,
,УК-4.2,,"Ведет деловую переписку, учитывая особенности стилистики официальных и неофициальных писем, социокультурные различия в формате корреспонденции на государственном и иностранном языке",-
,,Б1.О.03,Иностранный язык,
,,Б1.О.19,Теория и практика эффективного речевого общения,
,,Б1.В.03,Английский язык для профессиональных целей,
,,Б3.01(Д),Подготовка к процедуре защиты и защита выпускной квалификационной работы,
,УК-4.3,,"Демонстрирует интегративные умения использовать диалогическое общение для сотрудничества в академической и профессиональной коммуникации: внимательно слушая и пытаясь понять суть идей других, даже если они противоречат собственным воззрениям;  уважая высказывания других как в плане содержания, так и в плане формы; критикуя аргументировано и конструктивно, не задевая чувств других; адаптируя речь и язык жестов к ситуациям взаимодействия",-
,,Б1.О.03,Иностранный язык,
,,Б1.О.19,Теория и практика эффективного речевого общения,
,,Б1.В.03,Английский язык для профессиональных целей,
,,Б3.01(Д),Подготовка к процедуре защиты и защита выпускной квалификационной работы,
УК-5,,,Способен анализировать и учитывать разнообразие культур в процессе межкультурного взаимодействия,УК
,УК-5.1,,"Выявляет, сопоставляет, типологизирует своеобразие культур народов России и мира на основе знаний истории их возникновения и развития для разработки стратегии взаимодействия с представителями разных культурных традиций",-
,,Б1.О.02,"История (история России, всеобщая история)",
,,Б3.01(Д),Подготовка к процедуре защиты и защита выпускной квалификационной работы,
,УК-5.2,,Способен анализировать и учитывать разнообразие культур в современных процессах межкультурного взаимодействия,-
,,Б1.О.02,"История (история России, всеобщая история)",
,,Б3.01(Д),Подготовка к процедуре защиты и защита выпускной квалификационной работы,
УК-6,,,Способен определять и реализовывать приоритеты собственной деятельности и способы ее совершенствования на основе самооценки и образования в течение всей жизни,УК
,УК-6.1,,"Использует инструменты и методы управления временем при выполнении конкретных задач, проектов, при достижении поставленных целей",-
,,Б1.О.18,Личностное развитие и командообразование,
,,Б1.О.53,Акмеология,
,,Б3.01(Д),Подготовка к процедуре защиты и защита выпускной квалификационной работы,
,УК-6.2,,"Определяет задачи саморазвития и профессионального роста, распределяет их на долго-, средне- и краткосрочные с обоснованием актуальности и определением необходимых ресурсов для их выполнения",-
,,Б1.О.18,Личностное развитие и командообразование,
,,Б3.01(Д),Подготовка к процедуре защиты и защита выпускной квалификационной работы,
,УК-6.3,,Реализует и использует основные возможности и инструменты непрерывного образования для реализации собственных потребностей с учетом рынка труда,-
,,Б1.О.18,Личностное развитие и командообразование,
,,Б3.01(Д),Подготовка к процедуре защиты и защита выпускной квалификационной работы,
УК-7,,,Способен поддерживать должный уровень физической подготовленности для обеспечения полноценной социальной и профессиональной деятельности,УК
,УК-7.1,,Применяет теоретические знания и практические умения для поддержания должного уровня физической подготовленности в профессиональной деятельности,-
,,Б1.О.15,Физическая культура и спорт,
,,Б3.01(Д),Подготовка к процедуре защиты и защита выпускной квалификационной работы,
,УК-7.2,,Выбирает спортивные и здоровьесберегающие технологии для поддержания здорового образа жизни с учетом физиологических особенностей организма,-
,,Б1.О.16,Прикладная физическая культура и спорт,
,,Б3.01(Д),Подготовка к процедуре защиты и защита выпускной квалификационной работы,
,УК-7.3,,Использует разнообразные средства и методы физической культуры и спорта для поддержания должного уровня физической подготовленности в профессиональной деятельности,-
,,Б1.О.16,Прикладная физическая культура и спорт,
,,Б3.01(Д),Подготовка к процедуре защиты и защита выпускной квалификационной работы,
,УК-7.4,,Соблюдает и пропагандирует нормы здорового образа жизни в различных жизненных ситуациях и в профессиональной деятельности,-
,,Б1.О.15,Физическая культура и спорт,
,,Б3.01(Д),Подготовка к процедуре защиты и защита выпускной квалификационной работы,
УК-8,,,"Способен создавать и поддерживать в повседневной жизни и в профессиональной деятельности безопасные условия жизнедеятельности для сохранения природной среды, обеспечения устойчивого развития общества, в том числе при угрозе и возникновении чрезвычайных ситуаций и военных конфликтов",УК
,УК-8.1,,"Выявляет вероятные риски, определяет и оценивает опасные и вредные факторы влияющие на жизнедеятельность при возникновении чрезвычайных ситуаций природного, техногенного и социального происхождения",-
,,Б1.О.04,Безопасность жизнедеятельности,
,,Б3.01(Д),Подготовка к процедуре защиты и защита выпускной квалификационной работы,
,УК-8.2,,"Понимает общие принципы обеспечения безопасной жизнедеятельности, в том числе при возникновении угрозы чрезвычайных ситуаций и военных конфликтов",-
,,Б1.О.04,Безопасность жизнедеятельности,
,,Б3.01(Д),Подготовка к процедуре защиты и защита выпускной квалификационной работы,
,УК-8.3,,Выявляет факторы вредного влияния производственных процессов и осуществляет действия по минимизации и предотвращению техногенного воздействия на природную среду с целью обеспечения устойчивого развития,-
,,Б1.О.04,Безопасность жизнедеятельности,
,,Б3.01(Д),Подготовка к процедуре защиты и защита выпускной квалификационной работы,
УК-9,,,Способен принимать обоснованные экономические решения в различных областях жизнедеятельности,УК
,УК-9.1,,"Понимает базовые принципы функционирования экономики и экономического развития, цели и формы участия государства в экономике",-
,,Б1.О.20,Экономическая культура и финансовая грамотность,
,,Б3.01(Д),Подготовка к процедуре защиты и защита выпускной квалификационной работы,
,УК-9.2,,Применяет методы личного экономического и финансового планирования для достижения текущих и долгосрочных финансовых целей,-
,,Б1.О.20,Экономическая культура и финансовая грамотность,
