-,-,-,Форма контроля,,,,,з.е.,,Итого акад.часов,,,,,,,Курс 1,,Курс 2,,Курс 3,,Курс 4,,Закрепленная кафедра,
,,,,,,,,,,,,,,,,,Семестр 1,Семестр 2,Семестр 3,Семестр 4,Семестр 5,Семестр 6,Семестр 7,Семестр 8,,
Считать в плане,Индекс,Наименование,Экза мен,Зачет,Зачет с оц.,КП,КР,Экспер тное,Факт,Экспер тное,По плану,Конт. раб.,Ауд.,СР,Конт роль,Пр. подгот,з.е.,з.е.,з.е.,з.е.,з.е.,з.е.,з.е.,з.е.,Код,Наименование
Блок 1.Дисциплины (модули) ,,,,,,,,210,210,7888,7888,3696,3696,3364,828,,27.5,29.5,28,29,28.5,25.5,29,13,,
Обязательная часть ,,,,,,,,117,117,4540,4540,2272,2272,1800,468,,23.5,22.5,20,18,18.5,7.5,7,,,
+,Б1.О.01,Философия,4,,,,,4,4,144,144,54,54,54,36,,,,,4,,,,,11,Кафедра философии (КФ1_ИФФ)
+,Б1.О.02,История,,12,,,,4,4,144,144,72,72,72,,,2,2,,,,,,,,
+,Б1.О.02.01,История России,,1,,,,2,2,72,72,36,36,36,,,2,,,,,,,,461,"Кафедра истории России, мировых и региональных цивилизаций"
+,Б1.О.02.02,Всеобщая история,,2,,,,2,2,72,72,36,36,36,,,,2,,,,,,,461,"Кафедра истории России, мировых и региональных цивилизаций"
+,Б1.О.03,Иностранный язык,4,123,,,,9,9,324,324,144,144,144,36,,2,2,2,3,,,,,96,Кафедра разговорного иностранного языка (РИЯ_ИКИТ)
+,Б1.О.04,Безопасность жизнедеятельности,,3,,,,4,4,144,144,72,72,72,,,,,4,,,,,,209,Кафедра техносферной и экологической безопасности 
+,Б1.О.05,Физика,3,2,,,,8,8,288,288,126,126,126,36,,,4,4,,,,,,141,Кафедра физики  (Ф2_ИФО)
+,Б1.О.06,Информатика,1,,,,,4,4,144,144,54,54,54,36,,4,,,,,,,,93,Кафедра информатики (И_ИКИТ)
+,Б1.О.07,Основы программирования,2,1,,,,9,9,324,324,144,144,144,36,,5,4,,,,,,,93,Кафедра информатики (И_ИКИТ)
+,Б1.О.08,Физическая культура и спорт,,1256,,,,2,2,72,72,72,72,,,,0.5,0.5,,,0.5,0.5,,,346,Кафедра физической культуры (ФК_ИФКСТ)
+,Б1.О.09,Прикладная физическая культура и спорт,,123456,,,,,,328,328,328,328,,,,,,,,,,,,346,Кафедра физической культуры (ФК_ИФКСТ)
+,Б1.О.10,Алгебра и геометрия,1,,,,,5,5,180,180,72,72,72,36,,5,,,,,,,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
+,Б1.О.11,Математический анализ,2,1,,,,10,10,360,360,180,180,144,36,,5,5,,,,,,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
+,Б1.О.12,Дискретная математика,2,,,,,5,5,180,180,72,72,72,36,,,5,,,,,,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
+,Б1.О.13,Теория вероятностей,,3,,,,3,3,108,108,54,54,54,,,,,3,,,,,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
+,Б1.О.14,Математическая логика и теория алгоритмов,,3,,,,3,3,108,108,54,54,54,,,,,3,,,,,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
+,Б1.О.15,Математическая статистика,,4,,,,3,3,108,108,54,54,54,,,,,,3,,,,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
+,Б1.О.16,Электротехника и электроника,4,3,,,,9,9,324,324,144,144,144,36,,,,4,5,,,,,97,"Кафедра систем автоматики, автоматизированного управления и проектирования (СААУП_ИКИТ)"
+,Б1.О.17,Теория автоматического управления,,5,,,,4,4,144,144,54,54,90,,,,,,,4,,,,97,"Кафедра систем автоматики, автоматизированного управления и проектирования (СААУП_ИКИТ)"
+,Б1.О.18,Теория систем,6,5,,,5,9,9,324,324,144,144,144,36,,,,,,5,4,,,389,Базовая кафедра Интеллектуальные системы управления (ИСУ_ИКИТ)
+,Б1.О.19,Статистический анализ данных,,4,,,,3,3,108,108,54,54,54,,,,,,3,,,,,389,Базовая кафедра Интеллектуальные системы управления (ИСУ_ИКИТ)
+,Б1.О.20,Защита интеллектуальной собственности,5,,,,,4,4,144,144,54,54,54,36,,,,,,4,,,,11,Кафедра философии (КФ1_ИФФ)
+,Б1.О.21,Методы машинного обучения,5,,,,5,5,5,180,180,72,72,72,36,,,,,,5,,,,389,Базовая кафедра Интеллектуальные системы управления (ИСУ_ИКИТ)
+,Б1.О.22,Методы оптимизации,,6,,,,3,3,108,108,72,72,36,,,,,,,,3,,,389,Базовая кафедра Интеллектуальные системы управления (ИСУ_ИКИТ)
+,Б1.О.23,Управление в организационных системах,,7,,,,3,3,108,108,54,54,54,,,,,,,,,3,,389,Базовая кафедра Интеллектуальные системы управления (ИСУ_ИКИТ)
+,Б1.О.24,Моделирование систем,7,,,,,4,4,144,144,72,72,36,36,,,,,,,,4,,389,Базовая кафедра Интеллектуальные системы управления (ИСУ_ИКИТ)
"Часть, формируемая участниками образовательных отношений ",,,,,,,,93,93,3348,3348,1424,1424,1564,360,,4,7,8,11,10,18,22,13,,
+,Б1.В.01,Введение в профессиональную деятельность,2,1,,,,8,8,288,288,72,72,180,36,,4,4,,,,,,,389,Базовая кафедра Интеллектуальные системы управления (ИСУ_ИКИТ)
+,Б1.В.02,Теория и практика эффективного речевого общения,,2,,,,3,3,108,108,54,54,54,,,,3,,,,,,,388,Кафедра русского языка и  речевой коммуникации (РЯиРК_ИФИЯК)
+,Б1.В.03,Технологии личностного роста и социальных взаимодействий,,3,,,,3,3,108,108,54,54,54,,,,,3,,,,,,317,Кафедра общей и социальной педагогики (ОиСП_ИППС)
+,Б1.В.04,Объектно-ориентированное программирование,3,4,,,,8,8,288,288,126,126,126,36,,,,5,3,,,,,389,Базовая кафедра Интеллектуальные системы управления (ИСУ_ИКИТ)
+,Б1.В.05,Разработка web-приложений,,4,,,,3,3,108,108,54,54,54,,,,,,3,,,,,389,Базовая кафедра Интеллектуальные системы управления (ИСУ_ИКИТ)
+,Б1.В.06,Базы данных,4,,,,,5,5,180,180,72,72,72,36,,,,,5,,,,,389,Базовая кафедра Интеллектуальные системы управления (ИСУ_ИКИТ)
+,Б1.В.07,Нейронные сети и их приложения,8,,,,8,7,7,252,252,64,64,152,36,,,,,,,,,7,389,Базовая кафедра Интеллектуальные системы управления (ИСУ_ИКИТ)
+,Б1.В.08,Методы искусственного интеллекта,,6,,,,3,3,108,108,54,54,54,,,,,,,,3,,,98,Кафедра систем искусственного интеллекта (КСИИ_ИКИТ)
+,Б1.В.09,Агентное моделирование сложных систем,6,,,,,5,5,180,180,90,90,54,36,,,,,,,5,,,389,Базовая кафедра Интеллектуальные системы управления (ИСУ_ИКИТ)
+,Б1.В.10,Командный курсовой проект,,67,,7,,9,9,324,324,144,144,180,,,,,,,,5,4,,389,Базовая кафедра Интеллектуальные системы управления (ИСУ_ИКИТ)
+,Б1.В.11,Анализ неструктурированных данных,7,,,,,5,5,180,180,108,108,36,36,,,,,,,,5,,389,Базовая кафедра Интеллектуальные системы управления (ИСУ_ИКИТ)
+,Б1.В.12,Управление программными проектами,,7,,,7,3,3,108,108,54,54,54,,,,,,,,,3,,389,Базовая кафедра Интеллектуальные системы управления (ИСУ_ИКИТ)
+,Б1.В.13,Экономическая культура и финансовая грамотность,,7,,,,3,3,108,108,54,54,54,,,,,,,,,3,,443,Кафедра экономики и управления бизнес-процессами
+,Б1.В.14,Основы профилактики коррупции,,7,,,,2,2,72,72,36,36,36,,,,,,,,,2,,98,Кафедра систем искусственного интеллекта (КСИИ_ИКИТ)
+,Б1.В.15,Управление требованиями к программному обеспечению,8,,,,,6,6,216,216,64,64,116,36,,,,,,,,,6,389,Базовая кафедра Интеллектуальные системы управления (ИСУ_ИКИТ)
+,Б1.В.ДВ.01,Дисциплины по выбору Б1.В.ДВ.1,5,,,,5,6,6,216,216,72,72,108,36,,,,,,6,,,,,
+,Б1.В.ДВ.01.01,Теория и технология программирования,5,,,,5,6,6,216,216,72,72,108,36,,,,,,6,,,,389,Базовая кафедра Интеллектуальные системы управления (ИСУ_ИКИТ)
-,Б1.В.ДВ.01.02,Проектирование и архитектура информационных систем,5,,,,5,6,6,216,216,72,72,108,36,,,,,,6,,,,389,Базовая кафедра Интеллектуальные системы управления (ИСУ_ИКИТ)
+,Б1.В.ДВ.02,Дисциплины по выбору Б1.В.ДВ.2,6,5,,,,9,9,324,324,144,144,144,36,,,,,,4,5,,,,
+,Б1.В.ДВ.02.01,Теория эволюционных вычислений,6,5,,,,9,9,324,324,144,144,144,36,,,,,,4,5,,,389,Базовая кафедра Интеллектуальные системы управления (ИСУ_ИКИТ)
-,Б1.В.ДВ.02.02,Технологии вычислительного интеллекта,6,5,,,,9,9,324,324,144,144,144,36,,,,,,4,5,,,389,Базовая кафедра Интеллектуальные системы управления (ИСУ_ИКИТ)
+,Б1.В.ДВ.03,Дисциплины по выбору Б1.В.ДВ.3,7,,,,,5,5,180,180,108,108,36,36,,,,,,,,5,,,
-,Б1.В.ДВ.03.01,Разработка интеграционных систем,7,,,,,5,5,180,180,108,108,36,36,,,,,,,,5,,389,Базовая кафедра Интеллектуальные системы управления (ИСУ_ИКИТ)
+,Б1.В.ДВ.03.02,Хранилища данных,7,,,,,5,5,180,180,108,108,36,36,,,,,,,,5,,389,Базовая кафедра Интеллектуальные системы управления (ИСУ_ИКИТ)
Блок 2.Практика ,,,,,,,,21,21,756,756,,,756,,,,3,,3,,6,,9,,
Обязательная часть ,,,,,,,,21,21,756,756,,,756,,,,3,,3,,6,,9,,
+,Б2.О.01,Учебная практика,,24,,,,6,6,216,216,,,216,,,,3,,3,,,,,,
+,Б2.О.01.01(У),Ознакомительная практика,,24,,,,6,6,216,216,,,216,,,,3,,3,,,,,389,Базовая кафедра Интеллектуальные системы управления (ИСУ_ИКИТ)
+,Б2.О.02,Производственная  практика,,,688,,,15,15,540,540,,,540,,,,,,,,6,,9,,
+,Б2.О.02.01(П),Технологическая (проектно-технологическая) практика,,,6,,,6,6,216,216,,,216,,,,,,,,6,,,389,Базовая кафедра Интеллектуальные системы управления (ИСУ_ИКИТ)
+,Б2.О.02.02(П),Научно-исследовательская  работа,,,8,,,3,3,108,108,,,108,,,,,,,,,,3,389,Базовая кафедра Интеллектуальные системы управления (ИСУ_ИКИТ)
+,Б2.О.02.03(П),Преддипломная практика,,,8,,,6,6,216,216,,,216,,,,,,,,,,6,389,Базовая кафедра Интеллектуальные системы управления (ИСУ_ИКИТ)
Блок 3.Государственная итоговая аттестация ,,,,,,,,9,9,324,324,,,324,,,,,,,,,,9,,
+,Б3.01(Д),"Выполнение, подготовка к процедуре защиты и защита выпускной квалификационной работы",,,8,,,9,9,324,324,,,324,,,,,,,,,,9,389,Базовая кафедра Интеллектуальные системы управления (ИСУ_ИКИТ)
ФТД.Факультативные дисциплины ,,,,,,,,5,5,180,180,108,108,72,,,,,,,2,,3,,,
+,ФТД.01,Архитектура вычислительных систем,,5,,,,2,2,72,72,36,36,36,,,,,,,2,,,,93,Кафедра информатики (И_ИКИТ)
+,ФТД.02,Компьютерное зрение и обработка изображений,,7,,,,3,3,108,108,72,72,36,,,,,,,,,3,,389,Базовая кафедра Интеллектуальные системы управления (ИСУ_ИКИТ)
