,,,,Итого,,,,,,,,,,,,,,,,,,Курс 1,,,,,,,Курс 2,,,,,,,Курс 3,,,,,,,Курс 4,,,,,,,Курс 5,,,,,,,Курс 6,,,,,,,Курс 7,,,,,
,,,,Баз.%,Вар.%,ДВ(от Вар.)%,з.е.,,,,,,,Часов,,,,,,,,Всего,Всего,Сем. 1,,Сем. 2,,,Всего,Всего,Сем. 3,,Сем. 4,,,Всего,Всего,Сем. 5,,Сем. 6,,,Всего,Всего,Сем. 7,,Сем. 8,,,Всего,Всего,Сем. 9,,Сем. A,,,Всего,Всего,Сем. B,,Сем. C,,,Всего,Всего,Сем. D,,Сем. E,
,,,,,,,Мин.,Макс.,,,Факт,Факт,Переат.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Итого (с факультативами),12,,,,,191,352,,,245,245,,,,,,,,,,60,,27.5,,32.5,,,60,,28,,32,,,62,,30.5,,31.5,,,63,,32,,31,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Итого по ОП (без факультативов),11,,,,,189,342,,,240,240,,,,,,,,,,60,,27.5,,32.5,,,60,,28,,32,,,60,,28.5,,31.5,,,60,,29,,31,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Б1,Дисциплины (модули),738813,,56%,44%,21.5%,160,211,,,210,210,,,,,,,,,,57,,27.5,,29.5,,,57,,28,,29,,,54,,28.5,,25.5,,,42,,29,,13,,,,,,,,,,,,,,,,,,,,,,
Б1.О,Обязательная часть,738814,,,,,,211,,,117,117,,,,,,,,,,46,,23.5,,22.5,,,38,,20,,18,,,26,,18.5,,7.5,,,7,,7,,,,,,,,,,,,,,,,,,,,,,,,
Б1.В,"Часть, формируемая участниками образовательных отношений",738815,,,,,,211,,,93,93,,,,,,,,,,11,,4,,7,,,19,,8,,11,,,28,,10,,18,,,35,,22,,13,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Б2,Практика,738816,,100%,0%,0%,20,71,,,21,21,,,,,,,,,,3,,,,3,,,3,,,,3,,,6,,,,6,,,9,,,,9,,,,,,,,,,,,,,,,,,,,,,
Б2.О,Обязательная часть,738817,,,,,20,71,,,21,21,,,,,,,,,,3,,,,3,,,3,,,,3,,,6,,,,6,,,9,,,,9,,,,,,,,,,,,,,,,,,,,,,
Б2.В,"Часть, формируемая участниками образовательных отношений",738818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Б3,Государственная итоговая аттестация,738819,,,,,9,60,,,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,9,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ФТД,Факультативные дисциплины,738820,,,,,2,10,,,5,5,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,,3,,3,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Учебная нагрузка (акад.час/нед),"ОП, факультативы (в период ТО)",,,,,,,,,54,,,,,,,,,,,-,,55.4,,53.8,,,-,,57.4,,53.8,,,-,,55.1,,49.9,,,-,,53.5,,51.7,,,-,,,,,,,-,,,,,,,-,,,,,
,,"ОП, факультативы (в период экз. сессий)",,,,,,,,,49.7,,,,,,,,,,,-,,36,,54,,,-,,36,,54,,,-,,54,,54,,,-,,54,,54,,,-,,,,,,,-,,,,,,,-,,,,,
,,в период гос. экзаменов,,,,,,,,,,,,,,,,,,,,-,,,,,,,-,,,,,,,-,,,,,,,-,,,,,,,-,,,,,,,-,,,,,,,-,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Контактная работа в период ТО (акад.час/нед),ОП без элект. дисциплин по физ.к.,,,,,,,,,25.8,,,,,,,,,,,-,,24.7,,26,,,-,,26.8,,25,,,-,,23.7,,26.3,,,-,,31.9,,16.7,,,-,,,,,,,-,,,,,,,-,,,,,
,,элективные дисциплины по физ.к.,,,,,,,,,2.6,,,,,,,,,,,-,,2.9,,2.8,,,-,,3.9,,3.8,,,-,,2.7,,2.7,,,-,,,,,,,-,,,,,,,-,,,,,,,-,,,,,
,Контактная работа (акад.час/год),обязательная,,,,,,,,,421,,,,,,,,,,,-,,900,,,,,-,,918,,,,,-,,864,,,,,-,,686,,,,,-,,,,,,,-,,,,,,,-,,,,,
,,необязательная,,,,,,,,,62.3,,,,,,,,,,,-,,100,,,,,-,,136,,,,,-,,128,,,,,-,,72,,,,,-,,,,,,,-,,,,,,,-,,,,,
,Суммарная контактная работа (акад. час),Блок Б1,,,,,,,,,3696,,,,,,,,,,,-,,482,,518,,,-,,536,,518,,,-,,460,,496,,,-,,558,,128,,,-,,,,,,,-,,,,,,,-,,,,,
,,в том числе по элект. дисц. по ф.к.,,,,,,,,,328,,,,,,,,,,,-,,50,,50,,,-,,68,,68,,,-,,46,,46,,,-,,,,,,,-,,,,,,,-,,,,,,,-,,,,,
,,Блок Б2,,,,,,,,,,,,,,,,,,,,-,,,,,,,-,,,,,,,-,,,,,,,-,,,,,,,-,,,,,,,-,,,,,,,-,,,,,
,,Блок Б3,,,,,,,,,,,,,,,,,,,,-,,,,,,,-,,,,,,,-,,,,,,,-,,,,,,,-,,,,,,,-,,,,,,,-,,,,,
,,Блок ФТД,,,,,,,,,108,,,,,,,,,,,-,,,,,,,-,,,,,,,-,,36,,,,,-,,72,,,,,-,,,,,,,-,,,,,,,-,,,,,
,,Итого по всем блокам,,,,,,,,,3804,,,,,,,,,,,-,,482,,518,,,-,,536,,518,,,-,,496,,496,,,-,,630,,128,,,-,,,,,,,-,,,,,,,-,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Аудиторная нагрузка (акад.час/нед),ОП без элект. дисциплин по физ.к.,,,,,,,,,25.8,,,,,,,,,,,-,,24.7,,26,,,-,,26.8,,25,,,-,,23.7,,26.3,,,-,,31.9,,16.7,,,-,,,,,,,-,,,,,,,-,,,,,
,,элективные дисциплины по физ.к.,,,,,,,,,,,,,,,,,,,,-,,2.9,,2.8,,,-,,3.9,,3.8,,,-,,2.7,,2.7,,,-,,,,,,,-,,,,,,,-,,,,,,,-,,,,,
,Аудиторная нагрузка (акад.час/год),обязательная,,,,,,,,,421,,,,,,,,,,,-,,900,,,,,-,,918,,,,,-,,864,,,,,-,,686,,,,,-,,,,,,,-,,,,,,,-,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Обязательные формы контроля,  ЭКЗАМЕН (Эк),,,,,,,,,,,,,,,,,,,,6,,2,,4,,,6,,2,,4,,,6,,3,,3,,,5,,3,,2,,,,,,,,,,,,,,,,,,,,,,
,,  ЗАЧЕТ (За),,,,,,,,,,,,,,,,,,,,11,,6,,5,,,10,,6,,4,,,8,,4,,4,,,5,,5,,,,,,,,,,,,,,,,,,,,,,,,
,,  ЗАЧЕТ С ОЦЕНКОЙ (ЗаО),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,
,,  КУРСОВОЙ ПРОЕКТ (КП),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
,,  КУРСОВАЯ РАБОТА (КР),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,3,,,,,2,,1,,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Процент ... занятий от аудиторных (%), лекционных,,,,,,,,,35.16%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, в интерактивной форме,,,,,,,,,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Объём обязательной части от общего объёма программы (%),,,,,,,,,,57.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Объём конт. работы от общего объёма времени на реализацию дисциплин (модулей) (%),,,,,,,,,,46.86%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Доля учебных занятий и практик в ОП (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Доля практик в профессиональном цикле (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Процент практической подготовки от общего объёма часов (%),Б1,,,,,,,,,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Б2,,,,,,,,,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Б3,,,,,,,,,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Итого по блокам,,,,,,,,,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Процент практической подготовки от общего объёма часов на практики (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
