Индекс,,,,Наименование,Формируемые компетенции
Б1,,,,Дисциплины (модули),УК-1; УК-2; УК-3; УК-4; УК-5; УК-6; УК-7; УК-8; УК-9; УК-10; УК-11; ОПК-1; ОПК-2; ОПК-3; ОПК-4; ОПК-5; ОПК-6; ОПК-7; ОПК-8; ОПК-9; ОПК-10; ОПК-11; ПК-1; ПК-2; ПК-3; ПК-4; ПК-5
,Б1.О,,,Обязательная часть,УК-2; УК-4; УК-5; УК-6; УК-7; УК-8; УК-9; УК-10; УК-11; ОПК-1; ОПК-2; ОПК-3; ОПК-4; ОПК-5; ОПК-6; ОПК-7; ОПК-8; ОПК-9; ОПК-10; ОПК-11; ПК-5
,,Б1.О.01,,Философия,УК-5
,,Б1.О.02,,История,УК-5
,,,Б1.О.02.01,История России,УК-5
,,,Б1.О.02.02,Всеобщая история,УК-5
,,Б1.О.03,,Иностранный язык,УК-4
,,Б1.О.04,,Безопасность жизнедеятельности,УК-8
,,Б1.О.05,,Физика,ОПК-1; ОПК-2
,,Б1.О.06,,Информатика,ОПК-6; ОПК-11
,,Б1.О.07,,Основы программирования,ОПК-6
,,Б1.О.08,,Алгебра и геометрия,ОПК-1
,,Б1.О.09,,Математический анализ,ОПК-1
,,Б1.О.10,,Дискретная математика,ОПК-1
,,Б1.О.11,,Электротехника и электроника,ОПК-2; ОПК-3
,,Б1.О.12,,Теория автоматического управления,ОПК-2; ОПК-3
,,Б1.О.13,,Метрология и измерительная техника автоматизированных систем,ОПК-8
,,Б1.О.14,,Промышленные сети и интерфейсы,ОПК-6; ОПК-11
,,Б1.О.15,,Моделирование систем,ОПК-4; ОПК-9
,,Б1.О.16,,Исполнительные устройства автоматики,ОПК-7; ОПК-8
,,Б1.О.17,,Системы управления жизненным циклом продукции,ОПК-10; ПК-5
,,Б1.О.18,,Элементы и устройства автоматики,ОПК-7; ОПК-8
,,Б1.О.19,,Проектирование систем управления,ОПК-10
,,Б1.О.20,,Введение в профессиональную деятельность,УК-6; УК-9; ОПК-5
,,Б1.О.21,,Технология разработки программного обеспечения,ОПК-6
,,Б1.О.22,,Надежность систем управления,ОПК-9; ОПК-10
,,Б1.О.23,,Инженерная и компьютерная графика,ОПК-10
,,Б1.О.24,,Методы оптимизации,ОПК-1; ОПК-4
,,Б1.О.25,,Экономика и управление производством,УК-2; УК-10; УК-11
,,Б1.О.26,,Физическая культура и спорт,УК-7
,,Б1.О.27,,Прикладная физическая культура и спорт,УК-7
,Б1.В,,,"Часть, формируемая участниками образовательных отношений",УК-1; УК-3; УК-4; УК-10; ПК-1; ПК-2; ПК-3; ПК-4; ПК-5
,,Б1.В.01,,Системы управления цифровым производством,ПК-1; ПК-5
,,Б1.В.02,,Интеллектуальные системы управления техническими объектами,ПК-4; ПК-5
,,Б1.В.03,,Управление данными в производственных системах,ПК-4
,,Б1.В.04,,Программируемые логические контроллеры,ПК-2
,,Б1.В.05,,Автоматизированные системы управления предприятием,ПК-3
,,Б1.В.06,,Управление техническими системами и процессами,УК-3; ПК-1
,,Б1.В.07,,Основы теории систем,УК-1
,,Б1.В.08,,Организация и планирование производств,УК-3; УК-10
,,Б1.В.09,,Информационно-управляющие системы,ПК-2
,,Б1.В.10,,Электронные устройства автоматики,ПК-3
,,Б1.В.11,,Программное обеспечение систем управления,ПК-2
,,Б1.В.12,,Цифровые системы управления,ПК-1; ПК-3
,,Б1.В.13,,Теория и практика эффективного речевого общения,УК-4
,,Б1.В.ДВ.01,,Дисциплины по выбору Б1.В.ДВ.1,ПК-2; ПК-5
,,,Б1.В.ДВ.01.01,Цифровизация проектирования технических систем,ПК-2; ПК-5
,,,Б1.В.ДВ.01.02,Технология цифрового проектирования технических устройств,ПК-2; ПК-5
,,Б1.В.ДВ.02,,Дисциплины по выбору Б1.В.ДВ.2,ПК-3
,,,Б1.В.ДВ.02.01,Оптимальные и адаптивные системы,ПК-3
,,,Б1.В.ДВ.02.02,Адаптивное управление,ПК-3
,,Б1.В.ДВ.03,,Дисциплины по выбору Б1.В.ДВ.3,ПК-3
,,,Б1.В.ДВ.03.01,SCADA-системы,ПК-3
,,,Б1.В.ДВ.03.02,DCS-системы,ПК-3
Б2,,,,Практика,ОПК-3; ОПК-5; ОПК-7; ПК-1; ПК-2; ПК-3; ПК-4; ПК-5
,Б2.О,,,Обязательная часть,ОПК-3; ОПК-5; ОПК-7; ПК-1; ПК-2; ПК-3; ПК-4; ПК-5
,,Б2.О.01(У),,Ознакомительная практика,ОПК-3; ОПК-5
,,Б2.О.02(П),,Проектная практика,ОПК-7; ПК-1; ПК-2
,,Б2.О.03(П),,Преддипломная практика,ПК-3; ПК-4; ПК-5
,Б2.В,,,"Часть, формируемая участниками образовательных отношений",
Б3,,,,Государственная итоговая аттестация,УК-1; УК-2; УК-3; УК-4; УК-5; УК-6; УК-7; УК-8; УК-9; УК-10; УК-11; ОПК-1; ОПК-2; ОПК-3; ОПК-4; ОПК-5; ОПК-6; ОПК-7; ОПК-8; ОПК-9; ОПК-10; ОПК-11; ПК-1; ПК-2; ПК-3; ПК-4; ПК-5
,Б3.01(Д),,,"Выполнение, подготовка к процедуре защиты и защита выпускной квалификационной работы",УК-1; УК-2; УК-3; УК-4; УК-5; УК-6; УК-7; УК-8; УК-9; УК-10; УК-11; ОПК-1; ОПК-2; ОПК-3; ОПК-4; ОПК-5; ОПК-6; ОПК-7; ОПК-8; ОПК-9; ОПК-10; ОПК-11; ПК-1; ПК-2; ПК-3; ПК-4; ПК-5
ФТД,,,,Факультативные дисциплины,ОПК-5; ОПК-6
,ФТД.01,,,Теория поиска инновационных решений,ОПК-5
,ФТД.02,,,Алгоритмы и структуры данных,ОПК-6
