Индекс,,,,,Наименование,Компетенции,Требования к образованию
28,,,,,ПРОИЗВОДСТВО МАШИН И ОБОРУДОВАНИЯ,,
,28.003,,,,СПЕЦИАЛИСТ ПО АВТОМАТИЗАЦИИ И МЕХАНИЗАЦИИ МЕХАНОСБОРОЧНОГО ПРОИЗВОДСТВА,ПК-1; ПК-2; ПК-3; ПК-4; ПК-5,
,,A,,,Автоматизация и механизация технологических операций механосборочного производства,ПК-1; ПК-2; ПК-5,"Среднее профессиональное образование - программы подготовки специалистов среднего звена
Высшее образование - бакалавриат"
,,,A/01.5,,"Анализ технологических операций механосборочного производства с целью выявления переходов, подлежащих автоматизации и механизации",ПК-1,
,,,,ТД.1,"Анализ средств технологического оснащения, средств измерения, приемов и методов работы, применяемых при выполнении операции",ИД-1ПК-1,
,,,,ТД.4,Разработка предложений по автоматизации и механизации технологических операций,ИД-2ПК-1; ИД-3ПК-1,
,,,A/02.5,,Внедрение средств автоматизации и механизации технологических операций механосборочного производства,ПК-2; ПК-5,
,,,,ТД.2,Поиск и выбор моделей средств автоматизации и механизации технологических операций,ИД-1ПК-2; ИД-2ПК-2; ИД-3ПК-2,
,,,,ТД.5,"Проверка эскизных и технических проектов, рабочих чертежей средств автоматизации и механизации технологических операций",ИД-2ПК-5; ИД-3ПК-5,
,,B,,,Автоматизация и механизация технологических процессов механосборочного производства,ПК-3; ПК-4; ПК-5,"Высшее образование - бакалавриат
или
Высшее образование - магистратура или специалитет"
,,,B/01.6,,"Анализ технологических процессов механосборочного производства с целью выявления операций, подлежащих автоматизации и механизации",ПК-3; ПК-4,
,,,,ТД.1,"Анализ оборудования, средств технологического оснащения, средств измерения, приемов и методов работы, применяемых при выполнении технологических процессов",ИД-1ПК-3,
,,,,ТД.6,Разработка предложений по автоматизации и механизации технологических процессов механосборочного производства,ИД-2ПК-3; ИД-1ПК-4,
,,,B/02.6,,Внедрение средств автоматизации и механизации технологических процессов механосборочного производства,ПК-3; ПК-4; ПК-5,
,,,,ТД.1,"Сбор исходных данных для проведения проектных и опытно-конструкторских работ, изготовления средств автоматизации и механизации технологических процессов",ИД-1ПК-3; ИД-1ПК-4,
,,,,ТД.2,Определение состава и количества средств автоматизации и механизации технологических процессов,ИД-1ПК-4,
,,,,ТД.3,Определение состава и расчет количества работающих при использовании средств автоматизации и механизации технологических процессов,ИД-1ПК-3; ИД-2ПК-3,
,,,,ТД.4,Поиск и выбор моделей средств автоматизации и механизации технологических процессов,ИД-2ПК-3,
,,,,ТД.5,Составление технических заданий на разработку средств автоматизации и механизации технологических процессов,ИД-3ПК-3,
,,,,ТД.8,Проверка соответствия разрабатываемых средств автоматизации и механизации технологических процессов современному уровню развития техники и технологии,ИД-2ПК-4,
,,,,ТД.9,"Проверка эскизных и технических проектов, рабочих чертежей средств автоматизации и механизации технологических процессов",ИД-3ПК-3; ИД-3ПК-4; ИД-2ПК-5; ИД-3ПК-5,
40,,,,,СКВОЗНЫЕ ВИДЫ ПРОФЕССИОНАЛЬНОЙ ДЕЯТЕЛЬНОСТИ В ПРОМЫШЛЕННОСТИ,,
,40.057,,,,СПЕЦИАЛИСТ ПО АВТОМАТИЗИРОВАННЫМ СИСТЕМАМ УПРАВЛЕНИЯ МАШИНОСТРОИТЕЛЬНЫМ ПРЕДПРИЯТИЕМ,ПК-3; ПК-4; ПК-5,
,,B,,,Ввод в действие АСУП,ПК-5,"Среднее профессиональное образование - программы подготовки специалистов среднего звена
или
Высшее образование - бакалавриат"
,,,B/01.5,,Разработка методического обеспечения АСУП,ПК-5,
,,,,ТД.1,Разработка и актуализация эксплуатационной документации на АСУП,ИД-1ПК-5; ИД-3ПК-5,
,,C,,,Разработка АСУП,ПК-3; ПК-4,"Высшее образование - бакалавриат
или
Высшее образование - магистратура"
,,,C/01.6,,Определение целесообразности автоматизации процессов управления в организации,ПК-3,
,,,,ТД.1,"Обследование системы и методов управления и регулирования деятельности организации, ее производственных подразделений",ИД-2ПК-3,
,,,,ТД.3,Сбор и подготовка данных для составления технического задания на создание АСУП,ИД-3ПК-3,
,,,C/03.6,,Разработка заданий на проектирование оригинальных компонентов АСУП,ПК-4,
,,,,ТД.1,Определение целей и задач при проектировании оригинальных компонентов АСУП,ИД-3ПК-4,
