Индекс,,,,,,,Содержание
Тип задач проф. деятельности: ,,,,,,,проектно-конструкторский
,ПК-1,,,,,,Способен осуществлять сбор и анализ исходных данных для расчета и проектирования систем и средств автоматизации и управления и участвовать в подготовке технических заданий на создание средств и систем автоматизации
,,ИД-1<sub><small style='font-size:0.6em;'>ПК-1</small></sub>,,,,,осуществляет сбор и анализ исходных данных для расчета и проектирования систем и средств автоматизации и управления
,,,28.003,,,,СПЕЦИАЛИСТ ПО АВТОМАТИЗАЦИИ И МЕХАНИЗАЦИИ МЕХАНОСБОРОЧНОГО ПРОИЗВОДСТВА
,,,,A,,,Автоматизация и механизация технологических операций механосборочного производства
,,,,,A/01.5,,"Анализ технологических операций механосборочного производства с целью выявления переходов, подлежащих автоматизации и механизации"
,,,,,,ТД.1,"Анализ средств технологического оснащения, средств измерения, приемов и методов работы, применяемых при выполнении операции"
,,ИД-2<sub><small style='font-size:0.6em;'>ПК-1</small></sub>,,,,,анализирует исходные данные для разработки  систем и средств автоматизации и управления
,,,28.003,,,,СПЕЦИАЛИСТ ПО АВТОМАТИЗАЦИИ И МЕХАНИЗАЦИИ МЕХАНОСБОРОЧНОГО ПРОИЗВОДСТВА
,,,,A,,,Автоматизация и механизация технологических операций механосборочного производства
,,,,,A/01.5,,"Анализ технологических операций механосборочного производства с целью выявления переходов, подлежащих автоматизации и механизации"
,,,,,,ТД.4,Разработка предложений по автоматизации и механизации технологических операций
,,ИД-3<sub><small style='font-size:0.6em;'>ПК-1</small></sub>,,,,,участвует в подготовке технических заданий на создание средств и систем автоматизации
,,,28.003,,,,СПЕЦИАЛИСТ ПО АВТОМАТИЗАЦИИ И МЕХАНИЗАЦИИ МЕХАНОСБОРОЧНОГО ПРОИЗВОДСТВА
,,,,A,,,Автоматизация и механизация технологических операций механосборочного производства
,,,,,A/01.5,,"Анализ технологических операций механосборочного производства с целью выявления переходов, подлежащих автоматизации и механизации"
,,,,,,ТД.4,Разработка предложений по автоматизации и механизации технологических операций
,ПК-2,,,,,,Способен выбирать  и разрабатывать модели средств автоматизации производственных процессов при проведении проектных работ
,,ИД-1<sub><small style='font-size:0.6em;'>ПК-2</small></sub>,,,,,выбирает модели средств автоматизации производственных процессов
,,,28.003,,,,СПЕЦИАЛИСТ ПО АВТОМАТИЗАЦИИ И МЕХАНИЗАЦИИ МЕХАНОСБОРОЧНОГО ПРОИЗВОДСТВА
,,,,A,,,Автоматизация и механизация технологических операций механосборочного производства
,,,,,A/02.5,,Внедрение средств автоматизации и механизации технологических операций механосборочного производства
,,,,,,ТД.2,Поиск и выбор моделей средств автоматизации и механизации технологических операций
,,ИД-2<sub><small style='font-size:0.6em;'>ПК-2</small></sub>,,,,,разрабатывает  модели отдельных элементов  средств автоматизации
,,,28.003,,,,СПЕЦИАЛИСТ ПО АВТОМАТИЗАЦИИ И МЕХАНИЗАЦИИ МЕХАНОСБОРОЧНОГО ПРОИЗВОДСТВА
,,,,A,,,Автоматизация и механизация технологических операций механосборочного производства
,,,,,A/02.5,,Внедрение средств автоматизации и механизации технологических операций механосборочного производства
,,,,,,ТД.2,Поиск и выбор моделей средств автоматизации и механизации технологических операций
,,ИД-3<sub><small style='font-size:0.6em;'>ПК-2</small></sub>,,,,,оценивает адекватность модели средств автоматизации и систем автоматики
,,,28.003,,,,СПЕЦИАЛИСТ ПО АВТОМАТИЗАЦИИ И МЕХАНИЗАЦИИ МЕХАНОСБОРОЧНОГО ПРОИЗВОДСТВА
,,,,A,,,Автоматизация и механизация технологических операций механосборочного производства
,,,,,A/02.5,,Внедрение средств автоматизации и механизации технологических операций механосборочного производства
,,,,,,ТД.2,Поиск и выбор моделей средств автоматизации и механизации технологических операций
,ПК-3,,,,,,Способен осуществлять интеграцию средств и систем автоматизации для решения комплексных задач управления
,,ИД-1<sub><small style='font-size:0.6em;'>ПК-3</small></sub>,,,,,проектирует модули и уствойства для интегрированных систем управления
,,,28.003,,,,СПЕЦИАЛИСТ ПО АВТОМАТИЗАЦИИ И МЕХАНИЗАЦИИ МЕХАНОСБОРОЧНОГО ПРОИЗВОДСТВА
,,,,B,,,Автоматизация и механизация технологических процессов механосборочного производства
,,,,,B/01.6,,"Анализ технологических процессов механосборочного производства с целью выявления операций, подлежащих автоматизации и механизации"
,,,,,,ТД.1,"Анализ оборудования, средств технологического оснащения, средств измерения, приемов и методов работы, применяемых при выполнении технологических процессов"
,,,,,B/02.6,,Внедрение средств автоматизации и механизации технологических процессов механосборочного производства
,,,,,,ТД.1,"Сбор исходных данных для проведения проектных и опытно-конструкторских работ, изготовления средств автоматизации и механизации технологических процессов"
,,,,,,ТД.3,Определение состава и расчет количества работающих при использовании средств автоматизации и механизации технологических процессов
,,ИД-2<sub><small style='font-size:0.6em;'>ПК-3</small></sub>,,,,,выбирает  стандартные средства автоматики и  автоматизированных систем управления при их интеграции в комплексные системы автоматизации в соответствии с техническим заданием
,,,28.003,,,,СПЕЦИАЛИСТ ПО АВТОМАТИЗАЦИИ И МЕХАНИЗАЦИИ МЕХАНОСБОРОЧНОГО ПРОИЗВОДСТВА
,,,,B,,,Автоматизация и механизация технологических процессов механосборочного производства
,,,,,B/01.6,,"Анализ технологических процессов механосборочного производства с целью выявления операций, подлежащих автоматизации и механизации"
