Индекс,,,,,Наименование,Компетенции,Требования к образованию
06,,,,,"СВЯЗЬ, ИНФОРМАЦИОННЫЕ И КОММУНИКАЦИОННЫЕ ТЕХНОЛОГИИ",,
,06.003,,,,АРХИТЕКТОР ПРОГРАММНОГО ОБЕСПЕЧЕНИЯ,ПК-1; ПК-2; ПК-3; ПК-4,
,,A,,,Создание вариантов архитектуры программного средства,ПК-1; ПК-2; ПК-3; ПК-4,Высшее образование - программы бакалавриата
,,,A/01.4,,Определение перечня возможных типов для каждого компонента,ПК-1,
,,,,У.2,Производить исследования и анализ,ПК-1,
,,,A/02.4,,Определение перечня возможных архитектур развертывания каждого компонента,ПК-1; ПК-2; ПК-4,
,,,,ТД.1,"Описание возможной архитектуры развертывания каждого компонента, включая оценку современного состояния предлагаемых архитектур",ПК-1,
,,,,ТД.2,Обоснование методов или методологий проведения работы,ПК-1,
,,,,ТД.3,Описание технологических и технико-эксплуатационных характеристик возможных архитектур развертывания каждого компонента,ПК-1,
,,,,У.1,Использовать современные Computer-Aided Software Engineering - средства (далее - CASE-средства),ПК-1; ПК-4,
,,,,У.2,Производить исследования и анализ,ПК-1,
,,,,Зн.1,"Архитектурные стили, схемы развертывания",ПК-1,
,,,,Зн.2,"Методы разработки, анализа и проектирования программного обеспечения (далее - ПО)",ПК-1,
,,,,Др.1,Системное мышление,ПК-1,
,,,,Др.2,Межличностное общение,ПК-2,
,,,A/03.4,,Определение перечня возможных слоев программных компонентов,ПК-1,
,,,,У.2,Проводить исследования и анализ,ПК-1,
,,,A/04.4,,Определение перечня возможных шаблонов (стилей) проектирования для каждого слоя или компонента,ПК-1,
,,,,ТД.2,Обоснование методов или методологий проведения работы,ПК-1,
,,,,У.1,Применять современные разработки и тенденции в области проектирования ПО в профессиональной деятельности,ПК-1,
,,,,У.2,Проводить исследования и анализ,ПК-1,
,,,,Зн.2,Современные разработки и тенденции в области проектирования ПО,ПК-1,
,,,,Зн.3,"Методы разработки, анализа и проектирования ПО",ПК-1,
,,,A/06.4,,Определение перечня возможных протоколов взаимодействия компонентов,ПК-1; ПК-3,
,,,,ТД.1,Описание возможных протоколов взаимодействия компонентов с оценкой современного состояния предлагаемых протоколов,ПК-3,
,,,,ТД.2,Обоснование методов или методологий проведения работы,ПК-3,
,,,,У.3,Проводить исследования и анализ,ПК-1,
,,,A/07.4,,Определение перечня возможных механизмов авторизации,ПК-1; ПК-3,
,,,,ТД.1,"Описание возможных механизмов авторизации, включая оценку современного состояния предлагаемых механизмов",ПК-1; ПК-3,
,,,,ТД.2,Обоснование методов или методологий проведения работы,ПК-3,
,,,,ТД.4,"Формирование оценки результатов исследований, включающей оценку полноты перечня возможных механизмов авторизации, и предложений по дальнейшим направлениям работ",ПК-3,
,,,,У.1,Описывать и оценивать механизмы авторизации,ПК-1,
,,,,У.2,Применять современные разработки и тенденции в области проектирования ПО в профессиональной деятельности,ПК-3,
,,,,У.3,Проводить исследования и анализ,ПК-1,
,,,,Зн.1,Механизмы авторизации,ПК-1; ПК-3,
,,,,Зн.2,Современные разработки и тенденции в области проектирования ПО,ПК-3,
,,,,Зн.4,"Методы разработки, анализа и проектирования ПО",ПК-3,
,,,A/08.4,,"Определение перечня возможных механизмов аутентификации, поддержки сеанса",ПК-1,
,,,,ТД.1,"Описание возможных механизмов аутентификации, поддержки сеанса, включая оценку современного состояния предлагаемых механизмов аутентификации, поддержки сеанса",ПК-1,
,,,,У.1,"Описывать и оценивать механизмы аутентификации, поддержки сеанса",ПК-1,
,,,,У.3,Проводить исследования и анализ,ПК-1,
,,,,Зн.1,"Механизмы аутентификации, поддержки сеанса",ПК-1,
,,,A/09.4,,Определение перечня возможных схем кеширования,ПК-1,
,,,,У.3,Проводить исследования и анализ,ПК-1,
,,,A/11.4,,Определение перечня возможных моделей обеспечения отказоустойчивости программных компонентов,ПК-1,
,,,,У.3,Проводить исследования и анализ,ПК-1,
,,,A/12.4,,"Определение перечня возможных моделей обеспечения необходимого уровня производительности компонентов, включая вопросы балансировки нагрузки",ПК-1,
,,,,ТД.1,"Описание возможных моделей обеспечения необходимого уровня производительности компонентов, включая оценку современного состояния предлагаемых моделей",ПК-1,
,,,,У.1,Описывать и оценивать модели обеспечения необходимого уровня производительности компонентов,ПК-1,
,,,,У.2,Применять современные разработки и тенденции в области проектирования ПО в профессиональной деятельности,ПК-1,
,,,,У.3,Проводить исследования и анализ,ПК-1,
,,,,Зн.1,Модели обеспечения необходимого уровня производительности компонентов,ПК-1,
,,,,Зн.2,Современные разработки и тенденции в области проектирования ПО,ПК-1,
,,,,Зн.4,"Методы разработки, анализа и проектирования ПО",ПК-1,
,,,A/13.4,,Определение входных-выходных данных каждого компонента и программного средства в целом,ПК-1; ПК-2; ПК-3; ПК-4,
,,,,ТД.1,Определение перечня входных-выходных данных каждого компонента и программного средства в целом,ПК-1; ПК-3,
,,,,ТД.2,"Описание входных-выходных данных каждого компонента, включающие идентификацию данных, объем данных, тип данных, атрибутивную часть данных",ПК-1; ПК-3,
,,,,ТД.3,Определение взаимосвязи входных-выходных данных каждого компонента и программного средства в целом,ПК-1; ПК-3,
,,,,У.1,Описывать входные-выходные данные компонентов,ПК-1; ПК-3,
,,,,У.2,Проводить исследования и анализ,ПК-1; ПК-3; ПК-4,
,,,,Зн.1,Входные-выходные данные компонентов и программного средства,ПК-1; ПК-3,
,,,,Зн.2,Технологические стандарты,ПК-3,
,,,,Др.1,Межличностное общение,ПК-2,
,,,A/15.4,,"Описание технологии обработки данных для возможности их использования в программном средстве, включая вопросы параллельной обработки",ПК-3,
,,,,ТД.1,"Определение состава и последовательности выполнения технологических операций по сбору, регистрации, подготовке, контролю, передаче, обработке и отображению информации, выполняемых внесистемно",ПК-3,
,,,,ТД.3,"Описание состава и последовательности выполнения технологических операций по приему, контролю, обработке, хранению, выдаче данных и других операций, выполняемых автоматизированным способом",ПК-3,
,,,,У.1,Описывать технологию обработки данных,ПК-3,
,,,,У.2,Использовать современные CASE-средства,ПК-3,
,,,,Зн.1,"Последовательность выполнения технологических операций по сбору, регистрации, подготовке, контролю, передаче, обработке и отображению информации, выполняемых внесистемно",ПК-3,
,,,,Зн.2,"Состав и последовательность выполнения технологических операций по приему, контролю, обработке, хранению, выдаче данных и других операций, выполняемых автоматизированным способом",ПК-3,
,,,A/16.4,,Определение перечня возможных технологий доступа к данным,ПК-1,
,,,,У.3,Проводить исследования и анализ,ПК-1,
,,,A/17.4,,"Описание алгоритмов компонентов, включая методы и схемы",ПК-1; ПК-3,
,,,,ТД.1,"Описание применяемых математических методов и, при необходимости, описание допущений и ограничений, связанных с выбранным математическим материалом",ПК-1; ПК-3,
,,,,ТД.2,"Описание алгоритмов и (или) функционирования программы с обоснованием выбора схем алгоритмов решения задач, возможных взаимодействий программы с другими программами",ПК-1,
,,,,ТД.3,Описание и обоснование выбора метода организации входных и выходных данных по каждому алгоритму,ПК-1,
,,,,ТД.4,"Передача описания алгоритмов компонентов, включая методы и схемы, на рецензирование архитектору более высокого уровня квалификации и заинтересованным лицам",ПК-1,
