Индекс,,,,,Содержание
ПК-1,,,,,"Способен осуществлять концептуальное, функциональное и логическое проектирование программных, программно-аппаратных, инфокоммуникационных средств вычислительной техники и интеграционных решений"
,06.003,,,,АРХИТЕКТОР ПРОГРАММНОГО ОБЕСПЕЧЕНИЯ
,,A,,,Создание вариантов архитектуры программного средства
,,,A/01.4,,Определение перечня возможных типов для каждого компонента
,,,,У.2,Производить исследования и анализ
,,,A/02.4,,Определение перечня возможных архитектур развертывания каждого компонента
,,,,ТД.1,"Описание возможной архитектуры развертывания каждого компонента, включая оценку современного состояния предлагаемых архитектур"
,,,,ТД.2,Обоснование методов или методологий проведения работы
,,,,ТД.3,Описание технологических и технико-эксплуатационных характеристик возможных архитектур развертывания каждого компонента
,,,,У.1,Использовать современные Computer-Aided Software Engineering - средства (далее - CASE-средства)
,,,,У.2,Производить исследования и анализ
,,,,Зн.1,"Архитектурные стили, схемы развертывания"
,,,,Зн.2,"Методы разработки, анализа и проектирования программного обеспечения (далее - ПО)"
,,,,Др.1,Системное мышление
,,,A/03.4,,Определение перечня возможных слоев программных компонентов
,,,,У.2,Проводить исследования и анализ
,,,A/04.4,,Определение перечня возможных шаблонов (стилей) проектирования для каждого слоя или компонента
,,,,ТД.2,Обоснование методов или методологий проведения работы
,,,,У.1,Применять современные разработки и тенденции в области проектирования ПО в профессиональной деятельности
,,,,У.2,Проводить исследования и анализ
,,,,Зн.2,Современные разработки и тенденции в области проектирования ПО
,,,,Зн.3,"Методы разработки, анализа и проектирования ПО"
,,,A/06.4,,Определение перечня возможных протоколов взаимодействия компонентов
,,,,У.3,Проводить исследования и анализ
,,,A/07.4,,Определение перечня возможных механизмов авторизации
,,,,ТД.1,"Описание возможных механизмов авторизации, включая оценку современного состояния предлагаемых механизмов"
,,,,У.1,Описывать и оценивать механизмы авторизации
,,,,У.3,Проводить исследования и анализ
,,,,Зн.1,Механизмы авторизации
,,,A/08.4,,"Определение перечня возможных механизмов аутентификации, поддержки сеанса"
,,,,ТД.1,"Описание возможных механизмов аутентификации, поддержки сеанса, включая оценку современного состояния предлагаемых механизмов аутентификации, поддержки сеанса"
,,,,У.1,"Описывать и оценивать механизмы аутентификации, поддержки сеанса"
,,,,У.3,Проводить исследования и анализ
,,,,Зн.1,"Механизмы аутентификации, поддержки сеанса"
,,,A/09.4,,Определение перечня возможных схем кеширования
,,,,У.3,Проводить исследования и анализ
,,,A/11.4,,Определение перечня возможных моделей обеспечения отказоустойчивости программных компонентов
,,,,У.3,Проводить исследования и анализ
,,,A/12.4,,"Определение перечня возможных моделей обеспечения необходимого уровня производительности компонентов, включая вопросы балансировки нагрузки"
,,,,ТД.1,"Описание возможных моделей обеспечения необходимого уровня производительности компонентов, включая оценку современного состояния предлагаемых моделей"
,,,,У.1,Описывать и оценивать модели обеспечения необходимого уровня производительности компонентов
,,,,У.2,Применять современные разработки и тенденции в области проектирования ПО в профессиональной деятельности
,,,,У.3,Проводить исследования и анализ
,,,,Зн.1,Модели обеспечения необходимого уровня производительности компонентов
,,,,Зн.2,Современные разработки и тенденции в области проектирования ПО
,,,,Зн.4,"Методы разработки, анализа и проектирования ПО"
,,,A/13.4,,Определение входных-выходных данных каждого компонента и программного средства в целом
,,,,ТД.1,Определение перечня входных-выходных данных каждого компонента и программного средства в целом
,,,,ТД.2,"Описание входных-выходных данных каждого компонента, включающие идентификацию данных, объем данных, тип данных, атрибутивную часть данных"
,,,,ТД.3,Определение взаимосвязи входных-выходных данных каждого компонента и программного средства в целом
,,,,У.1,Описывать входные-выходные данные компонентов
,,,,У.2,Проводить исследования и анализ
,,,,Зн.1,Входные-выходные данные компонентов и программного средства
,,,A/16.4,,Определение перечня возможных технологий доступа к данным
,,,,У.3,Проводить исследования и анализ
,,,A/17.4,,"Описание алгоритмов компонентов, включая методы и схемы"
,,,,ТД.1,"Описание применяемых математических методов и, при необходимости, описание допущений и ограничений, связанных с выбранным математическим материалом"
,,,,ТД.2,"Описание алгоритмов и (или) функционирования программы с обоснованием выбора схем алгоритмов решения задач, возможных взаимодействий программы с другими программами"
,,,,ТД.3,Описание и обоснование выбора метода организации входных и выходных данных по каждому алгоритму
,,,,ТД.4,"Передача описания алгоритмов компонентов, включая методы и схемы, на рецензирование архитектору более высокого уровня квалификации и заинтересованным лицам"
,,,,ТД.5,"Обработка комментариев и замечаний архитектора более высокого уровня квалификации и заинтересованных лиц с дальнейшим выполнением необходимых доработок описания алгоритмов компонентов, включая методы и схемы"
,,,,У.1,Описывать и использовать математические методы
,,,,У.2,Проводить исследования и анализ
,,,,Зн.1,"Математические методы, в том числе допущения и ограничения"
,,,,Зн.2,Алгоритмы компонентов
,,,,Зн.3,Методы организации входных-выходных данных
,,C,,,Реализация программных средств
,,,C/01.4,,Анализ качества кода: - анализ зависимостей; - статический анализ кода
,,,,ТД.1,Анализ требований к программным средствам
,,,,ТД.2,Анализ зависимостей кода
,,,,ТД.3,Статистический анализ кода
,,,,У.1,Анализировать требования к программным средствам
,,,,У.2,Собирать исходную информацию
,,,,Зн.1,Требования к программным средствам
,,,,Др.1,Межличностное общение
,,,C/02.4,,Испытания создаваемого программного средства и его компонентов
,,,,ТД.1,Проектирование программных средств и архитектуры программных средств
,,,,У.2,Собирать исходную информацию
,,,,Зн.1,Типы компонентов
,,,,Зн.2,"Методы разработки, анализа и проектирования ПО"
,,,,Др.1,Межличностное общение
,,E,,,Оценка и выбор варианта архитектуры программного средства
,,,E/01.5,,Синтез требований к программному продукту и декомпозиция программного средства на компоненты
,,,,ТД.1,Сбор требований к программному продукту
,,,,ТД.2,Преобразование программных средств на компоненты и программные блоки
,,,,У.1,Декомпозировать программные средства на компоненты
,,,,Зн.1,Требования к программному продукту
,,,,Зн.2,Типы компонентов и программных блоков
,,,E/12.5,,Оценка и выбор стиля написания кода
,,,,ТД.1,"Формулировка задач выбора стиля написания кода, включая цели, предположения и ограничения"
