Индекс,,,Содержание,Тип
УК-1,,,"Способен осуществлять поиск, критический анализ и синтез информации, применять системный подход для решения поставленных задач",УК
,УК-1.1,,"•	Знает принципы сбора, отбора и обобщения информации.
•	Знает методики сбора и обработки информации; актуальные российские и зарубежные источники информации при анализе и синтезе функциональных схем цифровых устройств вычислительный техники; метод системного анализа.",-
,,Б1.О.01,Философия,
,,Б1.О.18,Базы данных,
,,Б1.В.07,Прикладная теория цифровых автоматов,
,,Б1.В.09,Методы и системы принятия решений,
,,Б1.В.11,Защита вычислительных систем,
,,Б1.В.12,Теория управления,
,,Б1.В.16,Микропроцессорные системы,
,,Б1.В.17,Программируемые логические интегральные схемы,
,,Б1.В.21,Автоматизация проектирования встраиваемых систем,
,,Б1.В.ДВ.03.01,Системы автоматизации испытаний,
,,Б1.В.ДВ.04.02,Программное  обеспечение мобильных систем,
,,Б2.О.02(П),Эксплуатационная практика,
,,Б3.01(Д),выполнение и защита выпускной квалификационной работы,
,УК-1.2,,"•	Умеет соотносить разнородные явления и систематизировать их в рамках избранных видов профессиональной деятельности.
•	Умеет применять методики поиска, сбора и обработки информации; осуществлять критический анализ и синтез информации, полученной из разных источников; применять системный подход при разработке композиции из двух и более взаимосвязанных конечных цифровых автоматов.",-
,,Б1.О.01,Философия,
,,Б1.О.18,Базы данных,
,,Б1.В.07,Прикладная теория цифровых автоматов,
,,Б1.В.09,Методы и системы принятия решений,
,,Б1.В.11,Защита вычислительных систем,
,,Б1.В.12,Теория управления,
,,Б1.В.16,Микропроцессорные системы,
,,Б1.В.17,Программируемые логические интегральные схемы,
,,Б1.В.21,Автоматизация проектирования встраиваемых систем,
,,Б1.В.ДВ.03.01,Системы автоматизации испытаний,
,,Б1.В.ДВ.04.02,Программное  обеспечение мобильных систем,
,,Б2.О.02(П),Эксплуатационная практика,
,,Б3.01(Д),выполнение и защита выпускной квалификационной работы,
,УК-1.3,,"•	Имеет практический опыт работы с информационными источниками, опыт научного поиска, создания научных текстов.
•	Владеет методами поиска, сбора и обработки, критического анализа и синтеза информации; методикой системного подхода для решения задач анализа и синтеза функциональных схем цифровых устройств вычислительной техники",-
,,Б1.О.01,Философия,
,,Б1.О.18,Базы данных,
,,Б1.В.07,Прикладная теория цифровых автоматов,
,,Б1.В.09,Методы и системы принятия решений,
,,Б1.В.11,Защита вычислительных систем,
,,Б1.В.12,Теория управления,
,,Б1.В.16,Микропроцессорные системы,
,,Б1.В.17,Программируемые логические интегральные схемы,
,,Б1.В.21,Автоматизация проектирования встраиваемых систем,
,,Б1.В.ДВ.03.01,Системы автоматизации испытаний,
,,Б1.В.ДВ.04.02,Программное  обеспечение мобильных систем,
,,Б2.О.02(П),Эксплуатационная практика,
,,Б3.01(Д),выполнение и защита выпускной квалификационной работы,
УК-2,,,"Способен определять круг задач в рамках поставленной цели и выбирать оптимальные способы их решения, исходя из действующих правовых норм, имеющихся ресурсов и ограничений",УК
,УК-2.1,,Знает необходимые для осуществления профессиональной деятельности правовые нормы,-
,,Б1.О.08,Введение в профессиональную деятельность,
,,Б1.О.18,Базы данных,
,,Б1.В.10,Параллельные вычислительные системы,
,,Б1.В.13,Схемотехника ЭВМ,
,,Б1.В.14,Основы адаптивных систем управления,
,,Б3.01(Д),выполнение и защита выпускной квалификационной работы,
,УК-2.2,,"Умеет определять круг задач в рамках избранных видов профессиональной деятельности, планировать собственную деятельность исходя из имеющихся ресурсов; соотносить главное и второстепенное, решать поставленные задачи в рамках избранных видов профессиональной деятельности.",-
,,Б1.О.08,Введение в профессиональную деятельность,
,,Б1.О.18,Базы данных,
,,Б1.В.10,Параллельные вычислительные системы,
,,Б1.В.13,Схемотехника ЭВМ,
,,Б1.В.14,Основы адаптивных систем управления,
,,Б3.01(Д),выполнение и защита выпускной квалификационной работы,
