-,-,-,Форма контроля,,,,,з.е.,,Итого акад.часов,,,,,,,Курс 1,,Курс 2,,Курс 3,,Курс 4,,Закрепленная кафедра,
,,,,,,,,,,,,,,,,,Семестр 1,Семестр 2,Семестр 3,Семестр 4,Семестр 5,Семестр 6,Семестр 7,Семестр 8,,
Считать в плане,Индекс,Наименование,Экза мен,Зачет,Зачет с оц.,КП,КР,Экспер тное,Факт,Экспер тное,По плану,Конт. раб.,Ауд.,СР,Конт роль,Пр. подгот,з.е.,з.е.,з.е.,з.е.,з.е.,з.е.,з.е.,з.е.,Код,Наименование
Блок 1.Дисциплины (модули) ,,,,,,,,210,210,7888,7888,3740,3740,3320,828,,27.5,29.5,29,28,29,25,26,16,,
Обязательная часть ,,,,,,,,107,107,4180,4180,2092,2092,1620,468,,27.5,29.5,17,17,3.5,12.5,,,,
+,Б1.О.01,Философия,4,,,,,4,4,144,144,54,54,54,36,,,,,4,,,,,11,Кафедра философии (КФ1_ИФФ)
+,Б1.О.02,История,,12,,,,4,4,144,144,72,72,72,,,2,2,,,,,,,,
+,Б1.О.02.01,История России,,1,,,,2,2,72,72,36,36,36,,,2,,,,,,,,461,"Кафедра истории России, мировых и региональных цивилизаций"
+,Б1.О.02.02,Всеобщая история,,2,,,,2,2,72,72,36,36,36,,,,2,,,,,,,461,"Кафедра истории России, мировых и региональных цивилизаций"
+,Б1.О.03,Иностранный язык,4,123,,,,9,9,324,324,144,144,144,36,,2,2,2,3,,,,,96,Кафедра разговорного иностранного языка (РИЯ_ИКИТ)
+,Б1.О.04,Безопасность жизнедеятельности,,5,,,,3,3,108,108,54,54,54,,,,,,,3,,,,209,Кафедра техносферной и экологической безопасности 
+,Б1.О.05,Физика,3,2,,,,8,8,288,288,126,126,126,36,,,4,4,,,,,,141,Кафедра физики  (Ф2_ИФО)
+,Б1.О.06,Информатика,1,,,,,4,4,144,144,54,54,54,36,,4,,,,,,,,92,Кафедра вычислительной техники (ВТ_ИКИТ)
+,Б1.О.07,Основы программирования,2,1,,,,9,9,324,324,144,144,144,36,,5,4,,,,,,,92,Кафедра вычислительной техники (ВТ_ИКИТ)
+,Б1.О.08,Введение в профессиональную деятельность,2,1,,,,8,8,288,288,126,126,126,36,,4,4,,,,,,,92,Кафедра вычислительной техники (ВТ_ИКИТ)
+,Б1.О.09,Алгебра и геометрия,1,,,,,5,5,180,180,72,72,72,36,,5,,,,,,,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
+,Б1.О.10,Математический анализ,2,1,,,,10,10,360,360,180,180,144,36,,5,5,,,,,,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
+,Б1.О.11,Теория  и практика эффективного речевого общения,,2,,,,3,3,108,108,54,54,54,,,,3,,,,,,,388,Кафедра русского языка и  речевой коммуникации (РЯиРК_ИФИЯК)
+,Б1.О.12,Дискретная математика,2,,,,,5,5,180,180,72,72,72,36,,,5,,,,,,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
+,Б1.О.13,Теория вероятностей и математическая статистика,,3,,,,3,3,108,108,54,54,54,,,,,3,,,,,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
+,Б1.О.14,Операционные системы,3,,,,,5,5,180,180,72,72,72,36,,,,5,,,,,,92,Кафедра вычислительной техники (ВТ_ИКИТ)
+,Б1.О.15,Электротехника и электроника,4,3,,,,7,7,252,252,126,126,90,36,,,,3,4,,,,,97,"Кафедра систем автоматики, автоматизированного управления и проектирования (СААУП_ИКИТ)"
+,Б1.О.16,ЭВМ и периферийные устройства,6,,,,,6,6,216,216,90,90,90,36,,,,,,,6,,,92,Кафедра вычислительной техники (ВТ_ИКИТ)
+,Б1.О.17,Сети и телекоммуникации,6,,,,,6,6,216,216,90,90,90,36,,,,,,,6,,,92,Кафедра вычислительной техники (ВТ_ИКИТ)
+,Б1.О.18,Базы данных,,4,,,,3,3,108,108,54,54,54,,,,,,3,,,,,94,Кафедра информационных систем (ИС_ИКИТ)
+,Б1.О.19,Информационная безопасность и защита информации,,4,,,,3,3,108,108,54,54,54,,,,,,3,,,,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
+,Б1.О.20,Физическая культура и спорт,,1256,,,,2,2,72,72,72,72,,,,0.5,0.5,,,0.5,0.5,,,346,Кафедра физической культуры (ФК_ИФКСТ)
+,Б1.О.21,Прикладная физическая культура и спорт,,123456,,,,,,328,328,328,328,,,,,,,,,,,,346,Кафедра физической культуры (ФК_ИФКСТ)
"Часть, формируемая участниками образовательных отношений ",,,,,,,,103,103,3708,3708,1648,1648,1700,360,,,,12,11,25.5,12.5,26,16,,
+,Б1.В.01,Алгоритмы и структуры данных,3,,,,,4,4,144,144,54,54,54,36,,,,4,,,,,,92,Кафедра вычислительной техники (ВТ_ИКИТ)
+,Б1.В.02,Междисциплинарный курсовой проект базового уровня,,3,,3,,2,2,72,72,36,36,36,,,,,2,,,,,,92,Кафедра вычислительной техники (ВТ_ИКИТ)
+,Б1.В.03,Основы проектирования программного обеспечения,,3,,,,3,3,108,108,54,54,54,,,,,3,,,,,,92,Кафедра вычислительной техники (ВТ_ИКИТ)
+,Б1.В.04,Основы конструирования средств вычислительной техники,,3,,,,3,3,108,108,54,54,54,,,,,3,,,,,,92,Кафедра вычислительной техники (ВТ_ИКИТ)
+,Б1.В.05,Основы сетевых технологий,,4,,,,3,3,108,108,54,54,54,,,,,,3,,,,,92,Кафедра вычислительной техники (ВТ_ИКИТ)
+,Б1.В.06,Решение оптимизационных задач программными средствами,,4,,,,3,3,108,108,54,54,54,,,,,,3,,,,,92,Кафедра вычислительной техники (ВТ_ИКИТ)
+,Б1.В.07,Прикладная теория цифровых автоматов,4,,,4,,5,5,180,180,72,72,72,36,,,,,5,,,,,92,Кафедра вычислительной техники (ВТ_ИКИТ)
+,Б1.В.08,Системное программное обеспечение,5,,,,,5,5,180,180,72,72,72,36,,,,,,5,,,,359,Кафедра высокопроизводительных вычислений (ВПВ_ИКИТ)
+,Б1.В.09,Методы и системы принятия решений,,5,,,,3,3,108,108,54,54,54,,,,,,,3,,,,92,Кафедра вычислительной техники (ВТ_ИКИТ)
+,Б1.В.10,Параллельные вычислительные системы,,5,,,,3,3,108,108,54,54,54,,,,,,,3,,,,92,Кафедра вычислительной техники (ВТ_ИКИТ)
+,Б1.В.11,Защита вычислительных систем,,5,,,,3,3,108,108,54,54,54,,,,,,,3,,,,92,Кафедра вычислительной техники (ВТ_ИКИТ)
+,Б1.В.12,Теория управления,5,,,,,5,5,180,180,72,72,72,36,,,,,,5,,,,92,Кафедра вычислительной техники (ВТ_ИКИТ)
+,Б1.В.13,Схемотехника ЭВМ,5,,,5,,5,5,180,180,72,72,72,36,,,,,,5,,,,92,Кафедра вычислительной техники (ВТ_ИКИТ)
+,Б1.В.14,Основы адаптивных систем управления,,6,,,,3,3,108,108,54,54,54,,,,,,,,3,,,92,Кафедра вычислительной техники (ВТ_ИКИТ)
+,Б1.В.15,Методы проектирования и САПР вычислительных систем,,7,,7,,3,3,108,108,54,54,54,,,,,,,,,3,,92,Кафедра вычислительной техники (ВТ_ИКИТ)
+,Б1.В.16,Микропроцессорные системы,6,7,,7,,8,8,288,288,126,126,126,36,,,,,,,5,3,,92,Кафедра вычислительной техники (ВТ_ИКИТ)
+,Б1.В.17,Программируемые логические интегральные схемы,7,,,,,4,4,144,144,54,54,54,36,,,,,,,,4,,92,Кафедра вычислительной техники (ВТ_ИКИТ)
+,Б1.В.18,Интернет-технологии,,6,,,,3,3,108,108,54,54,54,,,,,,,,3,,,92,Кафедра вычислительной техники (ВТ_ИКИТ)
+,Б1.В.19,Профессионально-ориентированный иностранный язык,,56,,,,3,3,108,108,72,72,36,,,,,,,1.5,1.5,,,96,Кафедра разговорного иностранного языка (РИЯ_ИКИТ)
+,Б1.В.20,Междисциплинарный курсовой прект,,78,,8,,2,2,72,72,34,34,38,,,,,,,,,1,1,92,Кафедра вычислительной техники (ВТ_ИКИТ)
+,Б1.В.21,Автоматизация проектирования встраиваемых систем,,8,,,,3,3,108,108,32,32,76,,,,,,,,,,3,92,Кафедра вычислительной техники (ВТ_ИКИТ)
+,Б1.В.22,Экономическая культура и финансовая грамотность,,8,,,,3,3,108,108,48,48,60,,,,,,,,,,3,443,Кафедра экономики и управления бизнес-процессами
+,Б1.В.23,Основы профилактики коррупции,,7,,,,2,2,72,72,36,36,36,,,,,,,,,2,,98,Кафедра систем искусственного интеллекта (КСИИ_ИКИТ)
+,Б1.В.ДВ.01,Дисциплины по выбору Б1.В.ДВ.1,7,,,,,5,5,180,180,72,72,72,36,,,,,,,,5,,,
+,Б1.В.ДВ.01.01,Цифровая обработка сигналов,7,,,,,5,5,180,180,72,72,72,36,,,,,,,,5,,92,Кафедра вычислительной техники (ВТ_ИКИТ)
-,Б1.В.ДВ.01.02,Программное обеспечение автономных систем,7,,,,,5,5,180,180,72,72,72,36,,,,,,,,5,,92,Кафедра вычислительной техники (ВТ_ИКИТ)
+,Б1.В.ДВ.02,Дисциплины по выбору Б1.В.ДВ.2,8,7,,,,7,7,252,252,104,104,112,36,,,,,,,,4,3,,
+,Б1.В.ДВ.02.01,Сетевые ОС и администрирование сетей,8,7,,,,7,7,252,252,104,104,112,36,,,,,,,,4,3,92,Кафедра вычислительной техники (ВТ_ИКИТ)
-,Б1.В.ДВ.02.02,Организация процесса проектирования программного обеспечения,8,7,,,,7,7,252,252,104,104,112,36,,,,,,,,4,3,92,Кафедра вычислительной техники (ВТ_ИКИТ)
+,Б1.В.ДВ.03,Дисциплины по выбору Б1.В.ДВ.3,8,7,,,,7,7,252,252,104,104,112,36,,,,,,,,4,3,,
+,Б1.В.ДВ.03.01,Системы автоматизации испытаний,8,7,,,,7,7,252,252,104,104,112,36,,,,,,,,4,3,92,Кафедра вычислительной техники (ВТ_ИКИТ)
-,Б1.В.ДВ.03.02,Гибридные вычислительные системы,8,7,,,,7,7,252,252,104,104,112,36,,,,,,,,4,3,359,Кафедра высокопроизводительных вычислений (ВПВ_ИКИТ)
+,Б1.В.ДВ.04,Дисциплины по выбору Б1.В.ДВ.4,,8,,,,3,3,108,108,48,48,60,,,,,,,,,,3,,
+,Б1.В.ДВ.04.01,Беспроводные и сенсорные сети,,8,,,,3,3,108,108,48,48,60,,,,,,,,,,3,92,Кафедра вычислительной техники (ВТ_ИКИТ)
-,Б1.В.ДВ.04.02,Программное  обеспечение мобильных систем,,8,,,,3,3,108,108,48,48,60,,,,,,,,,,3,92,Кафедра вычислительной техники (ВТ_ИКИТ)
Блок 2.Практика ,,,,,,,,21,21,756,756,,,756,,,,3,,3,,6,,9,,
Обязательная часть ,,,,,,,,6,6,216,216,,,216,,,,3,,3,,,,,,
+,Б2.О.01(У),Ознакомительная практика,,,2,,,3,3,108,108,,,108,,,,3,,,,,,,92,Кафедра вычислительной техники (ВТ_ИКИТ)
+,Б2.О.02(П),Эксплуатационная практика,,,4,,,3,3,108,108,,,108,,,,,,3,,,,,92,Кафедра вычислительной техники (ВТ_ИКИТ)
"Часть, формируемая участниками образовательных отношений ",,,,,,,,15,15,540,540,,,540,,,,,,,,6,,9,,
+,Б2.В.01(П),Технологическая (проектно-технологическая) практика,,,6,,,6,6,216,216,,,216,,,,,,,,6,,,92,Кафедра вычислительной техники (ВТ_ИКИТ)
+,Б2.В.02(П),Преддипломная,,,8,,,9,9,324,324,,,324,,,,,,,,,,9,92,Кафедра вычислительной техники (ВТ_ИКИТ)
Блок 3.Государственная итоговая аттестация ,,,,,,,,9,9,324,324,,,324,,,,,,,,,,9,,
+,Б3.01(Д),выполнение и защита выпускной квалификационной работы,,,,,,9,9,324,324,,,324,,,,,,,,,,9,92,Кафедра вычислительной техники (ВТ_ИКИТ)
ФТД.Факультативы ,,,,,,,,4,4,144,144,36,36,108,,,,,,,,4,,,,
+,ФТД.01,Основы академического письма,,6,,,,2,2,72,72,18,18,54,,,,,,,,2,,,92,Кафедра вычислительной техники (ВТ_ИКИТ)
+,ФТД.02,История вычислительной техники,,6,,,,2,2,72,72,18,18,54,,,,,,,,2,,,92,Кафедра вычислительной техники (ВТ_ИКИТ)
