Номер,Аббревиатура,Название кафедры
7,ТиМСД_ФФКиС,Кафедра теории и методики спортивных дисциплин (ТиМСД_ФФКиС)
8,БИБ_БИБ,БИБЛИОТЕКА (БИБ_БИБ)
9,ВИ_ИФФ,(ликвидирована) Кафедра всеобщей истории (ВИ_ИФФ)
10,ИР_ИФФ,(ликвидирована) Кафедра истории России (ИР_ИФФ)
11,КФ1_ИФФ,Кафедра философии (КФ1_ИФФ)
13,ИСК_ФИиК,(ликвидирована)Кафедра искусствоведения (ИСК_ФИиК)
14,К1_ФИиК,Кафедра культурологии и искусствоведения (К1_ФИиК)
15,РСКД_ФИиК,Кафедра рекламы и социально-культурной деятельности (РСКД_ФИиК)
16,ВК_ИВО,Военная кафедра (ВК_ИВО)
17,ВУЦ_ВИИ,Военный учебный центр (ВУЦ_ВИИ)
18,ГМиМР_ГГФ,Кафедра геологии месторождений и методики разведки (ГМиМР_ГГФ)
19,ГМиП_ГГФ,"Кафедра геологии, минералогии и петрографии (ГМиП_ГГФ)"
20,ГМиК_ГГФ,Кафедра горных машин и комплексов (ГМиК_ГГФ)
21,ИГ_ГГФ,Кафедра инженерной графики (ИГ_ГГФ)
22,МД_ГГФ,Кафедра маркшейдерского дела (МД_ГГФ)
23,ОГР_ГГФ,Кафедра открытых горных работ (ОГР_ГГФ)
24,ПРМ_ГГФ,Кафедра подземной разработки месторождений (ПРМ_ГГФ)
25,ТМ_ГГФ,Кафедра технической механики (ТМ_ГГФ)
26,ТТР_ГГФ,Кафедра технологии и техники разведки (ТТР_ГГФ)
27,ШПС_ГГФ,Кафедра шахтного и подземного строительства (ШПС_ГГФ)
28,ЭГМП_ГГФ,Кафедра электрификации горно-металлургического производства (ЭГМП_ГГФ)
30,ГРАДО_ИАД,Кафедра градостроительства (ГРАДО_ИАД)
32,ОАП_ИАД,(ликвидирована)Кафедра основ архитектурного проектирования (ОАП_ИАД)
33,РЖиС_ИАД,"(ликвидирована)Кафедра рисунка, живописи и скульптуры (РЖиС_ИАД)"
75,НМН_ИФО,Кафедра нанофазных материалов и нанотехнологий (НМН_ИФО)
77,Т_ИФО,Кафедра теплофизики (Т_ИФО)
78,ФКСВ_ИФО,Базовая кафедра физики конденсированного состояния вещества (ФКСВ_ИФО)
79,ФиЛТ_ИФО,Базовая кафедра фотоники и лазерных технологий (ФиЛТ_ИФО)
87,РТ_ОР,Кафедра радиотехники (РТ_ОР)
90,Б-ГИС_ИКИТ,Базовая кафедра геоинформационных систем (Б-ГИС_ИКИТ)
92,ВТ_ИКИТ,Кафедра вычислительной техники (ВТ_ИКИТ)
93,И_ИКИТ,Кафедра информатики (И_ИКИТ)
94,ИС_ИКИТ,Кафедра информационных систем (ИС_ИКИТ)
95,ПМКБ_ИКИТ,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
96,РИЯ_ИКИТ,Кафедра разговорного иностранного языка (РИЯ_ИКИТ)
97,СААУП_ИКИТ,"Кафедра систем автоматики, автоматизированного управления и проектирования (СААУП_ИКИТ)"
98,КСИИ_ИКИТ,Кафедра систем искусственного интеллекта (КСИИ_ИКИТ)
99,АиМЛ_ФМиИ,Кафедра алгебры и математической логики (АиМЛ_ФМиИ)
100,ВиИТ_ФМиИ,Базовая кафедра вычислительных и информационных технологий (ВиИТ_ФМиИ)
102,МАиДУ_ФМиИ,Кафедра математического анализа и дифф.уравнений (МАиДУ_ФМиИ)
106,ТФ_ФМиИ,Кафедра теории функций (ТФ_ФМиИ)
107,ХТПЭУМ_ИНГ,Базовая кафедра химии и технологии природных энергоносителей и углеродных материалов (ХТПЭУМ_ИНГ)
108,ГНГ_ИНГ,Кафедра геологии нефти и газа (ГНГ_ИНГ)
109,МОНГП_ИНГ,Кафедра машин и оборудования нефтяных и газовых промыслов (МОНГП_ИНГ)
112,ТОиГСМ_ИНГ,Кафедра топливообеспечения и горюче-смазочных материалов (ТОиГСМ_ИНГ)
116,НГЧ_МТФ,(ликвидирована)Кафедра начертательной геометрии и черчения (НГЧ_ПИ)
124,С_ИППС,Кафедра социологии (С_ИППС)
125,БТ_ИФББ,Базовая кафедра биотехнологии (БТ_ИФББ)
127,ВНЭ_ИФББ,Кафедра водных и наземных экосистем (ВНЭ_ИФББ)
128,ВПМ_ИМФИ,Кафедра высшей и прикладной математики  (ВПМ_ИМФИ)
129,ВМ2_ИМФИ,Кафедра высшей математики № 2 (ВМ2_ИМФИ)
132,МОДУС_ИМФИ,Кафедра математического обеспечения дискретных устройств и систем (МОДУС_ИМФИ)
140,ОФ_ИФО,Кафедра общей физики (ОФ_ИФО)
141,Ф2_ИФО,Кафедра физики  (Ф2_ИФО)
143,Ф4_ИФО,Кафедра экспериментальной физики и инновационных технологий (Ф4_ИФО)
153,СЕ_БФ_ИФП,Кафедра современного естеcтвознания (СЕ_БФ_ИФП)
155,РКИ_ОИЯ,Кафедра русского языка как иностранного (РКИ_ОИЯ)
156,КЖ_ОЖ,Кафедра журналистики и литературоведения (КЖ_ОЖ)
160,ВЯ_ОИЯ,Кафедра восточных языков (ВЯ_ОИЯ)
161,ЛП_ТФ,Кафедра литейного производства (ЛП_ТФ)
162,МиТОМ_ТФ,Кафедра металловедения и термической обработки металлов (МиТОМ_ТФ)
163,ОМД_ТФ,Кафедра обработки металлов давлением (ОМД_ТФ)
168,МЦМ_ХМФ,Кафедра металлургии цветных металлов (МЦМ_ХМФ)
169,ОПИ_ХМФ,Кафедра обогащения полезных ископаемых (ОПИ_ХМФ)
170,ФиНХ_ХМФ,Кафедра физической и неорганической химии (ФиНХ_ХМФ)
171,КМФХМП_ТФ,Кафедра композиционных материалов и физико-химии металлургических процессов (КМФХМП_ТФ)
175,БУиС_ЭФ,(ликвидирована) Кафедра бухгалтерского учета и статистики (БУиС_ЭФ)
176,ДИЯ1_ЭФ,(ликвидирована) Кафедра делового иностранного языка (ДИЯ1_ЭФ)
179,МЭО_ЭФ,(ликвидирована) Кафедра международных экономических отношений (МЭО_ЭФ)
181,СЭП_ЭФ,(ликвидирована) Кафедра социально-экономического планирования (СЭП_ЭФ)
189,ДБТС_МТФ,Кафедра диагностики и безопасности технических систем (ДБТС_МТФ)
193,ЭТЭТ_ЭМФ,(ликвидирована) Кафедра электротехнологии и электротехники (ЭТЭТ_ЭМФ)
194,ЭТКС_ЭМФ,(ликвидирована) Кафедра электротехнические комплексы и системы (ЭТКС_ЭМФ)
195,ЭСЭЭС_ЭМФ,(ликвидирована) Кафедра электрических станций  и электроэнергетических систем (ЭСЭЭС_ЭМФ)
197,РиТК_ЭМФ,Кафедра робототехники и технической кибернетики (РиТК_ЭМФ)
198,ТиТМ_ФТ,Кафедра транспортных и технологических машин (ТиТМ_ФТ)
199,Т_ФТ,Кафедра транспорта (Т_ФТ)
209,ТиЭБ_ТЭФ,Кафедра техносферной и экологической безопасности 
210,ТеЭн_ТЭФ,Кафедра тепловых электрических станций (ТеЭн_ТЭФ)
211,ТТГГД_ТЭФ,Кафедра теплотехники и гидрогазодинамики (ТТГГД_ТЭФ)
213,ЮНЕСКО_ОК,"Кафедра ЮНЕСКО ""Новые материалы и технологии"" (ЮНЕСКО_ОК)"
214,МБ_ИФББ,Кафедра медицинской биологии (МБ_ИФББ)
215,МПС_ИКИТ,Научно-учебная лаборатория микропроцессорных систем (МПС_ИКИТ)
216,ПФиКТ_МИБК,"Межинститутская базовая кафедра ""Прикладная физика и космические технологии"" (ПФиКТ_МИБК)"
218,УПРОЦиК_ЮРФ,Кафедра уголовного процесса и криминалистики (УПРОЦиК_ЮРФ)
219,УПРАВ_ЮРФ,Кафедра уголовного права (УПРАВ_ЮРФ)
221,ТМСР_СПФ,Кафедра теории и методики социальной работы (ТМСР_СПФ)
222,АП_ЮРФ,Кафедра адвокатской практики (АП_ЮРФ)
223,ГП_ЮРФ,Кафедра гражданского права (ГП_ЮРФ)
224,ГПр_ЮРФ,Кафедра гражданского процесса (ГПр_ЮРФ)
225,ДиК_ЮРФ,Кафедра деликтологии и криминологии (ДиК_ЮРФ)
226,ИПиСП_ОЮ,Кафедра иностранного права и сравнительного правоведения (ИПиСП_ОЮ)
227,ТиИГиП_ЮРФ,Кафедра теории  и истории государства и права (ТиИГиП_ЮРФ)
228,КПКиФП_ЮРФ,"Кафедра предпринимательского, конкурентного и финансового права (КПКиФП_ЮРФ)"
229,КАиМП_ЮРФ,"Кафедра конституционного, административного и муниципального права (КАиМП_ЮРФ)"
231,МП_ЮРФ,Кафедра международного права (МП_ЮРФ)
233,СП_ЮРФ,Кафедра судебной практики (СП_ЮРФ)
235,ТиЭП_ЮРФ,Кафедра трудового и экологического права (ТиЭП_ЮРФ)
240,ПН_ЮРФ,Кафедра прокурорского надзора (ПН_ЮРФ)
283,БКИ_ОР,Базовая кафедра инфокоммуникаций (БКИ_ОР)
284,ПН_ОР,Кафедра приборостроения и наноэлектроники (ПН_ОР)
285,РЭС_ОР,Кафедра радиоэлектронных систем (РЭС_ОР)
288,ОиАХ_ХМФ,Кафедра органической и аналитической химии (ОиАХ_ХМФ)
290,БиоФиз_ИФББ,Кафедра биофизики (БиоФиз_ИФББ)
292,ИТККИ_ИСФФ,Кафедра информационных технологий в креативных и культурных индустриях (ИТККИ_ИСФФ)
296,ЭУНПК_МБК,"Межинститутская базовая кафедра ""Электрохимический учебно-научно производственный комплекс"" (ЭУНПК_МБК)"
297,ДАС_ИАД,Кафедра дизайна архитектурной среды (ДАС_ИАД)
298,АП_ИАД,Кафедра архитектурного проектирования (АП_ИАД)
299,ЭОПЭТК_ИУБПЭ,(ликвидирована) Кафедра экономики и организации предприятий энергетического и транспортного комплексов (ЭОПЭТК_ИУБПЭ)
300,АДиГС_ОСИИД,Кафедра автомобильных дорог и городских сооружений (АДиГС_ОСИИД)
301,ИСЗиС_ОСИИД,Кафедра инженерных систем зданий и сооружений (ИСЗиС_ОСИИД)
302,СКиУС_ОПГС,Кафедра строительных конструкций и управляемых систем (СКиУС_ОПГС)
303,СМиТС_ОПГС,Кафедра строительных материалов и технологий строительства (СМиТС_ОПГС)
304,ПЗиЭН_ОПГС,Кафедра проектирования зданий и экспертизы недвижимости (ПЗиЭН_ОПГС)
306,ЭОППК_ИУБПЭ,(ликвидирована) Кафедра экономики и организации предприятий промышленного комплекса (ЭОППК_ИУБПЭ)
307,ТОЭк_ИУБПЭ,(ликвидирована) Кафедра теоретических основ экономики (ТОЭк_ИУБПЭ)
308,М_ИУБПЭ,(ликвидирована) Кафедра маркетинга (М_ИУБПЭ)
309,ЭМБГМК_ИУБПЭ,(ликвидирована) Кафедра экономики и международного бизнеса горно-металлургического комплекса (ЭМБГМК_ИУБПЭ)
311,ЭИТМ_ИУБПЭ,(ликвидирована) Кафедра экономики и информационных технологий менеджмента (ЭИТМ_ИУБПЭ)
312,БИнф_ИУБПЭ,(ликвидирована) Кафедра бизнес-информатики (БИнф_ИУБПЭ)
314,ЭУНГК_ИУБПЭ,(ликвидирована) Базовая кафедра экономики и управления нефтегазового комплекса (ЭУНГК_ИУБПЭ)
315,ЭОЭК_ИУБПЭ,(ликвидирована) Базовая кафедра экономики и организации энергетического комплекса (ЭОЭК_ИУБПЭ)
317,ОиСП_ИППС,Кафедра общей и социальной педагогики (ОиСП_ИППС)
318,ЭиП_ОЭП,Кафедра экологии и природопользования (ЭиП_ОЭП)
319,ПЭиР_ОЭП,Кафедра охотничьего ресурсоведения и заповедного дела (ПЭиР_ОЭП)
320,ИСиТМ_ИКИТ,Кафедра информационных систем и технологий в металлургии (ИСиТМ_ИКИТ)
322,Геофиз_ИНГ,Кафедра геофизики (Геофиз_ИНГ)
323,БНиГС_ИНГ,Кафедра бурения нефтяных и газовых скважин (БНиГС_ИНГ)
324,РЭНиГМ_ИНГ,Кафедра разработки и эксплуатации нефтяных и газовых месторождений (РЭНиГМ_ИНГ)
325,ПожБез_ИНГ,Кафедра пожарной безопасности (ПожБез_ИНГ)
326,ТМиОНК_ИНГ,Кафедра технологических машин и оборудования нефтегазового комплекса (ТМиОНК_ИНГ)
327,ПЭГ_ИНГ,Кафедра проектирования  и эксплуатации газонефтепроводов (ПЭГ_ИНГ)
328,АвиаГСМ_ИНГ,Кафедра авиационных горюче-смазочных материалов (АвиаГСМ_ИНГ)
329,ГМиКГ_ИАД,(ликвидирована)Кафедра геометрического моделирования и компьютерной графики (ГМиКГ_ИАД)
330,ЭУСК_ИУБПЭ,(ликвидирована) Кафедра экономики и управления в строительном комплексе (ЭУСК_ИУБПЭ)
331,Б-ТБ_ТЭФ,"Базовая кафедра ""Техносферная безопасность"" (Б-ТБ_ТЭФ)"
332,Х_ФЭ,Кафедра химии (Х_ФЭ)
335,Б-ММПУ_ИМ,Базовая кафедра математического моделирования и процессов управления
336,ПрМ_МТФ,Кафедра прикладной механики (ПрМ_МТФ)
337,КТОМСП_МТФ,Кафедра конструкторско-технологического обеспечения машиностроительных производств (КТОМСП_МТФ)
338,МС_МТФ,Кафедра машиностроения (МС_МТФ)
339,МВиТОМ_МТФ,Кафедра материаловедения и технологий обработки материалов (МВиТОМ_МТФ)
340,СМиУК_МТФ,"Кафедра стандартизации, метрологии и управления качеством (СМиУК_МТФ)"
341,ТМиО_МТФ,( ликвидирована)Кафедра технологических машин и оборудования (ТМиО_МТФ)
342,Ф_ЭФ,(ликвидирована) Кафедра финансов (Ф_ЭФ)
343,М_ЭФ,(ликвидирована) Кафедра менеджмента (М_ЭФ)
344,УЧР_ЭФ,(ликвидирована) Кафедра управления человеческими ресурсами (УЧР_ЭФ)
346,ФК_ИФКСТ,Кафедра физической культуры (ФК_ИФКСТ)
347,ИЯ-ГН_ИФЯК,Кафедра иностранных языков для гуманитарных направлений (ИЯ-ГН_ИФЯК)
348,ИН-ИН_ИФЯК,Кафедра иностранных языков для инженерных направлений (ИН-ИН_ИФЯК)
349,ИН-ИПР_ИФЯК,Кафедра иностранных языков для институтов природных ресурсов (ИН-ИПР_ИФЯК)
350,ИН-ЕНН_ИФЯК,Кафедра иностранных языков для естественнонаучных направлений (ИН-ЕНН_ИФЯК)
351,ГГП_ИСФФ,(ликвидирована) Кафедра глобалистики и геополитики (ГГП_ИСФФ)
352,ТФВЯ_ИИФР,Кафедра теоретической физики и волновых явлений (ТФВЯ_ИИФР)
353,ЭТ_ЭФ,(ликвидирована) Кафедра экономических теорий (ЭТ_ЭФ)
354,ТБГиМП_ИЦММ,Кафедра техносферной безопасности горного и металлургического производств (ТБГиМП_ИЦММ)
355,АППМ_ИЦММ,Кафедра автоматизации производственных процессов  в металлургии (АППМ_ИЦММ)
356,Б-ЭСС_ФЭ,Базовая кафедра электрических систем и сетей (Б-ЭСС_ФЭ)
