Индекс,,,,Наименование,Формируемые компетенции
Б1,,,,Дисциплины (модули),УК-1; УК-2; УК-3; УК-4; УК-5; УК-6; УК-7; УК-8; УК-9; УК-10; ОПК-1; ОПК-2; ОПК-3; ОПК-4; ОПК-5; ОПК-6; ОПК-8; ПК-1; ПК-2; ПК-3; ПК-4; ПК-5; ПК-6; ПК-7; ПК-9; ПК-8; ПК-10
,Б1.О,,,Обязательная часть,УК-1; УК-2; УК-3; УК-4; УК-5; УК-6; УК-7; УК-8; ОПК-1; ОПК-2; ОПК-3; ОПК-4; ОПК-5; ОПК-6; ОПК-8
,,Б1.О.01,,Философия,УК-1; УК-5; УК-6
,,Б1.О.02,,История,УК-5
,,,Б1.О.02.01,История России,УК-5
,,,Б1.О.02.02,Всеобщая история,УК-5
,,Б1.О.03,,Иностранный язык,УК-4
,,Б1.О.04,,Безопасность жизнедеятельности,УК-8
,,Б1.О.05,,Физика,ОПК-1
,,Б1.О.06,,Информатика,УК-1
,,Б1.О.07,,Основы программирования,ОПК-6
,,Б1.О.08,,Введение в профессиональную деятельность,УК-2; ОПК-2
,,Б1.О.09,,Алгебра и геометрия,ОПК-1
,,Б1.О.10,,Математический анализ,ОПК-1
,,Б1.О.11,,Дискретная математика,ОПК-1
,,Б1.О.12,,Теория вероятности и математическая статистика,ОПК-1
,,Б1.О.13,,Теория и практика эффективного речевого общения,УК-3; УК-4
,,Б1.О.14,,Информационная безопасность и защита информации,ОПК-3
,,Б1.О.15,,Технологии программирования,ОПК-6; ОПК-8
,,Б1.О.16,,Методы и средства проектирования информационных систем и технологий,ОПК-4
,,Б1.О.17,,Операционные системы,ОПК-2; ОПК-5
,,Б1.О.18,,Физическая культура и спорт,УК-7
,,Б1.О.19,,Прикладная физическая культура и спорт,УК-7
,Б1.В,,,"Часть, формируемая участниками образовательных отношений",УК-1; УК-2; УК-4; УК-9; УК-10; ПК-1; ПК-2; ПК-3; ПК-4; ПК-5; ПК-6; ПК-7; ПК-9; ПК-8; ПК-10
,,Б1.В.01,,Информационные технологии,ПК-1
,,Б1.В.02,,Архитектура информационных систем,ПК-1
,,Б1.В.03,,Теория алгоритмов,ПК-2
,,Б1.В.04,,Управление данными,ПК-3
,,Б1.В.05,,Теория информационных процессов и систем,УК-1; ПК-1
,,Б1.В.06,,Клиент-серверное программирование,ПК-2
,,Б1.В.07,,Проектирование баз данных,ПК-3
,,Б1.В.08,,Английский язык для профессиональных целей,УК-4
,,Б1.В.09,,Технологии обработки информации,ПК-1
,,Б1.В.10,,Корпоративные ИС,ПК-1
,,Б1.В.11,,Интеллектуальные системы и технологии,ПК-1
,,Б1.В.12,,Технологии внедрения программного обеспечения,ПК-3
,,Б1.В.13,,Тестирование и контроль качества ПО,ПК-2; ПК-9
,,Б1.В.14,,Разработка ПО ГИС,ПК-3; ПК-6
,,Б1.В.15,,Управление ИТ-проектами,УК-2; ПК-8
,,Б1.В.16,,Анализ больших данных,ПК-3
,,Б1.В.17,,Разработка мобильного ПО,ПК-2; ПК-4
,,Б1.В.18,,Методы и средства отображения информации,ПК-4; ПК-5; ПК-10
,,Б1.В.19,,Информационно-вычислительные сети,ПК-1
,,Б1.В.20,,Моделирование процессов и систем,ПК-1
,,Б1.В.21,,Инструментальные средства информационных систем,ПК-1; ПК-7
,,Б1.В.22,,Экономическая культура и финансовая грамотность,УК-9
,,Б1.В.23,,Основы профилактики коррупции,УК-10
,,Б1.В.ДВ.01,,Дисциплины по выбору Б1.В.ДВ.1,ПК-1; ПК-5
,,,Б1.В.ДВ.01.01,Трехмерное моделирование и анимация,ПК-1; ПК-5
,,,Б1.В.ДВ.01.02,Интеллектуальные системы поддержки принятия решений,ПК-1; ПК-10
,,,Б1.В.ДВ.01.03,Информационные системы логистики,ПК-1
,,,Б1.В.ДВ.01.04,Основы веб-картографии,ПК-2; ПК-6
,,Б1.В.ДВ.02,,Дисциплины по выбору Б1.В.ДВ.2,ПК-1
,,,Б1.В.ДВ.02.01,Разработка Web-приложений,ПК-1
,,,Б1.В.ДВ.02.02,Методы цифровой трансформации,ПК-1; ПК-7
,,,Б1.В.ДВ.02.03,Машинное обучение,ПК-1
,,,Б1.В.ДВ.02.04,Анализ данных в ИС мониторинга,ПК-6
,,Б1.В.ДВ.03,,Дисциплины по выбору Б1.В.ДВ.3,ПК-1; ПК-5
,,,Б1.В.ДВ.03.01,Бизнес-процессы в медиаиндустрии,ПК-1; ПК-5
,,,Б1.В.ДВ.03.02,Технологии цифровой трансформации,ПК-1; ПК-2
,,,Б1.В.ДВ.03.03,Инструменты бизнес-аналитики,ПК-1
,,,Б1.В.ДВ.03.04,Проектирование ГИС,ПК-2
,,Б1.В.ДВ.04,,Дисциплины по выбору Б1.В.ДВ.4,ПК-1; ПК-5
,,,Б1.В.ДВ.04.01,Обработка медиа- контента Часть2,ПК-1; ПК-5
,,,Б1.В.ДВ.04.02,Документоведение и электронный документооборот. Часть 2,ПК-1
,,,Б1.В.ДВ.04.03,Проектирование ИУС,ПК-2
,,,Б1.В.ДВ.04.04,Геоинформационные системы и технологии,ПК-2; ПК-3
,,Б1.В.ДВ.05,,Дисциплины по выбору Б1.В.ДВ.5,ПК-1; ПК-5
,,,Б1.В.ДВ.05.01,Обработка медиа- контента Часть1,ПК-1; ПК-5
,,,Б1.В.ДВ.05.02,Правовые основы цифровизации производства,ПК-1; ПК-9
,,,Б1.В.ДВ.05.03,Теория языков программирования,ПК-2
,,,Б1.В.ДВ.05.04,Основы картографии,ПК-6
,,Б1.В.ДВ.06,,Дисциплины по выбору Б1.В.ДВ.6,ПК-1; ПК-5
,,,Б1.В.ДВ.06.01,Полиграфический процесс,ПК-1; ПК-5
,,,Б1.В.ДВ.06.02,Документоведение и электронный документооборот. Часть 1,ПК-1
,,,Б1.В.ДВ.06.03,Интернет предпринимательство,ПК-1
,,,Б1.В.ДВ.06.04,Методы обработки аэрокосмической информации,ПК-6
,,Б1.В.ДВ.07,,Дисциплины по выбору Б1.В.ДВ.7,ПК-2
,,,Б1.В.ДВ.07.01,Программные средства медиаиндустрии,ПК-2
,,,Б1.В.ДВ.07.02,Моделирование,ПК-1; ПК-8
,,,Б1.В.ДВ.07.03,Проектирование ИС для корпоративного сектора (МДКП),ПК-3
