Индекс,,,,Особые условия допуска к работе,Наименование,Компетенции,Требования к образованию
06,,,,,"СВЯЗЬ, ИНФОРМАЦИОННЫЕ И КОММУНИКАЦИОННЫЕ ТЕХНОЛОГИИ",,
,06.001,,,,ПРОГРАММИСТ,ПК-2,
,,C,,,Интеграция программных модулей и компонент и верификация выпусков программного продукта,ПК-2,"Высшее образование
Повышение квалификации"
,,D,,,Разработка требований и проектирование программного обеспечения,ПК-2,"Высшее образование
Повышение квалификации"
,06.011,,,,АДМИНИСТРАТОР БАЗ ДАННЫХ,ПК-3,
,,B,,-,Оптимизация функционирования БД,ПК-3,"Высшее образование - бакалавриат
Дополнительные профессиональные программы - программы повышения квалификации, программы профессиональной переподготовки"
,,,B/06.5,,"Оптимизация управления жизненным циклом данных, хранящихся в БД",ПК-3,
,06.014,,,,МЕНЕДЖЕР ПО ИНФОРМАЦИОННЫМ ТЕХНОЛОГИЯМ,ПК-7; ПК-9,
,,A,,-,Управление ресурсами ИТ,ПК-7; ПК-9,"Высшее образование - специалитет, магистратура
Рекомендуется повышение квалификации по программам управления персоналом, управления бюджетом, управления ИТ, управления ресурсами (компонентами) ИТ"
,06.015,,,,СПЕЦИАЛИСТ ПО ИНФОРМАЦИОННЫМ СИСТЕМАМ,ПК-1,
,,B,,-,"Выполнение работ по созданию (модификации) и сопровождению ИС, автоматизирующих задачи организационного управления и бизнес-процессы",ПК-1,"Высшее образование - программы бакалавриата
Повышение квалификации по программам обучения, рекомендованным производителем ИС"
,,C,,-,"Выполнение работ и управление работами по созданию (модификации) и сопровождению ИС, автоматизирующих задачи организационного управления и бизнес-процессы",ПК-1,"Высшее образование - программы бакалавриата
Повышение квалификации по программам обучения, рекомендованным производителем ИС"
,,D,,-,"Управление работами по сопровождению и проектами создания (модификации) ИС, автоматизирующих задачи организационного управления и бизнес-процессы",ПК-1,"Высшее образование - специалитет, магистратура
Повышение квалификации по программам обучения, рекомендованным производителем ИС"
,06.016,,,,РУКОВОДИТЕЛЬ ПРОЕКТОВ В ОБЛАСТИ ИНФОРМАЦИОННЫХ ТЕХНОЛОГИЙ,ПК-5; ПК-8,
,,A,,-,"Управление проектами в области ИТ на основе полученных планов проектов в условиях, когда проект не выходит за пределы утвержденных параметров",ПК-5; ПК-8,"Высшее образование - программы бакалавриата
Повышение квалификации в области проектного менеджмента"
,06.019,,,,ТЕХНИЧЕСКИЙ ПИСАТЕЛЬ (СПЕЦИАЛИСТ ПО ТЕХНИЧЕСКОЙ ДОКУМЕНТАЦИИ В ОБЛАСТИ ИНФОРМАЦИОННЫХ ТЕХНОЛОГИЙ),ПК-1; ПК-5,
,,D,,-,"Разработка технических документов, адресованных специалисту по информационным технологиям",ПК-1; ПК-5,"Высшее образование - специалитет, магистратура"
,,,D/01.6,,Описание информационных и математических моделей,ПК-5,
,,,D/02.6,,Описание технических решений с точки зрения специалиста по информационным технологиям,ПК-1,
,,,D/04.6,,Подготовка технической статьи о продукции или технологии для размещения на веб-сайте или в профильных средствах массовой информации,ПК-5,
,,,D/05.6,,Подготовка слайд-шоу и раздаточных материалов для доклада,ПК-1,
,06.022,,,,СИСТЕМНЫЙ АНАЛИТИК,ПК-1,
,,C,,-,"Концептуальное, функциональное и логическое проектирование систем среднего и крупного масштаба и сложности",ПК-1,Высшее образование - бакалавриат
,06.025,,,,СПЕЦИАЛИСТ ПО ДИЗАЙНУ ГРАФИЧЕСКИХ И ПОЛЬЗОВАТЕЛЬСКИХ ИНТЕРФЕЙСОВ,ПК-4; ПК-5; ПК-10,
,,B,,-,Графический дизайн интерфейса,ПК-4; ПК-5,"Высшее образование - бакалавриат
Дополнительное профессиональное образование - программы повышения квалификации, программы профессиональной переподготовки в области полиграфии или графического дизайна, информационных технологий"
,,C,,-,Проектирование пользовательских интерфейсов по готовому образцу или концепции интерфейса,ПК-10,"Высшее образование - бакалавриат
Дополнительное профессиональное образование - программы повышения квалификации, программы профессиональной переподготовки в области психологии труда, инженерной психологии, эргономики, информационных технологий"
,06.035,,,,РАЗРАБОТЧИК WEB И МУЛЬТИМЕДИЙНЫХ ПРИЛОЖЕНИЙ,ПК-5,
,,C,,,Управление работами по созданию (модификации) и сопровождению информационных ресурсов,ПК-5,Высшее образование - бакалавриат
25,,,,,РАКЕТНО-КОСМИЧЕСКАЯ ПРОМЫШЛЕННОСТЬ,,
,25.017,,,,СПЕЦИАЛИСТ ПО ОКАЗАНИЮ КОСМИЧЕСКИХ УСЛУГ НА ОСНОВЕ ИСПОЛЬЗОВАНИЯ ДАННЫХ ДИСТАНЦИОННОГО ЗОНДИРОВАНИЯ ЗЕМЛИ ИЗ КОСМОСА,ПК-6,
,,A,,"Возможны ограничения, связанные с формой допуска к информации, составляющей государственную тайну",Выполнение отдельных технологических операций по созданию космических продуктов и оказанию космических услуг на основе использования данных дистанционного зондирования Земли из космоса,ПК-6,"Высшее образование - бакалавриат
Дополнительное профессиональное образование - программы профессиональной переподготовки"
,25.044,,,,СПЕЦИАЛИСТ ПО ПРИМЕНЕНИЮ ГЕОИНФОРМАЦИОННЫХ СИТЕМ И ТЕХНОЛОГИЙ ДЛЯ РЕШЕНИЯ ЗАДАЧ ГОСУДАРСТВЕННОГО И МУНИЦИПАЛЬНОГО УРОВНЯ,ПК-6,
,,A,,-,Выполнение технологических операций по работе с геоинформационными системами государственного или муниципального уровня,ПК-6,"Высшее образование - бакалавриат
Дополнительное профессиональное образование - программы повышения квалификации"
,25.050,,,,СПЕЦИАЛИСТ ПО ПОДДЕРЖКЕ ПРИНЯТИЯ УПРАВЛЕНЧЕСКИХ РЕШЕНИЙ НА ОСНОВЕ РЕЗУЛЬТАТОВ КОСМИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ,ПК-6,
,,A,,"Возможны ограничения, связанные с формой допуска к информации, составляющей государственную тайну",Выполнение технологических операций по подготовке предложений для принятия решения на основе результатов космической деятельности,ПК-6,"Высшее образование - бакалавриат и дополнительное профессиональное образование - программы повышения квалификации в области использования результатов космической деятельности
Высшее образование - специалитет, магистратура"
40,,,,,СКВОЗНЫЕ ВИДЫ ПРОФЕССИОНАЛЬНОЙ ДЕЯТЕЛЬНОСТИ В ПРОМЫШЛЕННОСТИ,,
,40.059,,,,ПРОМЫШЛЕННЫЙ ДИЗАЙНЕР (ЭРГОНОМИСТ),ПК-5,
