Индекс,,,,Содержание,Тип
УК-1,,,,"Способен осуществлять поиск, критический анализ и синтез информации, применять системный подход для решения поставленных задач",УК
,УК-1.1,,,"знает принципы сбора, отбора и обобщения информации",-
,,Б1.О.01,,Философия,
,,Б1.О.06,,Информатика,
,,Б1.В.05,,Теория информационных процессов и систем,
,,Б2.О.02(У),,Научно-исследовательская работа (получение первичных навыков научно-исследовательской работы),
,,Б3.01(Д),,выполнение и защита выпускной квалификационной работы,
,,ФТД.03,,Спортивное программирование,
,УК-1.2,,,умеет соотносить разнородные явления и систематизировать их в рамках избранных видов профессиональной деятельности,-
,,Б1.О.01,,Философия,
,,Б1.О.06,,Информатика,
,,Б1.В.05,,Теория информационных процессов и систем,
,,Б2.О.02(У),,Научно-исследовательская работа (получение первичных навыков научно-исследовательской работы),
,,Б3.01(Д),,выполнение и защита выпускной квалификационной работы,
,,ФТД.03,,Спортивное программирование,
,УК-1.3,,,"имеет практический опыт работы с информационными источниками, опыт научного поиска, создания научных текстов",-
,,Б1.О.01,,Философия,
,,Б1.О.06,,Информатика,
,,Б1.В.05,,Теория информационных процессов и систем,
,,Б2.О.02(У),,Научно-исследовательская работа (получение первичных навыков научно-исследовательской работы),
,,Б3.01(Д),,выполнение и защита выпускной квалификационной работы,
,,ФТД.03,,Спортивное программирование,
УК-2,,,,"Способен определять круг задач в рамках поставленной цели и выбирать оптимальные способы их решения, исходя из действующих правовых норм, имеющихся ресурсов и ограничений",УК
,УК-2.1,,,знает необходимые для осуществления профессиональной деятельности правовые нормы,-
,,Б1.О.08,,Введение в профессиональную деятельность,
,,Б1.В.15,,Управление ИТ-проектами,
,,Б3.01(Д),,выполнение и защита выпускной квалификационной работы,
,УК-2.2,,,"умеет определять круг задач в рамках избранных видов профессиональной деятельности, планировать собственную деятельность исходя из имеющихся ресурсов; соотносить главное и второстепенное, решать поставленные задачи в рамках избранных видов профессиональной деятельности",-
,,Б1.О.08,,Введение в профессиональную деятельность,
,,Б1.В.15,,Управление ИТ-проектами,
,,Б3.01(Д),,выполнение и защита выпускной квалификационной работы,
,УК-2.3,,,имеет практический опыт применения нормативной базы и решения задач в области избранных видов профессиональной деятельности,-
