Индекс,,,,Наименование,Формируемые компетенции
Б1,,,,Дисциплины (модули),УК-1; УК-2; УК-3; УК-4; УК-5; УК-6; УК-7; УК-8; УК-9; УК-10; ОПК-1; ОПК-2; ОПК-3; ОПК-4; ОПК-5; ОПК-6; ОПК-7; ОПК-8; ОПК-9; ПК-1; ПК-2; ПК-3; ПК-4; ПК-5; ПК-6; ПК-7; ПК-8; ПК-9
,Б1.О,,,Обязательная часть,УК-1; УК-2; УК-3; УК-4; УК-5; УК-6; УК-7; УК-8; УК-9; УК-10; ОПК-1; ОПК-2; ОПК-3; ОПК-4; ОПК-5; ОПК-6; ОПК-7; ОПК-8; ОПК-9
,,Б1.О.01,,Философия,УК-1; УК-5; УК-6
,,Б1.О.02,,История,УК-5
,,,Б1.О.02.01,История России,УК-5
,,,Б1.О.02.02,Всеобщая история,УК-5
,,Б1.О.03,,Иностранный язык,УК-4
,,Б1.О.04,,Безопасность жизнедеятельности,УК-8
,,Б1.О.05,,"Вычислительные системы, сети и телекоммуникации",ОПК-2; ОПК-5
,,Б1.О.06,,Системный анализ,УК-1; ОПК-6
,,Б1.О.07,,Программирование,ОПК-5; ОПК-7
,,Б1.О.08,,Введение в профессиональную деятельность,ОПК-3; ОПК-4
,,Б1.О.09,,Информационные системы и технологии,ОПК-2
,,Б1.О.10,,Высшая математика,ОПК-1
,,Б1.О.11,,Дискретная математика,ОПК-1
,,Б1.О.12,,Теория вероятностей и математическая статистика,ОПК-1
,,Б1.О.13,,Эффективная коммуникация,УК-3; УК-4
,,Б1.О.14,,Информационная безопасность и защита информации,ОПК-3
,,Б1.О.15,,Право,УК-2; УК-10
,,Б1.О.16,,Проектирование информационных систем,ОПК-4; ОПК-8; ОПК-9
,,Б1.О.17,,Операционные системы,ОПК-2; ОПК-5
,,Б1.О.18,,Физическая культура и спорт,УК-7
,,Б1.О.19,,Прикладная физическая культура  и спорт,УК-7
,,Б1.О.20,,Основы проектного менеджмента,УК-2; УК-3; ОПК-9
,,Б1.О.21,,Базы данных,ОПК-2
,,Б1.О.22,,Макроэкономика,УК-9; ОПК-6
,,Б1.О.23,,Эконометрика,ОПК-1
,Б1.В,,,"Часть, формируемая участниками образовательных отношений",УК-4; ПК-1; ПК-2; ПК-3; ПК-4; ПК-5; ПК-6; ПК-7; ПК-8; ПК-9
,,Б1.В.01,,Теория алгоритмов,ПК-2
,,Б1.В.02,,Методы оптимизации,ПК-3
,,Б1.В.03,,Фронтэнд разработка,ПК-2; ПК-8; ПК-9
,,Б1.В.04,,Мобильные приложения,ПК-2; ПК-7
,,Б1.В.05,,Инструментальные средства разработки ИС,ПК-8
,,Б1.В.06,,Управление IT проектами,ПК-1; ПК-8
,,Б1.В.07,,Язык Python для анализа данных,ПК-2
,,Б1.В.08,,Разработка интерфейсов,ПК-2; ПК-7
,,Б1.В.09,,Бекэнд разработка,ПК-2; ПК-8; ПК-9
,,Б1.В.10,,Английский язык для профессиональных целей,УК-4
,,Б1.В.11,,Интеллектуальный анализ данных,ПК-5
,,Б1.В.12,,Машинное обучение,ПК-3
,,Б1.В.13,,Тестирование и контроль качества ПО,ПК-4; ПК-8
,,Б1.В.14,,Облачные технологии и сервисы,ПК-1
,,Б1.В.15,,Web-технологии,ПК-5; ПК-7
,,Б1.В.16,,Аналитика больших данных,ПК-5
,,Б1.В.17,,Интернет предпринимательство,ПК-1; ПК-9
,,Б1.В.18,,Методы и технологии продвижения информационных ресурсов,ПК-3; ПК-6; ПК-9
,,Б1.В.ДВ.01,,Дисциплины (модули) по выбору 1 (ДВ.1),ПК-2
,,,Б1.В.ДВ.01.01,Технология разработки компьютерных игр,ПК-2
,,,Б1.В.ДВ.01.02,Технологии виртуальной и дополненной реальности,ПК-2
,,Б1.В.ДВ.02,,Дисциплины (модули) по выбору 2 (ДВ.2),ПК-6; ПК-7
,,,Б1.В.ДВ.02.01,Технологии визуализации данных,ПК-6; ПК-7
,,,Б1.В.ДВ.02.02,Цифровой сторителлинг,ПК-6
Б2,,,,Практика,УК-1; ОПК-1; ОПК-4; ОПК-5; ПК-1; ПК-2; ПК-3; ПК-5; ПК-6; ПК-7; ПК-8
,Б2.О,,,Обязательная часть,УК-1; ОПК-1; ОПК-4; ОПК-5
,,Б2.О.01(У),,Ознакомительная практика,ОПК-4; ОПК-5
,,Б2.О.02(У),,Технологическая (проектно-технологическая) практика,УК-1; ОПК-1
,Б2.В,,,"Часть, формируемая участниками образовательных отношений",ПК-1; ПК-2; ПК-3; ПК-5; ПК-6; ПК-7; ПК-8
,,Б2.В.01(П),,Технологическая (проектно-технологическая) практика,ПК-1; ПК-3; ПК-7
,,Б2.В.02(П),,Преддипломная  практика,ПК-2; ПК-5; ПК-6; ПК-8
Б3,,,,Государственная итоговая аттестация,УК-1; УК-2; УК-3; УК-4; УК-5; УК-6; УК-7; УК-8; УК-9; УК-10; ОПК-1; ОПК-2; ОПК-3; ОПК-4; ОПК-5; ОПК-6; ОПК-7; ОПК-8; ОПК-9; ПК-1; ПК-2; ПК-3; ПК-4; ПК-5; ПК-6; ПК-7; ПК-8; ПК-9
,Б3.01,,,выполнение и защита выпускной квалификационной работы,УК-1; УК-2; УК-3; УК-4; УК-5; УК-6; УК-7; УК-8; УК-9; УК-10; ОПК-1; ОПК-2; ОПК-3; ОПК-4; ОПК-5; ОПК-6; ОПК-7; ОПК-8; ОПК-9; ПК-1; ПК-2; ПК-3; ПК-4; ПК-5; ПК-6; ПК-7; ПК-8; ПК-9
ФТД,,,,Факультативные дисциплины,УК-1; ОПК-8
,ФТД.01,,,Прикладные информационные системы,ОПК-8
,ФТД.02,,,Информационное общество и проблемы прикладной информатики,УК-1
