Индекс,,,,,Каф,Наименование,Формируемые компетенции
Б1,,,,,,Дисциплины (модули),УК-1; УК-2; УК-3; УК-4; УК-5; УК-6; УК-7; УК-8; УК-9; УК-10; ОПК-1; ОПК-2; ОПК-3; ОПК-4; ОПК-5; ОПК-6; ОПК-7; ОПК-8; ОПК-9; ПК-1; ПК-2; ПК-3; ПК-4; ПК-5; ПК-6; ПК-7; ПК-8
,Б1.О,,,,,Обязательная часть,УК-1; УК-2; УК-3; УК-4; УК-5; УК-6; УК-7; УК-8; УК-9; УК-10; ОПК-1; ОПК-2; ОПК-3; ОПК-4; ОПК-5; ОПК-6; ОПК-7; ОПК-8; ОПК-9
,,Б1.О.01,,,11,Философия,УК-1.1; УК-1.2; УК-1.3; УК-5.1; УК-5.2; УК-5.3; УК-6.1; УК-6.2; УК-6.3
,,Б1.О.02,,,,История,УК-5.1; УК-5.2; УК-5.3
,,,Б1.О.02.01,,461,История России,УК-5.1; УК-5.2; УК-5.3
,,,Б1.О.02.02,,461,Всеобщая история,УК-5.1; УК-5.2; УК-5.3
,,Б1.О.03,,,347,Иностранный язык,УК-4.1; УК-4.2; УК-4.3
,,Б1.О.04,,,209,Безопасность жизнедеятельности,УК-8.1; УК-8.2; УК-8.3
,,Б1.О.05,,,92,"Вычислительные системы, сети и телекоммуникации",ОПК-2.1; ОПК-2.2; ОПК-2.3; ОПК-5.1; ОПК-5.2; ОПК-5.3
,,Б1.О.06,,,389,Системный анализ,УК-1.1; УК-1.2; УК-1.3; ОПК-6.1; ОПК-6.2; ОПК-6.3
,,Б1.О.07,,,94,Программирование,ОПК-5.1; ОПК-5.2; ОПК-5.3; ОПК-7.1; ОПК-7.2; ОПК-7.3
,,Б1.О.08,,,404,Введение в профессиональную деятельность,ОПК-3.1; ОПК-3.2; ОПК-3.3; ОПК-4.1; ОПК-4.2; ОПК-4.3
,,Б1.О.09,,,94,Информационные системы и технологии,ОПК-2.1; ОПК-2.2; ОПК-2.3
,,Б1.О.10,,,95,Высшая математика,ОПК-1.1; ОПК-1.2; ОПК-1.3
,,Б1.О.11,,,95,Дискретная математика,ОПК-1.1; ОПК-1.2; ОПК-1.3
,,Б1.О.12,,,95,Теория вероятностей и математическая статистика,ОПК-1.1; ОПК-1.2; ОПК-1.3
,,Б1.О.13,,,404,Эффективная коммуникация,УК-3.1; УК-3.2; УК-3.3; УК-4.1; УК-4.2; УК-4.3
,,Б1.О.14,,,95,Информационная безопасность и защита информации,ОПК-3.1; ОПК-3.2; ОПК-3.3
,,Б1.О.15,,,228,Право,УК-2.1; УК-2.2; УК-2.3; УК-10.1; УК-10.2
,,Б1.О.16,,,98,Проектирование информационных систем,ОПК-4.1; ОПК-4.2; ОПК-4.3; ОПК-8.1; ОПК-8.2; ОПК-8.3; ОПК-9.1; ОПК-9.2; ОПК-9.3
,,Б1.О.17,,,92,Операционные системы,ОПК-2.1; ОПК-2.2; ОПК-2.3; ОПК-5.1; ОПК-5.2; ОПК-5.3
,,Б1.О.18,,,346,Физическая культура и спорт,УК-7.1; УК-7.2; УК-7.3
,,Б1.О.19,,,346,Прикладная физическая культура  и спорт,УК-7.1; УК-7.2; УК-7.3
,,Б1.О.20,,,443,Основы проектного менеджмента,УК-2.1; УК-2.2; УК-2.3; УК-3.1; УК-3.2; УК-3.3; ОПК-9.1; ОПК-9.2; ОПК-9.3
,,Б1.О.21,,,94,Базы данных,ОПК-2.1; ОПК-2.2; ОПК-2.3
,,Б1.О.22,,,443,Макроэкономика,ОПК-6.1; ОПК-6.2; ОПК-6.3
,,Б1.О.23,,,441,Эконометрика,УК-9.1; УК-9.2; УК-9.3; ОПК-1.1; ОПК-1.2; ОПК-1.3
,Б1.В,,,,,"Часть, формируемая участниками образовательных отношений",УК-1; УК-2; УК-3; УК-4; УК-5; УК-6; ПК-1; ПК-2; ПК-3; ПК-4; ПК-5; ПК-6; ПК-7; ПК-8
,,Б1.В.01,,,,Модуль 1. Производственно-технологический,УК-1.1; УК-1.2; УК-1.3; ПК-1.1; ПК-1.2; ПК-1.3; ПК-2.1; ПК-2.2; ПК-2.3; ПК-3.1; ПК-3.2; ПК-3.3; ПК-4.1; ПК-4.2; ПК-4.3
,,,Б1.В.01.01,,404,Информационная диагностика социальных объектов и процессов,УК-1.1; УК-1.2; УК-1.3; ПК-3.1; ПК-3.2; ПК-3.3
,,,Б1.В.01.02,,404,Социально-информационные технологии,ПК-2.1; ПК-2.2; ПК-2.3; ПК-3.1; ПК-3.2; ПК-3.3
,,,Б1.В.01.03,,404,Интернет-технологии в социальных коммуникациях,ПК-2.1; ПК-2.2; ПК-2.3; ПК-4.1; ПК-4.2; ПК-4.3
,,,Б1.В.01.04,,404,Мировые информационные ресурсы,УК-1.1; УК-1.2; УК-1.3; ПК-2.1; ПК-2.2; ПК-2.3
