Индекс,,,,Наименование,Компетенции,Требования к образованию
06,,,,"СВЯЗЬ, ИНФОРМАЦИОННЫЕ И КОММУНИКАЦИОННЫЕ ТЕХНОЛОГИИ",,
,06.013,,,СПЕЦИАЛИСТ ПО ИНФОРМАЦИОННЫМ РЕСУРСАМ,ПК-5; ПК-6; ПК-7; ПК-8,
,,C,,Управление (менеджмент) информационными ресурсами,ПК-5; ПК-6; ПК-7; ПК-8,Высшее образование - бакалавриат
,,,C/01.6,Организация работ по созданию и редактированию контента,ПК-5,
,,,C/02.6,Управление информацией из различных источников,ПК-6,
,,,C/05.6,Анализ информационных потребностей посетителей сайта,ПК-7,
,,,C/07.6,Поддержка процессов модернизации и продвижения сайта,ПК-8,
,06.015,,,СПЕЦИАЛИСТ ПО ИНФОРМАЦИОННЫМ СИСТЕМАМ,ПК-1; ПК-2,
,,C,,"Выполнение работ и управление работами по созданию (модификации) и сопровождению ИС, автоматизирующих задачи организационного управления и бизнес-процессы",ПК-1; ПК-2,"Высшее образование - программы бакалавриата
Повышение квалификации по программам обучения, рекомендованным производителем ИС"
,,,C/17.6,Разработка баз данных ИС,ПК-1,
,,,C/22.6,Создание пользовательской документации к ИС,ПК-2,
,,,C/31.6,Управление доступом к данным,ПК-2,
