Индекс,,,Содержание,Тип
УК-1,,,"Способен осуществлять поиск, критический анализ и синтез информации, применять системный подход для решения поставленных задач",УК
,УК-1.1,,"Знает принципы сбора, отбора и обобщения информации, методики системного подхода для решения профессиональных задач",-
,,Б1.О.01,Философия,
,,Б1.О.06,Системный анализ,
,,Б1.В.01,Модуль 1. Производственно-технологический,
,,Б1.В.01.01,Информационная диагностика социальных объектов и процессов,
,,Б1.В.01.04,Мировые информационные ресурсы,
,,Б1.В.01.ДВ.01.01,Компьютерная психодиагностика,
,,Б2.О.02(У),Технологическая (проектно-технологическая) практика,
,,Б2.В.01(П),Технологическая (проектно-технологическая) практика,
,,Б2.В.02(Пд),Преддипломная практика,
,,Б3.01,Подготовка к сдаче и сдача государственного экзамена,
,,Б3.02,выполнение и защита выпускной квалификационной работы,
,УК-1.2,,"Умеет анализировать и систематизировать разнородные денные, оценивать эффективность процедур анализа проблем и принятия решений в профессиональной деятельности",-
,,Б1.О.01,Философия,
,,Б1.О.06,Системный анализ,
,,Б1.В.01,Модуль 1. Производственно-технологический,
,,Б1.В.01.01,Информационная диагностика социальных объектов и процессов,
,,Б1.В.01.04,Мировые информационные ресурсы,
,,Б1.В.01.ДВ.01.01,Компьютерная психодиагностика,
,,Б2.О.02(У),Технологическая (проектно-технологическая) практика,
,,Б2.В.01(П),Технологическая (проектно-технологическая) практика,
,,Б2.В.02(Пд),Преддипломная практика,
,,Б3.01,Подготовка к сдаче и сдача государственного экзамена,
,,Б3.02,выполнение и защита выпускной квалификационной работы,
,УК-1.3,,Владеет навыками научного поиска и практической работы с информационными источниками; методами принятия решений,-
,,Б1.О.01,Философия,
,,Б1.О.06,Системный анализ,
,,Б1.В.01,Модуль 1. Производственно-технологический,
,,Б1.В.01.01,Информационная диагностика социальных объектов и процессов,
,,Б1.В.01.04,Мировые информационные ресурсы,
,,Б1.В.01.ДВ.01.01,Компьютерная психодиагностика,
,,Б2.О.02(У),Технологическая (проектно-технологическая) практика,
,,Б2.В.01(П),Технологическая (проектно-технологическая) практика,
,,Б2.В.02(Пд),Преддипломная практика,
,,Б3.01,Подготовка к сдаче и сдача государственного экзамена,
,,Б3.02,выполнение и защита выпускной квалификационной работы,
УК-2,,,"Способен определять круг задач в рамках поставленной цели и выбирать оптимальные способы их решения, исходя из действующих правовых норм, имеющихся ресурсов и ограничений",УК
,УК-2.1,,Знает необходимые для осуществления профессиональной деятельности правовые нормы и методологические основы принятия управленческого решения,-
,,Б1.О.15,Право,
,,Б1.О.20,Основы проектного менеджмента,
,,Б1.В.02,Модуль 2. Организационно-управленческий,
,,Б1.В.02.08,Психология управления,
,,Б2.В.01(П),Технологическая (проектно-технологическая) практика,
,,Б2.В.02(Пд),Преддипломная практика,
,,Б3.02,выполнение и защита выпускной квалификационной работы,
,УК-2.2,,"Умеет анализировать альтернативные варианты решений для достижения намеченных результутов; разрабатывать план, определять целевые этапы и основные направления работ",-
,,Б1.О.15,Право,
,,Б1.О.20,Основы проектного менеджмента,
