Название практики,,,Курс,Сем. курса,Кафедра,+,Продолжительность (недель),,Студ.,Часов,,,
,,,,,,,,,,на студента,на студента в неделю,на подгруппу,на подгруппу в неделю
Вид практики: Учебная практика ,,,,,,,,,,,,,
,Ознакомительная практика,,1,2,,,2,,,,,,
,,,,,404,+,2,,0,0,1,0,0
,Технологическая (проектно-технологическая) практика,,2,2,,,2,,,,,,
,,,,,404,+,2,,0,0,1,0,0
Вид практики: Производственная практика ,,,,,,,,,,,,,
,Технологическая (проектно-технологическая) практика,,3,2,,,2,2/3,,,,,
,,,,,404,+,2,2/3,0,0,1,0,0
Вид практики: Преддипломная практика ,,,,,,,,,,,,,
,Преддипломная практика,,4,2,,,6,2/3,,,,,
,,,,,404,+,6,2/3,0,0,1,0,0
Итого по факту,,,,,,,13,1/3,,,,,
Итого по плану,,,,,,,13,1/3,,,,,
