-,-,-,Форма контроля,,,,з.е.,,-,Итого акад.часов,,,,,,Курс 1,,,,,,,,,,,,,,Курс 2,,,,,,,,,,,,,,Курс 3,,,,,,,,,,,,,,Курс 4,,,,,,,,,,,,,,Закрепленная кафедра
,,,,,,,,,,,,,,,,Семестр 1,,,,,,,Семестр 2,,,,,,,Семестр 3,,,,,,,Семестр 4,,,,,,,Семестр 5,,,,,,,Семестр 6,,,,,,,Семестр 7,,,,,,,Семестр 8,,,,,,,
Считать в плане,Индекс,Наименование,Экза мен,Зачет,Зачет с оц.,КР,Экспер тное,Факт,Часов в з.е.,Экспер тное,По плану,Ауд.,СР,Конт роль,Элект часы,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,Код
Блок 1.Дисциплины (модули) ,,,,,,,210,210,,7888,7888,3460,3564,864,72,27.5,1040,150,36,242,540,72,29.5,1112,166,36,298,468,144,29,1112,144,36,320,504,108,28,1076,126,36,320,450,144,28.5,1072,94,,366,504,108,23.5,892,94,,258,468,72,31,1116,54,,468,450,144,13,468,54,,162,180,72,
Обязательная часть ,,,,,,,115,115,,4468,4468,2038,1962,468,72,27.5,1040,150,36,242,540,72,29.5,1112,166,36,298,468,144,29,1112,144,36,320,504,108,28,1076,126,36,320,450,144,0.5,64,4,,60,,,0.5,64,4,,60,,,,,,,,,,,,,,,,,
+,Б1.О.01,Философия,,4,,,3,3,36,108,108,54,54,,,,,,,,,,,,,,,,,,,,,,,,3,108,18,,36,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
+,Б1.О.02,История,,12,,,4,4,,144,144,72,72,,36,2,72,18,,18,36,,2,72,18,,18,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+,Б1.О.02.01,История России,,1,,,2,2,36,72,72,36,36,,36,2,72,18,,18,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,461
+,Б1.О.02.02,Всеобщая история,,2,,,2,2,36,72,72,36,36,,,,,,,,,,2,72,18,,18,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,461
+,Б1.О.03,Иностранный язык,4,123,,,9,9,36,324,324,144,144,36,36,2,72,,,36,36,,2,72,,,36,36,,2,72,,,36,36,,3,108,,,36,36,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96
+,Б1.О.04,Безопасность жизнедеятельности,,3,,,3,3,36,108,108,54,54,,,,,,,,,,,,,,,,,3,108,18,,36,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209
+,Б1.О.05,"Вычислительные системы, сети и телекоммуникации",,4,,,3,3,36,108,108,54,54,,,,,,,,,,,,,,,,,,,,,,,,3,108,18,36,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92
+,Б1.О.06,Системный анализ,,2,,,3,3,36,108,108,54,54,,,,,,,,,,3,108,18,,36,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,389
+,Б1.О.07,Программирование,3,12,,,10,10,36,360,360,162,162,36,,3,108,18,36,,54,,3,108,18,36,,54,,4,144,18,36,,54,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94
+,Б1.О.08,Введение в профессиональную деятельность,2,1,,,5,5,36,180,180,54,90,36,,2,72,18,,,54,,3,108,18,,18,36,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292
+,Б1.О.09,Информационные системы и технологии,1,,,,7,7,36,252,252,72,144,36,,7,252,36,,36,144,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94
+,Б1.О.10,Высшая математика,12,,,,15,15,36,540,540,180,288,72,,8,288,36,,54,162,36,7,252,36,,54,126,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95
+,Б1.О.11,Дискретная математика,2,,,,5,5,36,180,180,72,72,36,,,,,,,,,5,180,36,,36,72,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95
+,Б1.О.12,Теория вероятностей и математическая статистика,3,,,,6,6,36,216,216,72,108,36,,,,,,,,,,,,,,,,6,216,36,,36,108,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95
+,Б1.О.13,Эффективная коммуникация,,1,,,3,3,36,108,108,54,54,,,3,108,18,,36,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292
+,Б1.О.14,Информационная безопасность и защита информации,,4,,,3,3,36,108,108,54,54,,,,,,,,,,,,,,,,,,,,,,,,3,108,18,,36,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95
+,Б1.О.15,Право,,4,,,3,3,36,108,108,54,54,,,,,,,,,,,,,,,,,,,,,,,,3,108,18,,36,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226
+,Б1.О.16,Проектирование информационных систем,4,3,,4,8,8,36,288,288,108,144,36,,,,,,,,,,,,,,,,3,108,18,,36,54,,5,180,18,,36,90,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98
+,Б1.О.17,Операционные системы,,3,,,3,3,36,108,108,54,54,,,,,,,,,,,,,,,,,3,108,18,,36,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92
+,Б1.О.18,Физическая культура и спорт,,1256,,,2,2,36,72,72,72,,,,0.5,18,6,,12,,,0.5,18,4,,14,,,,,,,,,,,,,,,,,0.5,18,4,,14,,,0.5,18,4,,14,,,,,,,,,,,,,,,,,346
+,Б1.О.19,Прикладная физическая культура  и спорт,,123456,,,,,,328,328,328,,,,,50,,,50,,,,50,,,50,,,,68,,,68,,,,68,,,68,,,,46,,,46,,,,46,,,46,,,,,,,,,,,,,,,,,346
+,Б1.О.20,Основы проектного менеджмента,3,,,,4,4,36,144,144,54,54,36,,,,,,,,,,,,,,,,4,144,18,,36,54,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,443
+,Б1.О.21,Базы данных,4,3,,3,8,8,36,288,288,108,144,36,,,,,,,,,,,,,,,,4,144,18,,36,90,,4,144,18,,36,54,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94
+,Б1.О.22,Макроэкономика,2,,,,4,4,36,144,144,54,54,36,,,,,,,,,4,144,18,,36,54,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,443
+,Б1.О.23,Эконометрика,4,,,,4,4,36,144,144,54,54,36,,,,,,,,,,,,,,,,,,,,,,,4,144,18,,36,54,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,441
"Часть, формируемая участниками образовательных отношений ",,,,,,,95,95,,3420,3420,1422,1602,396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,1008,90,,306,504,108,23,828,90,,198,468,72,31,1116,54,,468,450,144,13,468,54,,162,180,72,
+,Б1.В.01,Технологии оцифровки,6,,,,5,5,36,180,180,54,90,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,180,,,54,90,36,,,,,,,,,,,,,,,292
+,Б1.В.02,Всемирное культурное наследие,,5,,,3,3,36,108,108,36,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108,18,,18,72,,,,,,,,,,,,,,,,,,,,,,,292
+,Б1.В.03,Основы научно-исследовательской работы,,8,,,2,2,36,72,72,36,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,72,18,,18,36,,292
+,Б1.В.04,Специальные исторические дисциплины,5,,,,3,3,36,108,108,36,36,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108,18,,18,36,36,,,,,,,,,,,,,,,,,,,,,,292
+,Б1.В.05,История исскуств,5,6,,,12,12,36,432,432,144,252,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,252,36,,36,144,36,5,180,36,,36,108,,,,,,,,,,,,,,,,292
+,Б1.В.06,Создание и обработка цифрового аудио и видео,,5,,,3,3,36,108,108,36,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108,,,36,72,,,,,,,,,,,,,,,,,,,,,,,292
+,Б1.В.07,Графический дизайн и инфографика/Adobe InDesign,,5,,,3,3,36,108,108,54,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108,,,54,54,,,,,,,,,,,,,,,,,,,,,,,292
+,Б1.В.08,3D-моделирование/Autodesk 3ds Max,6,5,,,9,9,36,324,324,108,180,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108,,,54,54,,6,216,,,54,126,36,,,,,,,,,,,,,,,292
+,Б1.В.09,Маркетинг в социальных медиа/SMM,,6,,6,4,4,36,144,144,72,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,144,36,,36,72,,,,,,,,,,,,,,,,292
+,Б1.В.10,Режиссура интерактивных медиа,,6,,,3,3,36,108,108,36,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108,18,,18,72,,,,,,,,,,,,,,,,292
+,Б1.В.11,Моушн-дизайн,5,,,,3,3,36,108,108,54,18,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108,,,54,18,36,,,,,,,,,,,,,,,,,,,,,,292
+,Б1.В.12,Основы цифрового делопроизводства,,7,,,3,3,36,108,108,54,18,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108,,,54,18,36,,,,,,,,292
+,Б1.В.13,Методы анализа данных на Python и R,7,,,,5,5,36,180,180,54,90,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,180,,,54,90,36,,,,,,,,292
+,Б1.В.14,Технологии дополненной и виртуальной реальности: AR и VR,7,,,,5,5,36,180,180,90,54,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,180,,,90,54,36,,,,,,,,292
+,Б1.В.15,3D-скульптинг/Pixologic ZBrush,,7,,,3,3,36,108,108,54,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108,,,54,54,,,,,,,,,292
+,Б1.В.16,"Веб-аналитика/Яндекс.Метрика, Google Analytics",,8,,,2,2,36,72,72,36,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,72,18,,18,36,,292
+,Б1.В.17,UI/UX дизайн,,7,,,2,2,36,72,72,54,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,72,,,54,18,,,,,,,,,292
