,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,, Документ подписан простой электронной подписью,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,, Информация о владельце: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,, ФИО:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,, Должность:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,, Дата подписания:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,, Уникальный программный ключ:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,МИНИСТЕРСТВО НАУКИ И ВЫСШЕГО ОБРАЗОВАНИЯ РФ,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,СОГЛАСОВАНО,,,,,,,,,,,,,,,,,УТВЕРЖДАЮ,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,УЧЕБНЫЙ ПЛАН,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,"  ФГАОУ ВО Сибирский федеральный университет
ГУМАНИТАРНЫЙ ИНСТИТУТ  ",,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,УТВЕРЖДАЮ,,,,,,,,,,
22,,План одобрен Ученым советом вуза,,,,,,,,,УЧЕБНЫЙ ПЛАН,,,,,,,,Ректор СФУ ,,,,,,,Румянцев М.В.,,,,
23,,Протокол №             от ,,,,,,,,,,,,,,,,,,"""___"" ____________ 20___ г.",,,,,,,,,,
24,,,,,,,по программе  бакалавриата,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,09.03.03,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,09.03.03 Прикладная информатика. Профиль 09.03.03.35 Прикладная информатика в искусстве и интерактивных медиа,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,Профиль:,Прикладная информатика в искусстве и интерактивных медиа,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,Военная специальность:             ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,Военная специализация:              ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,Предназначение выпускников:      ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,Кафедра: ,Кафедра информационных технологий в креативных и культурных индустриях (ИТККИ_ИСФФ),,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,Факультет: ,Гуманитарный институт,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,Квалификация: бакалавр,,,,,,,,,,,,,Год начала подготовки (по учебному плану),,,,,,,2021,,,,,,,,
40,,,,,,,,,,,,,,,Учебный год,,,,,,,2021-2022,,,,,,,,
41,,Форма обучения: очная форма,,,,,,,,,,,,,Образовательный стандарт (ФГОС),,,,,,, № 922 от 19.09.2017,,,,,,,,
42,,Срок получения образования: 4г,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,Код,Области профессиональной деятельности и (или) сферы профессиональной деятельности. Профессиональные стандарты,,,,,,,,,,,,,,,,,,,,,,,Приказ Минтруда,,,,
46,,06,"СВЯЗЬ, ИНФОРМАЦИОННЫЕ И КОММУНИКАЦИОННЫЕ ТЕХНОЛОГИИ",,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,06.001,ПРОГРАММИСТ,,,,,,,,,,,,,,,,,,,,,,,№ 679н от 18.11.2013 г.,,,,
48,,06.022,СИСТЕМНЫЙ АНАЛИТИК,,,,,,,,,,,,,,,,,,,,,,,№ 809н от 28.10.2014 г.,,,,
49,,06.035,РАЗРАБОТЧИК WEB И МУЛЬТИМЕДИЙНЫХ ПРИЛОЖЕНИЙ,,,,,,,,,,,,,,,,,,,,,,,№ 44н от 18.01.2017 г.,,,,
50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,Основной,Типы задач профессиональной деятельности,,,,,,,,,,,,СОГЛАСОВАНО,,,,,,,,,,,,,,,
52,,+,производственно-технологический,,,,,,,,,,,,Руководитель УД,,,,,,,,,,/ Козель Н.А./ ,,,,,
53,,-,проектный,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,директор ГИ,,,,,,,,,,/ Груздев А.А./ ,,,,,
55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
