Индекс,,,,Содержание
ПК-1,,,,Способность к разработке процедур интеграции программных модулей и компонент
,06.001,,,ПРОГРАММИСТ
,,C,,Интеграция программных модулей и компонент и верификация выпусков программного продукта
,,,C/02.5,Осуществление интеграции программных модулей и компонент и верификации выпусков программного продукта
ПК-2,,,,Способность к обеспечению интеграции программных модулей и компонент
,06.001,,,ПРОГРАММИСТ
,,C,,Интеграция программных модулей и компонент и верификация выпусков программного продукта
,,,C/02.5,Осуществление интеграции программных модулей и компонент и верификации выпусков программного продукта
ПК-3,,,,Способность проводить анализ требований к программному обеспечению и их выполнение
,06.001,,,ПРОГРАММИСТ
,,D,,Разработка требований и проектирование программного обеспечения
,,,D/02.6,Разработка технических спецификаций на программные компоненты и их взаимодействие
ПК-4,,,,Способность к разработке технических спецификаций на программные компоненты и взаимодействие между ними
,06.001,,,ПРОГРАММИСТ
,,D,,Разработка требований и проектирование программного обеспечения
,,,D/02.6,Разработка технических спецификаций на программные компоненты и их взаимодействие
ПК-5,,,,Способность к проектированию программного обеспечения и внесению в него изменений с учетом технических спецификаций и требований заинтересованных сторон
,06.001,,,ПРОГРАММИСТ
,,D,,Разработка требований и проектирование программного обеспечения
,,,D/03.6,Проектирование программного обеспечения
ПК-6,,,,"Способность к определению и описанию тест-кейсов, в том числе для средств автоматизации тестирования"
,06.004,,,СПЕЦИАЛИСТ ПО ТЕСТИРОВАНИЮ В ОБЛАСТИ ИНФОРМАЦИОННЫХ ТЕХНОЛОГИЙ
,,B,,"Разработка тестовых случаев, проведение тестирования и исследование результатов"
,,,B/01.5,"Определение и описание тестовых случаев, включая разработку автотестов"
ПК-7,,,,Готовность к выполнению ручного и автоматизированного тестирования
,06.004,,,СПЕЦИАЛИСТ ПО ТЕСТИРОВАНИЮ В ОБЛАСТИ ИНФОРМАЦИОННЫХ ТЕХНОЛОГИЙ
,,B,,"Разработка тестовых случаев, проведение тестирования и исследование результатов"
,,,B/02.5,Проведение тестирования по разработанным тестовым случаям
ПК-8,,,,"Способность к восстановлению тестов после сбоев, повлекших за собой нарушение работы системы"
,06.004,,,СПЕЦИАЛИСТ ПО ТЕСТИРОВАНИЮ В ОБЛАСТИ ИНФОРМАЦИОННЫХ ТЕХНОЛОГИЙ
,,B,,"Разработка тестовых случаев, проведение тестирования и исследование результатов"
,,,B/03.5,"Восстановление тестов после сбоев, повлекших за собой нарушение работы системы"
ПК-9,,,,Способность к выполнению анализа результатов тестирования
,06.004,,,СПЕЦИАЛИСТ ПО ТЕСТИРОВАНИЮ В ОБЛАСТИ ИНФОРМАЦИОННЫХ ТЕХНОЛОГИЙ
,,B,,"Разработка тестовых случаев, проведение тестирования и исследование результатов"
,,,B/04.5,Анализ результатов тестирования
ПК-10,,,,Способность к проведению проверки исправленных дефектов в соответствии с их приоритетами
,06.004,,,СПЕЦИАЛИСТ ПО ТЕСТИРОВАНИЮ В ОБЛАСТИ ИНФОРМАЦИОННЫХ ТЕХНОЛОГИЙ
,,B,,"Разработка тестовых случаев, проведение тестирования и исследование результатов"
,,,B/06.5,Проверка исправленных дефектов в порядке их приоритета
ПК-11,,,,Готовность к выполнению анализа проблемной ситуации заинтересованных лиц
,06.022,,,СИСТЕМНЫЙ АНАЛИТИК
,,C,,"Концептуальное, функциональное и логическое проектирование систем среднего и крупного масштаба и сложности"
,,,C/02.6,Анализ проблемной ситуации заинтересованных лиц
ПК-12,,,,Способность к разработке бизнес-требований заинтересованных лиц
,06.022,,,СИСТЕМНЫЙ АНАЛИТИК
,,C,,"Концептуальное, функциональное и логическое проектирование систем среднего и крупного масштаба и сложности"
,,,C/03.6,Разработка бизнес-требований к системе
ПК-13,,,,Способность к формулированию целей разработки программной системы
,06.022,,,СИСТЕМНЫЙ АНАЛИТИК
,,C,,"Концептуальное, функциональное и логическое проектирование систем среднего и крупного масштаба и сложности"
,,,C/04.6,Постановка целей создания системы
ПК-14,,,,Способность к разработке концепции программной системы
,06.022,,,СИСТЕМНЫЙ АНАЛИТИК
,,C,,"Концептуальное, функциональное и логическое проектирование систем среднего и крупного масштаба и сложности"
,,,C/05.6,Разработка концепции системы
ПК-15,,,,Способность к разработке технического задания на программную систему
,06.022,,,СИСТЕМНЫЙ АНАЛИТИК
,,C,,"Концептуальное, функциональное и логическое проектирование систем среднего и крупного масштаба и сложности"
,,,C/06.6,Разработка технического задания на систему
ПК-16,,,,Готовность к обеспечению процесса организации оценки соответствия требованиям существующих и (или) аналогичных программных систем
,06.022,,,СИСТЕМНЫЙ АНАЛИТИК
,,C,,"Концептуальное, функциональное и логическое проектирование систем среднего и крупного масштаба и сложности"
,,,C/07.6,Организация оценки соответствия требованиям существующих систем и их аналогов
ПК-17,,,,"Готовность к представлению заинтересованным лицам концепции программной системы, технического задания и изменений в них"
,06.022,,,СИСТЕМНЫЙ АНАЛИТИК
,,C,,"Концептуальное, функциональное и логическое проектирование систем среднего и крупного масштаба и сложности"
,,,C/08.6,"Представление концепции, технического задания и изменений в них заинтересованным лицам"
ПК-18,,,,Готовность к обеспечению процесса согласования требований к программной системе
,06.022,,,СИСТЕМНЫЙ АНАЛИТИК
,,C,,"Концептуальное, функциональное и логическое проектирование систем среднего и крупного масштаба и сложности"
,,,C/09.6,Организация согласования требований к системе
