-,-,-,-,Форма контроля,,,,,з.е.,,Итого акад.часов,,,,,,,Курс 1,,Курс 2,,Курс 3,,Курс 4,,Закрепленная кафедра,
,,,,,,,,,,,,,,,,,,Семестр 1,Семестр 2,Семестр 3,Семестр 4,Семестр 5,Семестр 6,Семестр 7,Семестр 8,,
Считать в плане,Индекс,Наименование,Блок/ часть,Экза мен,Зачет,Зачет с оц.,КП,КР,Экспер тное,Факт,Экспер тное,По плану,Конт. раб.,Ауд.,СР,Конт роль,Пр. подгот,з.е.,з.е.,з.е.,з.е.,з.е.,з.е.,з.е.,з.е.,Код,Наименование
Блок 1.Дисциплины (модули) ,,,,,,,,,210,210,7888,7888,3310,3310,3714,864,,27.5,29.5,28,29,27,27,28,14,,
Обязательная часть ,,,,,,,,,123,123,4756,4756,2290,2290,1962,504,,27.5,29.5,21,20,9.5,10.5,5,,,
+,Б1.О.01,Философия,Б1.О,4,,,,,4,4,144,144,54,54,54,36,,,,,4,,,,,11,Кафедра философии (КФ1_ИФФ)
+,Б1.О.02,История,Б1.О,,12,,,,4,4,144,144,72,72,72,,,2,2,,,,,,,,
+,Б1.О.02.01,История России,Б1.О,,1,,,,2,2,72,72,36,36,36,,,2,,,,,,,,461,"Кафедра истории России, мировых и региональных цивилизаций"
+,Б1.О.02.02,Всеобщая история,Б1.О,,2,,,,2,2,72,72,36,36,36,,,,2,,,,,,,461,"Кафедра истории России, мировых и региональных цивилизаций"
+,Б1.О.03,Иностранный язык,Б1.О,4,123,,,,9,9,324,324,144,144,144,36,,2,2,2,3,,,,,96,Кафедра разговорного иностранного языка (РИЯ_ИКИТ)
+,Б1.О.04,Безопасность жизнедеятельности,Б1.О,,3,,,,3,3,108,108,54,54,54,,,,,3,,,,,,209,Кафедра техносферной и экологической безопасности 
+,Б1.О.05,Физика,Б1.О,3,2,,,,8,8,288,288,126,126,126,36,,,4,4,,,,,,141,Кафедра физики  (Ф2_ИФО)
+,Б1.О.06,Информатика,Б1.О,1,,,,,4,4,144,144,54,54,54,36,,4,,,,,,,,93,Кафедра информатики (И_ИКИТ)
+,Б1.О.07,Основы программирования,Б1.О,2,1,,,,9,9,324,324,144,144,144,36,,5,4,,,,,,,93,Кафедра информатики (И_ИКИТ)
+,Б1.О.08,Введение в профессиональную деятельность,Б1.О,2,1,,,,8,8,288,288,126,126,126,36,,4,4,,,,,,,93,Кафедра информатики (И_ИКИТ)
+,Б1.О.09,Алгебра и геометрия,Б1.О,1,,,,,5,5,180,180,72,72,72,36,,5,,,,,,,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
+,Б1.О.10,Математический анализ,Б1.О,2,1,,,,10,10,360,360,180,180,144,36,,5,5,,,,,,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
+,Б1.О.11,Дискретная математика,Б1.О,2,,,,,5,5,180,180,72,72,72,36,,,5,,,,,,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
+,Б1.О.12,Теория вероятностей и математическая статистика,Б1.О,3,,,,,5,5,180,180,72,72,72,36,,,,5,,,,,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
+,Б1.О.13,Теория и практика эффективного речевого общения,Б1.О,,2,,,,3,3,108,108,54,54,54,,,,3,,,,,,,388,Кафедра русского языка и  речевой коммуникации (РЯиРК_ИФИЯК)
+,Б1.О.14,Информационная безопасность и защита информации,Б1.О,,5,,,,3,3,108,108,54,54,54,,,,,,,3,,,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
+,Б1.О.15,Математическая логика и теория алгоритмов,Б1.О,,3,,,,3,3,108,108,54,54,54,,,,,3,,,,,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
+,Б1.О.16,Алгоритмы и структуры данных,Б1.О,4,3,,,,9,9,324,324,90,90,198,36,,,,4,5,,,,,93,Кафедра информатики (И_ИКИТ)
+,Б1.О.17,Базы данных,Б1.О,4,,,,,5,5,180,180,72,72,72,36,,,,,5,,,,,93,Кафедра информатики (И_ИКИТ)
+,Б1.О.18,Технологии анализа данных,Б1.О,7,,,,,5,5,180,180,72,72,72,36,,,,,,,,5,,93,Кафедра информатики (И_ИКИТ)
+,Б1.О.19,"Теория автоматов, языков и вычислений",Б1.О,,5,,,,3,3,108,108,54,54,54,,,,,,,3,,,,93,Кафедра информатики (И_ИКИТ)
+,Б1.О.20,Основы функционального программирования,Б1.О,,6,,,,3,3,108,108,54,54,54,,,,,,,,3,,,93,Кафедра информатики (И_ИКИТ)
+,Б1.О.21,Машинно-зависимые языки программирования,Б1.О,6,,,,,4,4,144,144,54,54,54,36,,,,,,,4,,,93,Кафедра информатики (И_ИКИТ)
+,Б1.О.22,Разработка мобильных приложений,Б1.О,,6,,,,3,3,108,108,54,54,54,,,,,,,,3,,,93,Кафедра информатики (И_ИКИТ)
+,Б1.О.23,Разработка корпоративных информационных систем,Б1.О,,5,,,,3,3,108,108,54,54,54,,,,,,,3,,,,93,Кафедра информатики (И_ИКИТ)
+,Б1.О.24,Системное программирование,Б1.О,,4,,,,3,3,108,108,54,54,54,,,,,,3,,,,,93,Кафедра информатики (И_ИКИТ)
+,Б1.О.25,Физическая культура и спорт,Б1.О,,1256,,,,2,2,72,72,72,72,,,,0.5,0.5,,,0.5,0.5,,,346,Кафедра физической культуры (ФК_ИФКСТ)
+,Б1.О.26,Прикладная физическая культура и спорт,Б1.О,,123456,,,,,,328,328,328,328,,,,,,,,,,,,346,Кафедра физической культуры (ФК_ИФКСТ)
"Часть, формируемая участниками образовательных отношений ",,,,,,,,,87,87,3132,3132,1020,1020,1752,360,,,,7,9,17.5,16.5,23,14,,
+,Б1.В.01,Профессионально-ориентированный иностранный язык,Б1.В,,56,,,,3,3,108,108,54,54,54,,,,,,,1.5,1.5,,,96,Кафедра разговорного иностранного языка (РИЯ_ИКИТ)
+,Б1.В.02,Объектно-ориентированное программирование,Б1.В,3,4,,,,8,8,288,288,126,126,126,36,,,,5,3,,,,,93,Кафедра информатики (И_ИКИТ)
+,Б1.В.03,Разработка и анализ требований,Б1.В,,3,,,,2,2,72,72,36,36,36,,,,,2,,,,,,93,Кафедра информатики (И_ИКИТ)
+,Б1.В.04,Разработка Web-приложений,Б1.В,,4,,,,3,3,108,108,54,54,54,,,,,,3,,,,,389,Базовая кафедра Интеллектуальные системы управления (ИСУ_ИКИТ)
+,Б1.В.05,Методы анализа данных,Б1.В,,4,,,,3,3,108,108,54,54,54,,,,,,3,,,,,93,Кафедра информатики (И_ИКИТ)
+,Б1.В.06,Инженерия требований к программному обеспечению,Б1.В,5,,,,,5,5,180,180,72,72,72,36,,,,,,5,,,,93,Кафедра информатики (И_ИКИТ)
+,Б1.В.07,Проектирование и архитектура программных систем,Б1.В,6,,,,,4,4,144,144,54,54,54,36,,,,,,,4,,,93,Кафедра информатики (И_ИКИТ)
+,Б1.В.08,Тестирование программного обеспечения,Б1.В,7,,,,,5,5,180,180,54,54,90,36,,,,,,,,5,,93,Кафедра информатики (И_ИКИТ)
+,Б1.В.09,Основы профилактики коррупции,Б1.В,,7,,,,2,2,72,72,36,36,36,,,,,,,,,2,,98,Кафедра систем искусственного интеллекта (КСИИ_ИКИТ)
+,Б1.В.10,Экономическая культура и финансовая грамотность,Б1.В,,8,,,,3,3,108,108,54,54,54,,,,,,,,,,3,443,Кафедра экономики и управления бизнес-процессами
+,Б1.В.ДВ.01,Дисциплины по выбору Б1.В.ДВ.1,Б1.В,5,,,,,5,5,180,180,72,72,72,36,,,,,,5,,,,,
+,Б1.В.ДВ.01.01,Теория вычислительного обучения,Б1.В,5,,,,,5,5,180,180,72,72,72,36,,,,,,5,,,,93,Кафедра информатики (И_ИКИТ)
-,Б1.В.ДВ.01.02,Теория систем,Б1.В,5,,,,,5,5,180,180,72,72,72,36,,,,,,5,,,,389,Базовая кафедра Интеллектуальные системы управления (ИСУ_ИКИТ)
+,Б1.В.ДВ.02,Дисциплины по выбору Б1.В.ДВ.2,Б1.В,6,,,,,5,5,180,180,72,72,72,36,,,,,,,5,,,,
+,Б1.В.ДВ.02.01,Нейронные сети и их приложения,Б1.В,6,,,,,5,5,180,180,72,72,72,36,,,,,,,5,,,93,Кафедра информатики (И_ИКИТ)
-,Б1.В.ДВ.02.02,Web-программирование,Б1.В,6,,,,,5,5,180,180,72,72,72,36,,,,,,,5,,,389,Базовая кафедра Интеллектуальные системы управления (ИСУ_ИКИТ)
+,Б1.В.ДВ.03,Дисциплины по выбору Б1.В.ДВ.3,Б1.В,5,,,,,4,4,144,144,54,54,54,36,,,,,,4,,,,,
+,Б1.В.ДВ.03.01,Методы оптимизации,Б1.В,5,,,,,4,4,144,144,54,54,54,36,,,,,,4,,,,93,Кафедра информатики (И_ИКИТ)
-,Б1.В.ДВ.03.02,Серверное программирование,Б1.В,5,,,,,4,4,144,144,54,54,54,36,,,,,,4,,,,389,Базовая кафедра Интеллектуальные системы управления (ИСУ_ИКИТ)
+,Б1.В.ДВ.04,Дисциплины по выбору Б1.В.ДВ.4,Б1.В,7,,,,,7,7,252,252,90,90,126,36,,,,,,,,7,,,
+,Б1.В.ДВ.04.01,Модели и методы искусственного интеллекта,Б1.В,7,,,,,7,7,252,252,90,90,126,36,,,,,,,,7,,93,Кафедра информатики (И_ИКИТ)
-,Б1.В.ДВ.04.02,Разработка интеграционных систем,Б1.В,7,,,,,7,7,252,252,90,90,126,36,,,,,,,,7,,389,Базовая кафедра Интеллектуальные системы управления (ИСУ_ИКИТ)
+,Б1.В.ДВ.05,Дисциплины по выбору Б1.В.ДВ.5,Б1.В,8,,,,,5,5,180,180,32,32,112,36,,,,,,,,,5,,
+,Б1.В.ДВ.05.01,Системы искусственного интеллекта,Б1.В,8,,,,,5,5,180,180,32,32,112,36,,,,,,,,,5,93,Кафедра информатики (И_ИКИТ)
-,Б1.В.ДВ.05.02,Системы аналитической обработки данных,Б1.В,8,,,,,5,5,180,180,32,32,112,36,,,,,,,,,5,389,Базовая кафедра Интеллектуальные системы управления (ИСУ_ИКИТ)
+,Б1.В.ДВ.06,Дисциплины (модули) по выбору 6 (ДВ.6),Б1.В,,567,,6,,17,17,612,612,90,90,522,,,,,,,2,6,9,,,
+,Б1.В.ДВ.06.01,Командный проект по разработке программного обеспечения,Б1.В,,567,,6,,17,17,612,612,90,90,522,,,,,,,2,6,9,,93,Кафедра информатики (И_ИКИТ)
-,Б1.В.ДВ.06.02,Командный проект индустриальной разработки программного продукта,Б1.В,,567,,6,,17,17,612,612,90,90,522,,,,,,,2,6,9,,389,Базовая кафедра Интеллектуальные системы управления (ИСУ_ИКИТ)
+,Б1.В.ДВ.07,Дисциплины (модули) по выбору 7 (ДВ.7),Б1.В,8,,,8,,6,6,216,216,16,16,164,36,,,,,,,,,6,,
+,Б1.В.ДВ.07.01,Бакалаврский семинар,Б1.В,8,,,8,,6,6,216,216,16,16,164,36,,,,,,,,,6,93,Кафедра информатики (И_ИКИТ)
-,Б1.В.ДВ.07.02,Командный курсовой проект,Б1.В,8,,,8,,6,6,216,216,16,16,164,36,,,,,,,,,6,389,Базовая кафедра Интеллектуальные системы управления (ИСУ_ИКИТ)
Блок 2.Практика ,,,,,,,,,21,21,756,756,,,756,,,,3,,3,,6,,9,,
Обязательная часть ,,,,,,,,,21,21,756,756,,,756,,,,3,,3,,6,,9,,
+,Б2.О.01,Учебная практика,Б2.О,,,2,,,3,3,108,108,,,108,,,,3,,,,,,,,
+,Б2.О.01.01(У),Ознакомительная практика,Б2.О,,,2,,,3,3,108,108,,,108,,,,3,,,,,,,93,Кафедра информатики (И_ИКИТ)
+,Б2.О.02,Производственная практика,Б2.О,,,468,,,18,18,648,648,,,648,,,,,,3,,6,,9,,
+,Б2.О.02.01(П),Научно-исследовательская работа,Б2.О,,,4,,,3,3,108,108,,,108,,,,,,3,,,,,93,Кафедра информатики (И_ИКИТ)
+,Б2.О.02.02(П),Технологическая (проектно-технологическая) практика,Б2.О,,,6,,,6,6,216,216,,,216,,,,,,,,6,,,93,Кафедра информатики (И_ИКИТ)
+,Б2.О.02.03(П),Преддипломная практика,Б2.О,,,8,,,9,9,324,324,,,324,,,,,,,,,,9,93,Кафедра информатики (И_ИКИТ)
Блок 3.Государственная итоговая аттестация ,,,,,,,,,9,9,324,324,,,324,,,,,,,,,,9,,
+,Б3.01(Д),выполнение и защита выпускной квалификационной работы,Б3,,,,,,9,9,324,324,,,324,,,,,,,,,,9,93,Кафедра информатики (И_ИКИТ)
ФТД.Факультативы ,,,,,,,,,4,4,144,144,72,72,72,,,,,2,,2,,,,,
+,ФТД.01,Архитектура вычислительных систем,ФТД,,3,,,,2,2,72,72,36,36,36,,,,,2,,,,,,93,Кафедра информатики (И_ИКИТ)
