Индекс,,,,Наименование,Формируемые компетенции
Б1,,,,Дисциплины (модули),УК-1; УК-2; УК-3; УК-4; УК-5; УК-6; УК-7; УК-8; УК-9; УК-10; ОПК-1; ОПК-2; ОПК-3; ОПК-4; ОПК-5; ОПК-6; ОПК-7; ОПК-8; ОПК-9; ОПК-10; ОПК-11; ОПК-12; ОПК-13; ОПК-1.1; ОПК-1.2; ОПК-1.3; ОПК-1.4; ПК-1; ПК-2; ПК-3; ПК-4; ПК-5
,Б1.О,,,Обязательная часть,УК-1; УК-2; УК-3; УК-4; УК-5; УК-6; УК-7; УК-8; УК-9; УК-10; ОПК-1; ОПК-2; ОПК-3; ОПК-4; ОПК-5; ОПК-6; ОПК-7; ОПК-8; ОПК-9; ОПК-10; ОПК-11; ОПК-12; ОПК-13; ОПК-1.1; ОПК-1.2; ОПК-1.3; ОПК-1.4
,,Б1.О.01,,Философия,УК-1; УК-5
,,Б1.О.02,,Правоведение,УК-2; УК-10
,,Б1.О.03,,Введение в профессиональную деятельность,УК-2; ОПК-2
,,Б1.О.04,,Технологии личностного роста и социальных взаимодействий,УК-3; УК-6
,,Б1.О.05,,Иностранный язык,УК-4
,,Б1.О.06,,Теория и практика эффективного речевого общения,УК-4
,,Б1.О.07,,"История (история России, всеобщая история)",УК-5; ОПК-13
,,Б1.О.08,,Физическая культура и спорт,УК-7
,,Б1.О.09,,Прикладная физическая культура и спорт,УК-7
,,Б1.О.10,,Безопасность жизнедеятельности,УК-8
,,Б1.О.11,,Экономическая культура и финансовая грамотность,УК-9
,,Б1.О.12,,Основы информационной безопасности,ОПК-1; ОПК-5
,,Б1.О.13,,Организационное и правовое обеспечение информационной безопасности,ОПК-5; ОПК-8
,,Б1.О.14,,Основы управления информационной безопасностью,ОПК-10; ОПК-1.1
,,Б1.О.15,,Сети и системы передачи информации,ОПК-2
,,Б1.О.16,,Программно-аппаратные средства защиты информации,ОПК-2
,,Б1.О.17,,Защита информации от утечки по техническим каналам,ОПК-6; ОПК-9
,,Б1.О.18,,Методы и средства криптографической защиты информации,ОПК-9
,,Б1.О.19,,Алгебра,ОПК-3
,,Б1.О.20,,Аналитическая геометрия,ОПК-3
,,Б1.О.21,,Математический анализ,ОПК-3
,,Б1.О.22,,Дискретная математика,ОПК-3
,,Б1.О.23,,Математическая логика и теория алгоритмов,ОПК-3
,,Б1.О.24,,Теория вероятностей и математическая статистика,ОПК-3; ОПК-11
,,Б1.О.25,,Физика,ОПК-4
,,Б1.О.26,,Электроника и схемотехника,ОПК-4
,,Б1.О.27,,Информатика,ОПК-1
,,Б1.О.28,,Аппаратные средства вычислительной техники,ОПК-2
,,Б1.О.29,,Операционные системы,ОПК-2
,,Б1.О.30,,Компьютерные сети,ОПК-2
,,Б1.О.31,,Языки программирования,ОПК-7
,,Б1.О.32,,Языки программирования. Дополнительные разделы,ОПК-7
,,Б1.О.33,,Технологии и методы программирования,ОПК-7
,,Б1.О.34,,Теория информации,ОПК-1
,,Б1.О.35,,Криптографические протоколы,ОПК-9
,,Б1.О.36,,Теоретико-числовые методы криптографии,ОПК-3
,,Б1.О.37,,Основы построения защищённых компьютерных сетей,ОПК-1.4
,,Б1.О.38,,Основы построения защищенных баз данных,ОПК-1.3
,,Б1.О.39,,Методы оценки безопасности компьютерных систем,ОПК-11; ОПК-12; ОПК-1.4
,,Б1.О.40,,Администрирование средств защиты информации в компьютерных системах и сетях,ОПК-1.2
,,Б1.О.41,,Комплексная защита информации,ОПК-6; ОПК-10; ОПК-1.4
,,Б1.О.42,,Математическое моделирование в задачах информационной безопасности,ОПК-11; ОПК-12
,,Б1.О.43,,Гуманитарные аспекты информационной безопасности,ОПК-1
,,Б1.О.44,,Основы управленческой деятельности,УК-1; УК-2; УК-3
,,Б1.О.45,,Документоведение и документооборот,ОПК-1
,,Б1.О.46,,Акмеология,ОПК-1.4
,Б1.В,,,"Часть, формируемая участниками образовательных отношений",УК-1; УК-4; ПК-1; ПК-2; ПК-3; ПК-4; ПК-5
,,Б1.В.01,,Междисциплинарный курсовой проект,ПК-1; ПК-3; ПК-4; ПК-5
,,Б1.В.02,,Безопасность операционных систем,ПК-2; ПК-5
,,Б1.В.03,,Защита программ и данных,ПК-1; ПК-2; ПК-3; ПК-4; ПК-5
,,Б1.В.04,,Английский язык для профессиональных целей,УК-4
,,Б1.В.ДВ.01,,Дисциплины по выбору Б1.В.ДВ.1,УК-1
,,,Б1.В.ДВ.01.01,Основы вычислительного эксперимента,УК-1
,,,Б1.В.ДВ.01.02,Численные методы,УК-1
,,Б1.В.ДВ.02,,Дисциплины по выбору Б1.В.ДВ.2,ПК-2
,,,Б1.В.ДВ.02.01,Параллельное программирование,ПК-2
,,,Б1.В.ДВ.02.02,Конечные поля и многочлены над ними,ПК-2
Б2,,,,Практика,УК-1; УК-3; УК-4; УК-6; ОПК-7; ОПК-8; ОПК-1.1; ОПК-1.3; ОПК-1.4; ПК-1; ПК-2; ПК-3; ПК-4; ПК-5
,Б2.О,,,Обязательная часть,УК-1; ОПК-7; ОПК-8; ОПК-1.1; ОПК-1.3; ОПК-1.4
,,Б2.О.01(У),,Ознакомительная практика,УК-1; ОПК-7; ОПК-8; ОПК-1.1; ОПК-1.3; ОПК-1.4
,Б2.В,,,"Часть, формируемая участниками образовательных отношений",УК-3; УК-4; УК-6; ПК-1; ПК-2; ПК-3; ПК-4; ПК-5
,,Б2.В.01(П),,Эксплуатационная практика,УК-3; УК-4; УК-6; ПК-1; ПК-2; ПК-3; ПК-4; ПК-5
,,Б2.В.02(П),,Преддипломная,ПК-1; ПК-2; ПК-3; ПК-4; ПК-5
