Индекс,,,Содержание,Тип
УК-1,,,"Способен осуществлять поиск, критический анализ и синтез информации, применять системный подход для решения поставленных задач",УК
,УК-1.1,,"Осуществляет поиск, анализ информации для решения поставленной задачи",-
,,Б1.О.01,Философия,
,,Б2.О.01(У),Ознакомительная практика,
,,Б3.01(Д),Подготовка к процедуре защиты и защита выпускной квалификационной работы,
,,Б3.02(Г),Подготовка к сдаче и сдача государственного экзамена,
,УК-1.2,,Осуществляет критический анализ и синтез информации для решения поставленной задачи,-
,,Б1.О.01,Философия,
,,Б3.01(Д),Подготовка к процедуре защиты и защита выпускной квалификационной работы,
,,Б3.02(Г),Подготовка к сдаче и сдача государственного экзамена,
,УК-1.3,,Применяет системный подход для решения поставленных задач,-
,,Б1.О.01,Философия,
,,Б1.О.44,Основы управленческой деятельности,
,,Б1.В.ДВ.01.01,Основы вычислительного эксперимента,
,,Б1.В.ДВ.01.02,Численные методы,
,,Б3.01(Д),Подготовка к процедуре защиты и защита выпускной квалификационной работы,
,,Б3.02(Г),Подготовка к сдаче и сдача государственного экзамена,
УК-2,,,"Способен определять круг задач в рамках поставленной цели и выбирать оптимальные способы их решения, исходя из действующих правовых норм, имеющихся ресурсов и ограничений",УК
,УК-2.1,,"Формулирует в рамках поставленной цели проекта совокупность взаимосвязанных задач, обеспечивающих ее достижение. Определяет ожидаемые результаты решения выделенных задач",-
,,Б1.О.03,Введение в профессиональную деятельность,
,,Б3.01(Д),Подготовка к процедуре защиты и защита выпускной квалификационной работы,
,,Б3.02(Г),Подготовка к сдаче и сдача государственного экзамена,
,УК-2.2,,Способен выбирать действующие правовые нормы в рамках поставленных задач,-
,,Б1.О.02,Правоведение,
,,Б3.01(Д),Подготовка к процедуре защиты и защита выпускной квалификационной работы,
,,Б3.02(Г),Подготовка к сдаче и сдача государственного экзамена,
,УК-2.3,,"Выбирает оптимальные способы решения задач, исходя из имеющихся ресурсов и ограничений",-
,,Б1.О.02,Правоведение,
,,Б3.01(Д),Подготовка к процедуре защиты и защита выпускной квалификационной работы,
,,Б3.02(Г),Подготовка к сдаче и сдача государственного экзамена,
,УК-2.4,,"Способен разработать план мероприятий, направленных на достижение поставленной цели",-
,,Б1.О.02,Правоведение,
,,Б1.О.44,Основы управленческой деятельности,
,,Б3.01(Д),Подготовка к процедуре защиты и защита выпускной квалификационной работы,
УК-3,,,Способен осуществлять социальное взаимодействие и реализовывать свою роль в команде,УК
,УК-3.1,,Понимает и определяет эффективность использования стратегии сотрудничества,-
,,Б1.О.04,Технологии личностного роста и социальных взаимодействий,
,,Б3.01(Д),Подготовка к процедуре защиты и защита выпускной квалификационной работы,
,УК-3.2,,Учитывает в совместной деятельности особенности поведения и общения разных людей,-
,,Б1.О.04,Технологии личностного роста и социальных взаимодействий,
,,Б1.О.44,Основы управленческой деятельности,
,,Б3.01(Д),Подготовка к процедуре защиты и защита выпускной квалификационной работы,
,УК-3.3,,Сотрудничает с другими членами для достижения поставленной цели,-
