-,-,-,Форма контроля,,,,з.е.,-,Итого акад.часов,,,,,,Курс 1,,,,,,,,,,,,,,Курс 2,,,,,,,,,,,,,,Курс 3,,,,,,,,,,,,,,Курс 4,,,,,,,,,,,,,,Закрепленная кафедра,
,,,,,,,,,,,,,,,Семестр 1,,,,,,,Семестр 2,,,,,,,Семестр 3,,,,,,,Семестр 4,,,,,,,Семестр 5,,,,,,,Семестр 6,,,,,,,Семестр 7,,,,,,,Семестр 8,,,,,,,,
Считать в плане,Индекс,Наименование,Экза мен,Зачет,Зачет с оц.,КР,Факт,Часов в з.е.,Экспер тное,По плану,Конт. раб.,Ауд.,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,Код,Наименование
Блок 1.Дисциплины (модули) ,,,,,,,213,,7996,7996,4048,4048,3084,864,26.5,1004,168,,350,414,72,29.5,1112,220,18,316,414,144,25.5,986,198,54,266,396,72,30.5,1166,252,54,320,432,108,30.5,1144,220,54,258,504,108,28.5,1072,274,108,168,378,144,28,1008,252,126,180,342,108,14,504,96,32,64,204,108,,
Обязательная часть ,,,,,,,192,,7240,7240,3634,3634,2778,828,26.5,1004,168,,350,414,72,29.5,1112,220,18,316,414,144,22.5,878,180,54,230,342,72,23.5,914,198,18,284,342,72,25.5,964,184,54,186,432,108,27.5,1036,274,108,150,360,144,23,828,216,126,108,270,108,14,504,96,32,64,204,108,,
+,Б1.О.01,Философия,,3,,,3,36,108,108,54,54,54,,,,,,,,,,,,,,,,3,108,36,,18,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,Кафедра философии (КФ1_ИФФ)
+,Б1.О.02,Правоведение,,2,,,3,36,108,108,72,72,36,,,,,,,,,3,108,36,,36,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226,Кафедра иностранного права и сравнительного правоведения (ИПиСП_ОЮ)
+,Б1.О.03,Введение в профессиональную деятельность,,2,,,2,36,72,72,36,36,36,,,,,,,,,2,72,18,,18,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
+,Б1.О.04,Технологии личностного роста и социальных взаимодействий,,5,,,2,36,72,72,36,36,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,72,18,,18,36,,,,,,,,,,,,,,,,,,,,,,,404,Кафедра современных образовательных технологий (СОТ_ИППС)
+,Б1.О.05,Иностранный язык,4,123,,,9,36,324,324,144,144,144,36,2,72,,,36,36,,2,72,,,36,36,,2,72,,,36,36,,3,108,,,36,36,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,Кафедра разговорного иностранного языка (РИЯ_ИКИТ)
+,Б1.О.06,Теория и практика эффективного речевого общения,,4,,,3,36,108,108,54,54,54,,,,,,,,,,,,,,,,,,,,,,,3,108,18,,36,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,388,Кафедра русского языка и  речевой коммуникации (РЯиРК_ИФИЯК)
+,Б1.О.07,"История (история России, всеобщая история)",,1,,,3,36,108,108,54,54,54,,3,108,18,,36,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,461,"Кафедра истории России, мировых и региональных цивилизаций"
