Индекс,,,,Каф,Наименование,Формируемые компетенции
Б1,,,,,Дисциплины (модули),УК-1; УК-2; УК-3; УК-4; УК-5; УК-6; УК-7; УК-8; УК-9; УК-10; УК-11; ОПК-1; ОПК-2; ОПК-3; ОПК-4; ОПК-5; ОПК-6; ОПК-7; ОПК-8; ОПК-9; ОПК-10; ПК-1; ПК-2; ПК-3; ПК-4; ПК-5; ПК-6; ПК-7; ПК-8
,Б1.О,,,,Обязательная часть,УК-1; УК-2; УК-4; УК-5; УК-7; УК-8; ОПК-1; ОПК-2; ОПК-3; ОПК-4; ОПК-5; ОПК-6; ОПК-7; ОПК-8; ОПК-9; ОПК-10
,,Б1.О.01,,11,Философия,УК-1; УК-5
,,Б1.О.02,,,История,УК-5
,,,Б1.О.02.01,461,История России,УК-5
,,,Б1.О.02.02,461,Всеобщая история,УК-5
,,Б1.О.03,,96,Иностранный язык,УК-4
,,Б1.О.04,,209,Безопасность жизнедеятельности,УК-8
,,Б1.О.05,,141,Физика,ОПК-1; ОПК-2
,,Б1.О.06,,93,Информатика,ОПК-7; ОПК-10
,,Б1.О.07,,93,Основы программирования,ОПК-7; ОПК-10
,,Б1.О.08,,346,Физическая культура и спорт,УК-7
,,Б1.О.09,,346,Прикладная физическая культура и спорт,УК-7
,,Б1.О.10,,95,Алгебра и геометрия,ОПК-1; ОПК-2
,,Б1.О.11,,95,Математический анализ,ОПК-1; ОПК-2
,,Б1.О.12,,95,Дискретная математика,ОПК-1; ОПК-2
,,Б1.О.13,,95,Теория вероятностей,ОПК-1; ОПК-2
,,Б1.О.14,,95,Математическая логика и теория алгоритмов,ОПК-1; ОПК-2
,,Б1.О.15,,95,Математическая статистика,ОПК-7
,,Б1.О.16,,97,Электротехника и электроника,ОПК-3; ОПК-4
,,Б1.О.17,,97,Теория автоматического управления,ОПК-3; ОПК-7; ОПК-8; ОПК-9
,,Б1.О.18,,389,Теория систем,ОПК-6
,,Б1.О.19,,389,Статистический анализ данных,ОПК-6; ОПК-8
,,Б1.О.20,,11,Защита интеллектуальной собственности,УК-2; ОПК-5
,,Б1.О.21,,389,Методы машинного обучения,УК-1; ОПК-6; ОПК-8
,,Б1.О.22,,389,Методы оптимизации,УК-2; ОПК-7
,,Б1.О.23,,389,Управление в организационных системах,УК-1; ОПК-7
,,Б1.О.24,,389,Моделирование систем,ОПК-3; ОПК-6
,Б1.В,,,,"Часть, формируемая участниками образовательных отношений",УК-1; УК-2; УК-3; УК-4; УК-6; УК-9; УК-10; УК-11; ПК-1; ПК-2; ПК-3; ПК-4; ПК-5; ПК-6; ПК-7; ПК-8
,,Б1.В.01,,389,Введение в профессиональную деятельность,УК-3; УК-6; ПК-2
,,Б1.В.02,,388,Теория и практика эффективного речевого общения,УК-4
,,Б1.В.03,,317,Технологии личностного роста и социальных взаимодействий,УК-3; УК-6; УК-9
,,Б1.В.04,,389,Объектно-ориентированное программирование,ПК-7
,,Б1.В.05,,389,Разработка web-приложений,ПК-7
,,Б1.В.06,,389,Базы данных,ПК-8
,,Б1.В.07,,389,Нейронные сети и их приложения,УК-1; ПК-7
,,Б1.В.08,,98,Методы искусственного интеллекта,УК-1; ПК-7
,,Б1.В.09,,389,Агентное моделирование сложных систем,УК-1; ПК-7
