Индекс,,,,Наименование,Компетенции,Требования к образованию
06,,,,"СВЯЗЬ, ИНФОРМАЦИОННЫЕ И КОММУНИКАЦИОННЫЕ ТЕХНОЛОГИИ",,
,06.003,,,АРХИТЕКТОР ПРОГРАММНОГО ОБЕСПЕЧЕНИЯ,ПК-7; ПК-8,
,,E,,Оценка и выбор варианта архитектуры программного средства,ПК-7; ПК-8,Высшее образование - программы бакалавриата
,,,E/06.5,Оценка и выбор шаблонов (стилей) проектирования для каждого слоя или компонента,ПК-7,
,,,E/17.5,Оценка и выбор технологии доступа к данным,ПК-8,
,06.022,,,СИСТЕМНЫЙ АНАЛИТИК,ПК-1; ПК-2; ПК-3; ПК-4; ПК-5; ПК-6,
,,C,,"Концептуальное, функциональное и логическое проектирование систем среднего и крупного масштаба и сложности",ПК-1; ПК-2; ПК-3; ПК-4; ПК-5; ПК-6,Высшее образование - бакалавриат
,,,C/01.6,Планирование разработки или восстановления требований к системе,ПК-1,
,,,C/02.6,Анализ проблемной ситуации заинтересованных лиц,ПК-2,
,,,C/06.6,Разработка технического задания на систему,ПК-3,
,,,C/11.6,Постановка задачи на разработку требований к подсистемам и контроль их качества,ПК-4,
,,,C/12.6,Сопровождение приемочных испытаний и ввода в эксплуатацию системы,ПК-5,
,,,C/13.6,Обработка запросов на изменение требований к системе,ПК-6,
