-,-,-,Форма контроля,,,,,з.е.,Итого акад.часов,,,,Курс 1,,,,,,,,,,,,,,Курс 2,,,,,,,,,,,,,,Курс 3,,,,,,,,,,,,,,Курс 4,,,,,,,,,,,,,,Закрепленная кафедра
,,,,,,,,,,,,,Семестр 1,,,,,,,Семестр 2,,,,,,,Семестр 3,,,,,,,Семестр 4,,,,,,,Семестр 5,,,,,,,Семестр 6,,,,,,,Семестр 7,,,,,,,Семестр 8,,,,,,,
Считать в плане,Индекс,Наименование,Экза мен,Зачет,Зачет с оц.,КП,КР,Факт,По плану,Конт. раб.,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,Код
Блок 1.Дисциплины (модули) ,,,,,,,,210,7888,3696,3364,828,27.5,1040,150,,332,486,72,29.5,1112,184,18,316,450,144,28,1076,180,54,302,468,72,29,1112,162,36,320,450,144,28.5,1072,148,,312,504,108,25.5,964,148,,348,360,108,29,1044,180,,378,378,108,13,468,32,,96,268,72,
Обязательная часть ,,,,,,,,117,4540,2272,1800,468,23.5,896,132,,314,378,72,22.5,860,148,18,262,324,108,20,788,126,54,230,342,36,18,716,90,36,212,270,108,18.5,712,112,,204,324,72,7.5,316,76,,132,72,36,7,252,54,,72,90,36,,,,,,,,
+,Б1.О.01,Философия,4,,,,,4,144,54,54,36,,,,,,,,,,,,,,,,,,,,,,4,144,18,,36,54,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
+,Б1.О.02,История,,12,,,,4,144,72,72,,2,72,18,,18,36,,2,72,18,,18,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+,Б1.О.02.01,История России,,1,,,,2,72,36,36,,2,72,18,,18,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,461
+,Б1.О.02.02,Всеобщая история,,2,,,,2,72,36,36,,,,,,,,,2,72,18,,18,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,461
+,Б1.О.03,Иностранный язык,4,123,,,,9,324,144,144,36,2,72,,,36,36,,2,72,,,36,36,,2,72,,,36,36,,3,108,,,36,36,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96
+,Б1.О.04,Безопасность жизнедеятельности,,3,,,,4,144,72,72,,,,,,,,,,,,,,,,4,144,36,,36,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209
+,Б1.О.05,Физика,3,2,,,,8,288,126,126,36,,,,,,,,4,144,36,18,18,72,,4,144,18,18,18,54,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141
+,Б1.О.06,Информатика,1,,,,,4,144,54,54,36,4,144,18,,36,54,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93
