Индекс,,,,Содержание,Тип
УК-1,,,,"Способен осуществлять поиск, критический анализ и синтез информации, применять системный подход для решения поставленных задач",УК
,ИД-1УК-1,,,"осуществляет поиск информации, необходимой для решения задачи",-
,,Б1.В.07,,Основы теории систем,
,,Б3.01(Д),,"Выполнение, подготовка к процедуре защиты и защита выпускной квалификационной работы",
,ИД-2УК-1,,,"сравнивает возможные варианты решения, оценивает их преимущества и недостатки, формулирует собственную позицию в рамках поставленной задачи",-
,,Б1.В.07,,Основы теории систем,
,,Б3.01(Д),,"Выполнение, подготовка к процедуре защиты и защита выпускной квалификационной работы",
,ИД-3УК-1,,,оценивает результаты решения поставленной задачи,-
,,Б1.В.07,,Основы теории систем,
,,Б3.01(Д),,"Выполнение, подготовка к процедуре защиты и защита выпускной квалификационной работы",
УК-2,,,,"Способен определять круг задач в рамках поставленной цели и выбирать оптимальные способы их решения, исходя из действующих правовых норм, имеющихся ресурсов и ограничений",УК
,ИД-1УК-2,,,"формулирует совокупность взаимосвязанных задач в рамках поставленной цели работы, обеспечивающих ее достижение",-
,,Б1.О.25,,Экономика и управление производством,
,,Б3.01(Д),,"Выполнение, подготовка к процедуре защиты и защита выпускной квалификационной работы",
,ИД-2УК-2,,,"проектирует решение конкретной задачи проекта, выбирая оптимальный способ ее решения, исходя из действующих правовых норм и имеющихся ресурсов и ограничений",-
,,Б1.О.25,,Экономика и управление производством,
,,Б3.01(Д),,"Выполнение, подготовка к процедуре защиты и защита выпускной квалификационной работы",
,ИД-3УК-2,,,"качественно решает конкретные задачи (исследования, проекта, деятельности) за установленной время",-
,,Б1.О.25,,Экономика и управление производством,
,,Б3.01(Д),,"Выполнение, подготовка к процедуре защиты и защита выпускной квалификационной работы",
УК-3,,,,Способен осуществлять социальное взаимодействие и реализовывать свою роль в команде,УК
,ИД-1УК-3,,,"понимает эффективность стратегии сотрудничества для достижения поставленной цели, определяет свою роль в команде",-
,,Б1.В.06,,Управление техническими системами и процессами,
,,Б3.01(Д),,"Выполнение, подготовка к процедуре защиты и защита выпускной квалификационной работы",
,ИД-2УК-3,,,"способен устанавливать разные виды коммуникации (учебную, деловую, неформальную и др.)",-
,,Б1.В.06,,Управление техническими системами и процессами,
,,Б3.01(Д),,"Выполнение, подготовка к процедуре защиты и защита выпускной квалификационной работы",
,ИД-3УК-3,,,применяет методы командной работы  при планировании производственных показателей,-
,,Б1.В.08,,Организация и планирование производств,
,,Б3.01(Д),,"Выполнение, подготовка к процедуре защиты и защита выпускной квалификационной работы",
УК-4,,,,Способен осуществлять деловую коммуникацию в устной и письменной формах на государственном языке Российской Федерации и иностранном(ых) языке(ах),УК
,ИД-1УК-4,,,демонстрирует навыки устной и письменной деловой коммуникации на русском и иностранном(ых) языках в разных формах в соответствии с поставленными задачами,-
,,Б1.О.03,,Иностранный язык,
,,Б1.В.13,,Теория и практика эффективного речевого общения,
,,Б3.01(Д),,"Выполнение, подготовка к процедуре защиты и защита выпускной квалификационной работы",
