,,,,,,,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,,,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,,,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,,,,,
,,,,,,,p,,,,,,,,,,,,,,,,,,,,,,p,,,p,,,,,,,,,,,,,,,,,,,,,,p,,,p,,,,,,,,,,,,,,,,,,,,,,p,,,,,
,,№,Индекс,Наименование,,Семестр 3,,,,,,,,,,,,,,,,,,,,,,,,,Семестр 4,,,,,,,,,,,,,,,,,,,,,,,,,Итого за курс,,,,,,,,,,,,,,,,,,,,,,,,,Каф.,Наименование кафедры,Семестр,
,,,,,,Контроль,Академических часов,,,,,,,,,,,,,,,,,,,,,,з.е.,Недель,Контроль,Академических часов,,,,,,,,,,,,,,,,,,,,,,з.е.,Недель,Контроль,Академических часов,,,,,,,,,,,,,,,,,,,,,,з.е.,Недель,,,,
,,,,,,,Всего,Кон такт.,Лек,Лек интер,Лек электр,Лек пр. подгот,Лаб,Лаб интер,Лаб электр,Лаб пр. подгот,Пр,Пр интер,Пр электр,Пр пр. подгот,СР,СР интер,СР электр,СР пр. подгот,Контроль,Контроль интер,Контроль электр,Контроль пр. подгот,,,,Всего,Кон такт.,Лек,Лек интер,Лек электр,Лек пр. подгот,Лаб,Лаб интер,Лаб электр,Лаб пр. подгот,Пр,Пр интер,Пр электр,Пр пр. подгот,СР,СР интер,СР электр,СР пр. подгот,Контроль,Контроль интер,Контроль электр,Контроль пр. подгот,,,,Всего,Кон такт.,Лек,Лек интер,Лек электр,Лек пр. подгот,Лаб,Лаб интер,Лаб электр,Лаб пр. подгот,Пр,Пр интер,Пр электр,Пр пр. подгот,СР,СР интер,СР электр,СР пр. подгот,Контроль,Контроль интер,Контроль электр,Контроль пр. подгот,Всего,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ИТОГО (с факультативами),,,,,1076,,,,,,,,,,,,,,,,,,,,,,28,19 3/6,,1220,,,,,,,,,,,,,,,,,,,,,,32,22 1/6,,2296,,,,,,,,,,,,,,,,,,,,,,60,41 4/6,,,,
,,ИТОГО по ОП (без факультативов),,,,,1076,,,,,,,,,,,,,,,,,,,,,,28,,,1220,,,,,,,,,,,,,,,,,,,,,,32,,,2296,,,,,,,,,,,,,,,,,,,,,,60,,,,,
,,"УЧЕБНАЯ НАГРУЗКА, (акад.час/нед)",,"ОП, факультативы (в период ТО)",,,51.5,,,,,,,,,,,,,,,,,,,,,,,,,51.5,,,,,,,,,,,,,,,,,,,,,,,,,51.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ОП, факультативы (в период экз. сес.)",,,54,,,,,,,,,,,,,,,,,,,,,,,,,54,,,,,,,,,,,,,,,,,,,,,,,,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,
