,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,, Документ подписан простой электронной подписью,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,, Информация о владельце: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,, ФИО:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,, Должность:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,, Дата подписания:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,, Уникальный программный ключ:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,МИНИСТЕРСТВО НАУКИ И ВЫСШЕГО ОБРАЗОВАНИЯ РФ,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,СОГЛАСОВАНО,,,,,,,,,,,,,,,,,УТВЕРЖДАЮ,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,УЧЕБНЫЙ ПЛАН,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,"  ФГАОУ ВО Сибирский федеральный университет
ИНСТИТУТ КОСМИЧЕСКИХ И ИНФОРМАЦИОННЫХ ТЕХНОЛОГИЙ  ",,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,УТВЕРЖДАЮ,,,,,,,,,,
22,,План одобрен Ученым советом вуза,,,,,,,,,УЧЕБНЫЙ ПЛАН,,,,,,,,Ректор СФУ ,,,,,,,Румянцев М.В.,,,,
23,,Протокол №             от ,,,,,,,,,,,,,,,,,,"""___"" ____________ 20___ г.",,,,,,,,,,
24,,,,,,,по программе  бакалавриата,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,27.03.04,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,27.03.04 УПРАВЛЕНИЕ В ТЕХНИЧЕСКИХ СИСТЕМАХ,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,Профиль:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,Военная специальность:             ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,Военная специализация:              ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,Предназначение выпускников:      ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,Кафедра: ,"Кафедра систем автоматики, автоматизированного управления и проектирования (СААУП_ИКИТ)",,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,Факультет: ,Институт космических и информационных технологий,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,Квалификация: бакалавр,,,,,,,,,,,,,Год начала подготовки (по учебному плану),,,,,,,2021,,,,,,,,
40,,,,,,,,,,,,,,,Учебный год,,,,,,,2021-2022,,,,,,,,
41,,Форма обучения: очная форма,,,,,,,,,,,,,Образовательный стандарт (ФГОС),,,,,,, № 871 от 29.07.2020,,,,,,,,
42,,Срок получения образования: 4г,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,Код,Области профессиональной деятельности и (или) сферы профессиональной деятельности. Профессиональные стандарты,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,28,ПРОИЗВОДСТВО МАШИН И ОБОРУДОВАНИЯ,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,28.003,СПЕЦИАЛИСТ ПО АВТОМАТИЗАЦИИ И МЕХАНИЗАЦИИ МЕХАНОСБОРОЧНОГО ПРОИЗВОДСТВА,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,40,СКВОЗНЫЕ ВИДЫ ПРОФЕССИОНАЛЬНОЙ ДЕЯТЕЛЬНОСТИ В ПРОМЫШЛЕННОСТИ,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,40.057,СПЕЦИАЛИСТ ПО АВТОМАТИЗИРОВАННЫМ СИСТЕМАМ УПРАВЛЕНИЯ МАШИНОСТРОИТЕЛЬНЫМ ПРЕДПРИЯТИЕМ,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,Основной,Типы задач профессиональной деятельности,,,,,,,,,,,,СОГЛАСОВАНО,,,,,,,,,,,,,,,
52,,+,проектно-конструкторский,,,,,,,,,,,,Руководитель УД,,,,,,,,,,/ Козель Н.А./ ,,,,,
53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,Директор ИКИТ,,,,,,,,,,/ Кытманов А.А./ ,,,,,
55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,Зав. Кафедрой СААУП_ИКИТ,,,,,,,,,,/ Ченцов С.В./ ,,,,,
57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
