,,,,,,,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,,,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,,,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,,,,,
,,,,,,,p,,,,,,,,,,,,,,,,,,,,,,p,,,p,,,,,,,,,,,,,,,,,,,,,,p,,,p,,,,,,,,,,,,,,,,,,,,,,p,,,,,
,,№,Индекс,Наименование,,Семестр 9,,,,,,,,,,,,,,,,,,,,,,,,,Семестр A,,,,,,,,,,,,,,,,,,,,,,,,,Итого за курс,,,,,,,,,,,,,,,,,,,,,,,,,Каф.,Наименование кафедры,Семестр,
,,,,,,Контроль,Академических часов,,,,,,,,,,,,,,,,,,,,,,з.е.,Недель,Контроль,Академических часов,,,,,,,,,,,,,,,,,,,,,,з.е.,Недель,Контроль,Академических часов,,,,,,,,,,,,,,,,,,,,,,з.е.,Недель,,,,
,,,,,,,Всего,Кон такт.,Лек,Лек интер,Лек электр,Лек пр. подгот,Лаб,Лаб интер,Лаб электр,Лаб пр. подгот,Пр,Пр интер,Пр электр,Пр пр. подгот,СР,СР интер,СР электр,СР пр. подгот,Контроль,Контроль интер,Контроль электр,Контроль пр. подгот,,,,Всего,Кон такт.,Лек,Лек интер,Лек электр,Лек пр. подгот,Лаб,Лаб интер,Лаб электр,Лаб пр. подгот,Пр,Пр интер,Пр электр,Пр пр. подгот,СР,СР интер,СР электр,СР пр. подгот,Контроль,Контроль интер,Контроль электр,Контроль пр. подгот,,,,Всего,Кон такт.,Лек,Лек интер,Лек электр,Лек пр. подгот,Лаб,Лаб интер,Лаб электр,Лаб пр. подгот,Пр,Пр интер,Пр электр,Пр пр. подгот,СР,СР интер,СР электр,СР пр. подгот,Контроль,Контроль интер,Контроль электр,Контроль пр. подгот,Всего,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ИТОГО (с факультативами),,,,,1152,,,,,,,,,,,,,,,,,,,,,,32,20 1/6,,1008,,,,,,,,,,,,,,,,,,,,,,28,20 1/6,,2160,,,,,,,,,,,,,,,,,,,,,,60,40 2/6,,,,
,,ИТОГО по ОП (без факультативов),,,,,1152,,,,,,,,,,,,,,,,,,,,,,32,,,1008,,,,,,,,,,,,,,,,,,,,,,28,,,2160,,,,,,,,,,,,,,,,,,,,,,60,,,,,
,,"УЧЕБНАЯ НАГРУЗКА, (акад.час/нед)",,"ОП, факультативы (в период ТО)",,,57.6,,,,,,,,,,,,,,,,,,,,,,,,,49.4,,,,,,,,,,,,,,,,,,,,,,,,,53.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ОП, факультативы (в период экз. сес.)",,,54,,,,,,,,,,,,,,,,,,,,,,,,,54,,,,,,,,,,,,,,,,,,,,,,,,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ауд. нагр. (ОП - элект. курсы по физ.к.),,,29.2,,,,,,,,,,,,,,,,,,,,,,,,,27.8,,,,,,,,,,,,,,,,,,,,,,,,,28.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Конт. раб. (ОП - элект. курсы по физ.к.),,,29.2,,,,,,,,,,,,,,,,,,,,,,,,,27.8,,,,,,,,,,,,,,,,,,,,,,,,,28.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ауд. нагр. (элект. курсы по физ.к.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"КОНТАКТНАЯ РАБОТА, ОП (час/год)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,996,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ДИСЦИПЛИНЫ (МОДУЛИ) И РАССРЕД. ПРАКТИКИ,,,,,1152,510,234,,,,198,,,,78,,,,498,,,,144,,,,32,"ТО: 17 1/2
Э: 2 2/3",,1008,486,216,,,,198,,,,72,,,,378,,,,144,,,,28,"ТО: 17 1/2
Э: 2 2/3",,2160,996,450,,,,396,,,,150,,,,876,,,,288,,,,60,"ТО: 35
Э: 5 1/3",,,,
1,,1,Б1.О.02,"История (история России, всеобщая история)",,За,108,54,18,,16,,,,,,36,,,,54,,16,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,За,108,54,18,,16,,,,,,36,,,,54,,16,,,,,,3,,10,(ликвидирована) Кафедра истории России (ИР_ИФФ),1,6509002
1,,2,Б1.О.03,Иностранный язык,,За,72,36,,,,,,,,,36,,8,,36,,36,,,,,,2,,За,72,36,,,,,,,,,36,,,,36,,,,,,,,2,,За(2),144,72,,,,,,,,,72,,8,,72,,36,,,,,,4,,96,Кафедра разговорного иностранного языка (РИЯ_ИКИТ),1234,6509056
1,,3,Б1.О.15,Физическая культура и спорт,,За,18,18,6,,6,,,,,,12,,12,,,,,,,,,,0.5,,За,18,18,4,,,,,,,,14,,,,,,,,,,,,0.5,,За(2),36,36,10,,6,,,,,,26,,12,,,,,,,,,,1,,346,Кафедра физической культуры (ФК_ИФКСТ),1256,6509065
1,,4,Б1.О.16,Прикладная физическая культура и спорт,,За,50,50,,,,,,,,,50,,40,,,,,,,,,,,,За,50,50,,,,,,,,,50,,,,,,,,,,,,,,За(2),100,100,,,,,,,,,100,,40,,,,,,,,,,,,346,Кафедра физической культуры (ФК_ИФКСТ),123456,6509066
1,,5,Б1.О.17,Правоведение,,,,,,,,,,,,,,,,,,,,,,,,,,,За,108,72,36,,,,,,,,36,,,,36,,,,,,,,3,,За,108,72,36,,,,,,,,36,,,,36,,,,,,,,3,,226,Кафедра иностранного права и сравнительного правоведения (ИПиСП_ОЮ),2,6509064
1,,6,Б1.О.21,Введение в профессиональную деятельность,,,,,,,,,,,,,,,,,,,,,,,,,,,За,108,54,18,,,,,,,,36,,,,54,,,,,,,,3,,За,108,54,18,,,,,,,,36,,,,54,,,,,,,,3,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ),2,6509041
1,,7,Б1.О.23,Алгебра,,За,108,72,36,,,,,,,,36,,,,36,,,,,,,,3,,Эк,144,54,36,,,,,,,,18,,,,54,,,,36,,,,4,,Эк За,252,126,72,,,,,,,,54,,,,90,,,,36,,,,7,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ),12,6509026
1,,8,Б1.О.24,Аналитическая геометрия,,Эк,180,72,36,,,,,,,,36,,,,72,,72,,36,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,Эк,180,72,36,,,,,,,,36,,,,72,,72,,36,,,,5,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ),1,6509024
1,,9,Б1.О.26,Математический анализ,,За,180,90,36,,,,,,,,54,,,,90,,,,,,,,5,,Эк,180,90,36,,,,,,,,54,,,,54,,,,36,,,,5,,Эк За,360,180,72,,,,,,,,108,,,,144,,,,36,,,,10,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ),12,6509022
1,,10,Б1.О.28,Дискретная математика,,,,,,,,,,,,,,,,,,,,,,,,,,,Эк,180,72,36,,,,,,,,36,,,,72,,,,36,,,,5,,Эк,180,72,36,,,,,,,,36,,,,72,,,,36,,,,5,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ),2,6509029
1,,11,Б1.О.35,Физика,,,,,,,,,,,,,,,,,,,,,,,,,,,За,144,72,36,,,,18,,,,18,,,,72,,,,,,,,4,,За,144,72,36,,,,18,,,,18,,,,72,,,,,,,,4,,141,Кафедра физики  (Ф2_ИФО),23,6509062
1,,12,Б1.О.38,Информатика,,Эк,144,54,18,,,,,,,,36,,,,54,,,,36,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,Эк,144,54,18,,,,,,,,36,,,,54,,,,36,,,,4,,93,Кафедра информатики (И_ИКИТ),1,6509011
1,,13,Б1.О.41,Языки программирования,,За,144,72,18,,,,,,,,54,,,,72,,,,,,,,4,,Эк,144,54,18,,,,,,,,36,,,,54,,,,36,,,,4,,Эк За,288,126,36,,,,,,,,90,,,,126,,,,36,,,,8,,94,Кафедра информационных систем (ИС_ИКИТ),12,6509010
2,,1,Б1.О.01,Философия,,За,108,54,18,,,,,,,,36,,,,54,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,За,108,54,18,,,,,,,,36,,,,54,,,,,,,,3,,11,Кафедра философии (КФ1_ИФФ),3,6509067
2,,2,Б1.О.03,Иностранный язык,,За,72,36,,,,,,,,,36,,,,36,,,,,,,,2,,Эк,108,36,,,,,,,,,36,,,,36,,,,36,,,,3,,Эк За,180,72,,,,,,,,,72,,,,72,,,,36,,,,5,,96,Кафедра разговорного иностранного языка (РИЯ_ИКИТ),1234,6509056
2,,3,Б1.О.16,Прикладная физическая культура и спорт,,За,68,68,,,,,,,,,68,,,,,,,,,,,,,,За,68,68,,,,,,,,,68,,,,,,,,,,,,,,За(2),136,136,,,,,,,,,136,,,,,,,,,,,,,,346,Кафедра физической культуры (ФК_ИФКСТ),123456,6509066
2,,4,Б1.О.19,Теория и практика эффективного речевого общения,,,,,,,,,,,,,,,,,,,,,,,,,,,За,108,54,18,,,,,,,,36,,,,54,,,,,,,,3,,За,108,54,18,,,,,,,,36,,,,54,,,,,,,,3,,388,Кафедра русского языка и  речевой коммуникации (РЯиРК_ИФИЯК),4,6509069
2,,5,Б1.О.25,Дополнительные главы алгебры,,Эк,180,72,36,,,,,,,,36,,,,72,,,,36,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,Эк,180,72,36,,,,,,,,36,,,,72,,,,36,,,,5,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ),3,6509027
2,,6,Б1.О.27,Дополнительные главы математического анализа,,За,144,72,36,,,,,,,,36,,,,72,,,,,,,,4,,Эк,180,90,36,,,,,,,,54,,,,54,,,,36,,,,5,,Эк За,324,162,72,,,,,,,,90,,,,126,,,,36,,,,9,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ),34,6509023
2,,7,Б1.О.29,Математическая логика и теория алгоритмов,,За КР,144,54,18,,,,,,,,36,,,,90,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,За КР,144,54,18,,,,,,,,36,,,,90,,,,,,,,4,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ),3,6509028
2,,8,Б1.О.30,Теория вероятностей и математическая статистика,,,,,,,,,,,,,,,,,,,,,,,,,,,Эк,180,72,36,,,,,,,,36,,,,72,,,,36,,,,5,,Эк,180,72,36,,,,,,,,36,,,,72,,,,36,,,,5,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ),45,6509025
2,,9,Б1.О.31,Дифференциальные уравнения,,,,,,,,,,,,,,,,,,,,,,,,,,,За,108,72,36,,,,,,,,36,,,,36,,,,,,,,3,,За,108,72,36,,,,,,,,36,,,,36,,,,,,,,3,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ),4,6509021
2,,10,Б1.О.35,Физика,,Эк,144,54,18,,,,18,,,,18,,,,54,,,,36,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,Эк,144,54,18,,,,18,,,,18,,,,54,,,,36,,,,4,,141,Кафедра физики  (Ф2_ИФО),23,6509062
2,,11,Б1.О.37,Электроника и схемотехника,,,,,,,,,,,,,,,,,,,,,,,,,,,За,144,72,36,,,,18,,,,18,,,,72,,,,,,,,4,,За,144,72,36,,,,18,,,,18,,,,72,,,,,,,,4,,97,"Кафедра систем автоматики, автоматизированного управления и проектирования (СААУП_ИКИТ)",45,6523982
2,,12,Б1.О.39,Информационные технологии,,За,108,72,36,,,,36,,,,,,,,36,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,За,108,72,36,,,,36,,,,,,,,36,,,,,,,,3,,94,Кафедра информационных систем (ИС_ИКИТ),3,6509014
2,,13,Б1.О.42,Языки программирования. Дополнительные разделы,,За,144,72,36,,,,,,,,36,,,,72,,,,,,,,4,,Эк,180,72,36,,,,,,,,36,,,,72,,,,36,,,,5,,Эк За,324,144,72,,,,,,,,72,,,,144,,,,36,,,,9,,92,Кафедра вычислительной техники (ВТ_ИКИТ),34,6509009
3,,1,Б1.О.04,Безопасность жизнедеятельности,,За,108,54,18,,,,18,,,,18,,,,54,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,За,108,54,18,,,,18,,,,18,,,,54,,,,,,,,3,,209,Кафедра техносферной и экологической безопасности ,5,6509063
3,,2,Б1.О.05,Основы информационной безопасности,,Эк,144,72,36,,,,,,,,36,,,,36,,,,36,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,Эк,144,72,36,,,,,,,,36,,,,36,,,,36,,,,4,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ),5,6509015
3,,3,Б1.О.08,Системы управления базами данных,,,,,,,,,,,,,,,,,,,,,,,,,,,За,108,72,36,,,,36,,,,,,,,36,,,,,,,,3,,За,108,72,36,,,,36,,,,,,,,36,,,,,,,,3,,94,Кафедра информационных систем (ИС_ИКИТ),6,6509012
3,,4,Б1.О.10,Защита информации от утечки по техническим каналам,,,,,,,,,,,,,,,,,,,,,,,,,,,Эк,180,72,36,,,,18,,,,18,,,,72,,,,36,,,,5,,Эк,180,72,36,,,,18,,,,18,,,,72,,,,36,,,,5,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ),6,6509017
