-,-,-,Форма контроля,,,,з.е.,-,Итого акад.часов,,,,,,Курс 1,,,,,,,,,,,,,,Курс 2,,,,,,,,,,,,,,Курс 3,,,,,,,,,,,,,,Курс 4,,,,,,,,,,,,,,Курс 5,,,,,,,,,,,,,,Курс 6,,,,,,,,,,,,,,Закрепленная кафедра
,,,,,,,,,,,,,,,Семестр 1,,,,,,,Семестр 2,,,,,,,Семестр 3,,,,,,,Семестр 4,,,,,,,Семестр 5,,,,,,,Семестр 6,,,,,,,Семестр 7,,,,,,,Семестр 8,,,,,,,Семестр 9,,,,,,,Семестр A,,,,,,,Семестр B,,,,,,,Семестр C,,,,,,,
Считать в плане,Индекс,Наименование,Экза мен,Зачет,Зачет с оц.,КР,Факт,Часов в з.е.,Экспер тное,По плану,Конт. раб.,Ауд.,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,Код
Блок 1.Дисциплины (модули) ,,,,,,,285,,10588,10588,5296,5296,4104,1188,26.5,1004,168,,350,414,72,30.5,1148,220,18,334,432,144,29,1112,198,54,302,486,72,28,1076,198,18,320,396,144,30.5,1144,220,72,276,468,108,26.5,1000,220,126,204,342,108,29,1044,288,54,198,396,108,27,972,216,198,54,360,144,30,1080,234,198,72,432,144,28,1008,216,198,72,378,144,,,,,,,,,,,,,,,
Обязательная часть ,,,,,,,250,,9328,9328,4684,4684,3600,1044,26.5,1004,168,,350,414,72,30.5,1148,220,18,334,432,144,29,1112,198,54,302,486,72,28,1076,198,18,320,396,144,30.5,1144,220,72,276,468,108,23.5,892,184,90,204,306,108,26,936,252,54,162,360,108,23,828,180,144,54,306,144,17,612,144,90,72,234,72,16,576,144,126,36,198,72,,,,,,,,,,,,,,,
+,Б1.О.01,Философия,,3,,,3,36,108,108,54,54,54,,,,,,,,,,,,,,,,3,108,18,,36,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
+,Б1.О.02,"История (история России, всеобщая история)",,1,,,3,36,108,108,54,54,54,,3,108,18,,36,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
+,Б1.О.03,Иностранный язык,4,123,,,9,36,324,324,144,144,144,36,2,72,,,36,36,,2,72,,,36,36,,2,72,,,36,36,,3,108,,,36,36,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96
+,Б1.О.04,Безопасность жизнедеятельности,,5,,,3,36,108,108,54,54,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108,18,18,18,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209
+,Б1.О.05,Основы информационной безопасности,5,,,,4,36,144,144,72,72,36,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,144,36,,36,36,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95
+,Б1.О.06,Операционные системы,7,,,,5,36,180,180,72,72,72,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,180,36,36,,72,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92
+,Б1.О.07,Компьютерные сети,8,,,,5,36,180,180,72,72,72,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,180,36,36,,72,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92
+,Б1.О.08,Системы управления базами данных,,6,,,3,36,108,108,72,72,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108,36,36,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94
+,Б1.О.09,Защита в операционных системах,8,,,,5,36,180,180,72,72,72,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,180,36,36,,72,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92
+,Б1.О.10,Защита информации от утечки по техническим каналам,6,,,,5,36,180,180,72,72,72,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,180,36,18,18,72,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95
+,Б1.О.11,Основы построения защищённых компьютерных сетей,A,,,,4,36,144,144,72,72,36,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,144,36,36,,36,36,,,,,,,,,,,,,,,95
+,Б1.О.12,Основы построения защищенных баз данных,A,,,,5,36,180,180,90,90,54,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,180,36,54,,54,36,,,,,,,,,,,,,,,95
+,Б1.О.13,Методы и средства криптографической защиты информации,89,,,,11,36,396,396,180,180,144,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,180,36,54,,54,36,6,216,36,54,,90,36,,,,,,,,,,,,,,,,,,,,,,95
+,Б1.О.14,Криптографические протоколы,9,,,,5,36,180,180,72,72,72,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,180,36,36,,72,36,,,,,,,,,,,,,,,,,,,,,,95
+,Б1.О.15,Физическая культура и спорт,,1256,,,2,36,72,72,72,72,,,0.5,18,6,,12,,,0.5,18,4,,14,,,,,,,,,,,,,,,,,0.5,18,4,,14,,,0.5,18,4,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346
+,Б1.О.16,Прикладная физическая культура и спорт,,123456,,,,,328,328,328,328,,,,50,,,50,,,,50,,,50,,,,68,,,68,,,,68,,,68,,,,46,,,46,,,,46,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346
+,Б1.О.17,Правоведение,,2,,,3,36,108,108,72,72,36,,,,,,,,,3,108,36,,36,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226
+,Б1.О.18,Личностное развитие и командообразование,,5,,,4,36,144,144,72,72,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,144,18,,54,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,383
+,Б1.О.19,Теория и практика эффективного речевого общения,,4,,,3,36,108,108,54,54,54,,,,,,,,,,,,,,,,,,,,,,,3,108,18,,36,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,388
