,,,,Итого,,,,,,,,,,,,,,,,,,Курс 1,,,,,,,Курс 2,,,,,,,Курс 3,,,,,,,Курс 4,,,,,,,Курс 5,,,,,,,Курс 6,,,,,,,Курс 7,,,,,
,,,,Баз.%,Вар.%,ДВ(от Вар.)%,з.е.,,,,,,,Часов,,,,,,,,Всего,Всего,Сем. 1,,Сем. 2,,,Всего,Всего,Сем. 3,,Сем. 4,,,Всего,Всего,Сем. 5,,Сем. 6,,,Всего,Всего,Сем. 7,,Сем. 8,,,Всего,Всего,Сем. 9,,Сем. A,,,Всего,Всего,Сем. B,,Сем. C,,,Всего,Всего,Сем. D,,Сем. E,
,,,,,,,Мин.,Макс.,,,Факт,Факт,Переат.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Итого (с факультативами),12,,,,,315,459,,,334,334,,,,,,,,,,60,,26.5,,33.5,,,60,,29,,31,,,62,,32.5,,29.5,,,62,,30,,32,,,60,,32,,28,,,30,,30,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Итого по ОП (без факультативов),11,,,,,315,449,,,330,330,,,,,,,,,,60,,26.5,,33.5,,,60,,29,,31,,,60,,30.5,,29.5,,,60,,30,,30,,,60,,32,,28,,,30,,30,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Б1,Дисциплины (модули),732138,,88%,12%,17.1%,282,340,,,285,285,,,,,,,,,,57,,26.5,,30.5,,,57,,29,,28,,,57,,30.5,,26.5,,,56,,29,,27,,,58,,30,,28,,,,,,,,,,,,,,,
Б1.О,Обязательная часть,732139,,,,,230,280,,,250,250,,,,,,,,,,57,,26.5,,30.5,,,57,,29,,28,,,54,,30.5,,23.5,,,49,,26,,23,,,33,,17,,16,,,,,,,,,,,,,,,
Б1.В,"Часть, формируемая участниками образовательных отношений",732140,,,,,,100,,,35,35,,,,,,,,,,,,,,,,,,,,,,,,3,,,,3,,,7,,3,,4,,,25,,13,,12,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Б2,Практика,732141,,83%,17%,0%,27,100,,,36,36,,,,,,,,,,3,,,,3,,,3,,,,3,,,3,,,,3,,,4,,1,,3,,,2,,2,,,,,21,,21,,,,,,,,,,
Б2.О,Обязательная часть,732142,,,,,27,100,,,30,30,,,,,,,,,,3,,,,3,,,,,,,,,,,,,,,,,4,,1,,3,,,2,,2,,,,,21,,21,,,,,,,,,,
Б2.В,"Часть, формируемая участниками образовательных отношений",732143,,,,,1,100,,,6,6,,,,,,,,,,,,,,,,,3,,,,3,,,3,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Б3,Государственная итоговая аттестация,732144,,,,,6,9,,,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,9,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ФТД,Факультативные дисциплины,732145,,,,,,10,,,4,4,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Учебная нагрузка (акад.час/нед),"ОП, факультативы (в период ТО)",,,,,,,,,54,,,,,,,,,,,-,,51.4,,55.3,,,-,,57.3,,53.3,,,-,,59.2,,49.2,,,-,,55.6,,51.6,,,-,,57.6,,49.4,,,-,,,,,,,-,,,,,
,,"ОП, факультативы (в период экз. сессий)",,,,,,,,,52.5,,,,,,,,,,,-,,54,,48,,,-,,54,,54,,,-,,54,,54,,,-,,54,,48,,,-,,54,,54,,,-,,,,,,,-,,,,,
,,в период гос. экзаменов,,,,,,,,,,,,,,,,,,,,-,,,,,,,-,,,,,,,-,,,,,,,-,,,,,,,-,,,,,,,-,,54,,,,,-,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Контактная работа в период ТО (акад.час/нед),ОП без элект. дисциплин по физ.к.,,,,,,,,,28,,,,,,,,,,,-,,25.8,,28.8,,,-,,26.8,,26.8,,,-,,29.9,,27.8,,,-,,31.2,,26.1,,,-,,29.2,,27.8,,,-,,,,,,,-,,,,,
,,элективные дисциплины по физ.к.,,,,,,,,,1.9,,,,,,,,,,,-,,2.8,,2.8,,,-,,3.8,,3.9,,,-,,2.7,,2.6,,,-,,,,,,,-,,,,,,,-,,,,,,,-,,,,,
,Контактная работа (акад.час/год),обязательная,,,,,,,,,496.8,,,,,,,,,,,-,,990,,,,,-,,954,,,,,-,,1026,,,,,-,,1020,,,,,-,,996,,,,,-,,,,,,,-,,,,,
,,необязательная,,,,,,,,,54.6,,,,,,,,,,,-,,100,,,,,-,,136,,,,,-,,110,,,,,-,,36,,,,,-,,,,,,,-,,,,,,,-,,,,,
,Суммарная контактная работа (акад. час),Блок Б1,,,,,,,,,5296,,,,,,,,,,,-,,518,,572,,,-,,554,,536,,,-,,568,,550,,,-,,540,,468,,,-,,504,,486,,,-,,,,,,,-,,,,,
,,в том числе по элект. дисц. по ф.к.,,,,,,,,,328,,,,,,,,,,,-,,50,,50,,,-,,68,,68,,,-,,46,,46,,,-,,,,,,,-,,,,,,,-,,,,,,,-,,,,,
,,Блок Б2,,,,,,,,,18,,,,,,,,,,,-,,,,,,,-,,,,,,,-,,,,,,,-,,6,,6,,,-,,6,,,,,-,,,,,,,-,,,,,
,,Блок Б3,,,,,,,,,14,,,,,,,,,,,-,,,,,,,-,,,,,,,-,,,,,,,-,,,,,,,-,,,,,,,-,,14,,,,,-,,,,,
,,Блок ФТД,,,,,,,,,54,,,,,,,,,,,-,,,,,,,-,,,,,,,-,,18,,,,,-,,,,36,,,-,,,,,,,-,,,,,,,-,,,,,
,,Итого по всем блокам,,,,,,,,,5382,,,,,,,,,,,-,,518,,572,,,-,,554,,536,,,-,,586,,550,,,-,,546,,510,,,-,,510,,486,,,-,,14,,,,,-,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Аудиторная нагрузка (акад.час/нед),ОП без элект. дисциплин по физ.к.,,,,,,,,,28,,,,,,,,,,,-,,25.8,,28.8,,,-,,26.8,,26.8,,,-,,29.9,,27.8,,,-,,31.2,,26.1,,,-,,29.2,,27.8,,,-,,,,,,,-,,,,,
,,элективные дисциплины по физ.к.,,,,,,,,,,,,,,,,,,,,-,,2.8,,2.8,,,-,,3.8,,3.9,,,-,,2.7,,2.6,,,-,,,,,,,-,,,,,,,-,,,,,,,-,,,,,
,Аудиторная нагрузка (акад.час/год),обязательная,,,,,,,,,496.8,,,,,,,,,,,-,,990,,,,,-,,954,,,,,-,,1026,,,,,-,,1020,,,,,-,,996,,,,,-,,,,,,,-,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Обязательные формы контроля,  ЭКЗАМЕН (Эк),,,,,,,,,,,,,,,,,,,,6,,2,,4,,,6,,2,,4,,,6,,3,,3,,,7,,3,,4,,,8,,4,,4,,,1,,1,,,,,,,,,,
,,  ЗАЧЕТ (За),,,,,,,,,,,,,,,,,,,,11,,6,,5,,,9,,6,,3,,,12,,6,,6,,,7,,5,,2,,,6,,3,,3,,,,,,,,,,,,,,,
,,  КУРСОВАЯ РАБОТА (КР),,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Процент ... занятий от аудиторных (%), лекционных,,,,,,,,,43.85%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, в интерактивной форме,,,,,,,,,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Объём обязательной части от общего объёма программы (%),,,,,,,,,,84.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Объём конт. работы от общего объёма времени на реализацию дисциплин (модулей) (%),,,,,,,,,,50.02%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Доля учебных занятий и практик в ОП (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Доля практик в профессиональном цикле (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Процент практической подготовки от общего объёма часов (%),Б1,,,,,,,,,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Б2,,,,,,,,,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Б3,,,,,,,,,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Итого по блокам,,,,,,,,,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Процент практической подготовки от общего объёма часов на практики (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
