Индекс,,,,Наименование,Формируемые компетенции
Б1,,,,Дисциплины (модули),УК-1; УК-2; УК-3; УК-4; УК-5; УК-6; УК-7; УК-8; УК-9; УК-10; ОПК-1; ОПК-2; ОПК-3; ОПК-4; ОПК-5; ОПК-6; ОПК-7; ОПК-8; ОПК-9; ОПК-10; ОПК-11; ОПК-12; ОПК-13; ОПК-14; ОПК-15; ОПК-16; ОПК-5.1; ОПК-5.2; ОПК-5.3; ПК-1; ПК-2; ПК-3; ПК-4; ПК-5; ПК-6
,Б1.О,,,Обязательная часть,УК-1; УК-2; УК-3; УК-4; УК-5; УК-6; УК-7; УК-8; УК-9; УК-10; ОПК-1; ОПК-2; ОПК-3; ОПК-4; ОПК-5; ОПК-6; ОПК-7; ОПК-8; ОПК-9; ОПК-10; ОПК-11; ОПК-12; ОПК-13; ОПК-14; ОПК-15; ОПК-16; ОПК-5.1; ОПК-5.2; ОПК-5.3
,,Б1.О.01,,Философия,УК-1
,,Б1.О.02,,"История (история России, всеобщая история)",УК-5; ОПК-16
,,Б1.О.03,,Иностранный язык,УК-4
,,Б1.О.04,,Безопасность жизнедеятельности,УК-8
,,Б1.О.05,,Основы информационной безопасности,ОПК-1; ОПК-5
,,Б1.О.06,,Организационное и правовое обеспечение информационной безопасности,ОПК-5
,,Б1.О.07,,Защита информации от утечки по техническим каналам,ОПК-6; ОПК-9
,,Б1.О.08,,Методы и средства криптографической защиты информации,ОПК-10
,,Б1.О.09,,Сети и системы передачи информации,ОПК-2; ОПК-9
,,Б1.О.10,,Программно-аппаратные средства защиты информации,ОПК-13; ОПК-15
,,Б1.О.11,,Управление информационной безопасностью,ОПК-13; ОПК-15; ОПК-5.1
,,Б1.О.12,,Разработка и эксплуатация автоматизированных систем в защищённом исполнении,ОПК-8; ОПК-11; ОПК-14; ОПК-5.1; ОПК-5.2; ОПК-5.3
,,Б1.О.13,,Операционные системы,ОПК-2; ОПК-12
,,Б1.О.14,,Криптографические протоколы,ОПК-10
,,Б1.О.15,,Физическая культура и спорт,УК-7
,,Б1.О.16,,Прикладная физическая культура и спорт,УК-7
,,Б1.О.17,,Правоведение,УК-2; УК-10
,,Б1.О.18,,Личностное развитие и командообразование,УК-3; УК-6
,,Б1.О.19,,Теория и практика эффективного речевого общения,УК-4
,,Б1.О.20,,Экономическая культура и финансовая грамотность,УК-9
,,Б1.О.21,,Введение в профессиональную деятельность,ОПК-1
,,Б1.О.22,,Защита в операционных системах,ОПК-12
,,Б1.О.23,,Алгебра,ОПК-3
,,Б1.О.24,,Аналитическая геометрия,ОПК-3
,,Б1.О.25,,Дополнительные главы алгебры,ОПК-3
,,Б1.О.26,,Математический анализ,ОПК-3
,,Б1.О.27,,Дополнительные главы математического анализа,ОПК-3
,,Б1.О.28,,Дискретная математика,ОПК-3
,,Б1.О.29,,Математическая логика и теория алгоритмов,ОПК-3
,,Б1.О.30,,Теория вероятностей и математическая статистика,ОПК-3
,,Б1.О.31,,Дифференциальные уравнения,ОПК-3
,,Б1.О.32,,Теория функций комплексного переменного,ОПК-3
,,Б1.О.33,,Численные методы,ОПК-3
,,Б1.О.34,,Исследование операций,ОПК-3
,,Б1.О.35,,Физика,ОПК-4
,,Б1.О.36,,Системы управления базами данных,ОПК-12
,,Б1.О.37,,Электроника и схемотехника,ОПК-4
,,Б1.О.38,,Информатика,ОПК-1
,,Б1.О.39,,Информационные технологии,ОПК-1; ОПК-9
,,Б1.О.40,,Аппаратные средства вычислительной техники,ОПК-13
,,Б1.О.41,,Языки программирования,ОПК-7
,,Б1.О.42,,Языки программирования. Дополнительные разделы,ОПК-7
,,Б1.О.43,,Технологии и методы программирования,ОПК-7
,,Б1.О.44,,Параллельное программирование,ОПК-7
,,Б1.О.45,,Теория информации,ОПК-1
,,Б1.О.46,,Теоретико-числовые методы в криптографии,ОПК-3
,,Б1.О.47,,Основы построения защищённых компьютерных сетей,ОПК-12
,,Б1.О.48,,Открытые информационные системы,ОПК-5.1; ОПК-5.2; ОПК-5.3
,,Б1.О.49,,Основы научных исследований,ОПК-8
,,Б1.О.50,,Основы управленческой деятельности,УК-1; УК-2; УК-3
,,Б1.О.51,,Компьютерные сети,ОПК-2; ОПК-12
,,Б1.О.52,,Комплексная защита информации,ОПК-6; ОПК-5.1; ОПК-5.2; ОПК-5.3
,,Б1.О.53,,Акмеология,УК-1; УК-6
,Б1.В,,,"Часть, формируемая участниками образовательных отношений",УК-4; ПК-1; ПК-2; ПК-3; ПК-4; ПК-5; ПК-6
,,Б1.В.01,,Анализ систем обеспечения информационной безопасности объектов информатизации,ПК-2; ПК-4; ПК-5
,,Б1.В.02,,Междисциплинарный курсовой проект,ПК-1; ПК-3; ПК-4; ПК-5; ПК-6
,,Б1.В.03,,Английский язык для профессиональных целей,УК-4
,,Б1.В.04,,Защита программ и данных,ПК-1; ПК-3; ПК-4; ПК-5; ПК-6
,,Б1.В.05,,Документоведение и документооборот,ПК-4
,,Б1.В.06,,Искусственный интеллект при принятии решений,ПК-2
,,Б1.В.07,,Администрирование средств защиты информации в компьютерных системах и сетях,ПК-3; ПК-4
,,Б1.В.ДВ.01,,Дисциплины по выбору Б1.В.ДВ.2,ПК-2
,,,Б1.В.ДВ.01.01,Математическое моделирование в задачах информационной безопасности,ПК-2
,,,Б1.В.ДВ.01.02,Конечные поля и многочлены над ними,ПК-1
,,Б1.В.ДВ.02,,Дисциплины по выбору Б1.В.ДВ.3,ПК-2; ПК-4
,,,Б1.В.ДВ.02.01,Модели безопасности компьютерных систем,ПК-2; ПК-4
