Название практики,,,Курс,Сем. курса,Кафедра,+,Продолжительность (недель),,Студ.,Часов,,,
,,,,,,,,,,на студента,на студента в неделю,на подгруппу,на подгруппу в неделю
Вид практики: Учебная практика ,,,,,,,,,,,,,
,Ознакомительная практика,,1,2,,,2,,,,,,
,,,,,95,+,2,,0,0,1,0,0
,Учебно-лабораторный практикум,,2,2,,,2,,,,,,
,,,,,95,+,2,,0,0,1,0,0
Вид практики: Производственная практика ,,,,,,,,,,,,,
,Эксплуатационная практика,,3,2,,,2,,,,,,
,,,,,95,+,2,,0,0,1,0,0
,Научно-исследовательская работа. Часть 1,,4,1,,,0,2/3,,,,,
,,,,,95,+,0,2/3,0,0,1,0,0
,Научно-исследовательская работа. Часть 1,,4,2,,,2,,,,,,
,,,,,95,+,2,,0,0,1,0,0
,Научно-исследовательская работа. Часть 1,,5,1,,,1,1/3,,,,,
,,,,,95,+,1,1/3,0,0,1,0,0
,Преддипломная практика,,6,1,,,12,,,,,,
,,,,,95,+,12,,0,0,1,0,0
,Научно-исследовательская работа. Часть 2,,6,1,,,2,,,,,,
,,,,,95,+,2,,0,0,1,0,0
Итого по факту,,,,,,,24,,,,,,
Итого по плану,,,,,,,24,,,,,,
