Comp,Weight
ОПК,ОПК-1,80.5,35.1528%
,ОПК-4,18,7.86026%
,ОПК-2,11,4.80349%
,ОПК-3,5,2.18341%,114.5,50%
ПК,ПК-1,31,13.5371%
,ПК-3,29.5,12.8821%
,ПК-2,16.5,7.20524%
,ПК-4,5,2.18341%,82,35.8079%
УК,УК-4,10.5,4.58515%
,УК-5,5.33333,2.32897%
,УК-8,3,1.31004%
,УК-1,3.33333,1.4556%
,УК-7,2,0.873362%
,УК-2,2.5,1.0917%
,УК-10,2,0.873362%
,УК-9,1,0.436681%
,УК-6,1.33333,0.582242%
,УК-3,1.5,0.655022%,32.5,14.1921%
Количество зачётных единиц на все предметы,244
Количество зачётных единиц учтённых предметы,229
Количество дисциплин,58
Количество учтённых дисциплин,56
