Id,Label
0,Автоматизация п
1,Алгебра и геоме
2,Алгоритмы и стр
3,БД
4,БЖД
5,Проф деят
6,Дискретная мате
7,Защита вычислит
8,Ин Яз
9,Интернет-технол
10,Информатика
11,ИБЗИ
12,История
13,История вычисли
14,Мат Анализ
15,Междисциплинарн
16,Междисциплин ку
17,Методы и систем
18,Методы проектир
19,Микропроцессорн
20,Ознакомительная
21,Операционные си
22,Основы адаптивн
23,Основы академич
24,Основы констр С
25,Основы программ
26,Основы проект П
27,Основы профилак
28,Основы сетевых 
29,Параллельные вы
30,Прикладная теор
31,Прик Физ культ
32,Программируемые
33,Профессионально
34,Решение оптимиз
35,Сети и телекомм
36,Системное ПО
37,Схемотехника ЭВ
38,Теория  и практ
39,Теория вероятно
40,Теория управлен
41,Физика
42,Физ культ
43,Философия
44,ЭВМ и периферий
45,Экономическая к
46,Эксплуатационна
47,Электротехника 
