Source,Target,Type,Kind,Id,Label,timeset,Weight
0,4,Undirected,,,,,11.658986
0,16,Undirected,,,,,10.599078
0,24,Undirected,,,,,6.359447
0,25,Undirected,,,,,12.718894
0,30,Undirected,,,,,13.778802
1,2,Undirected,,,,,10.599078
1,12,Undirected,,,,,13.778802
1,22,Undirected,,,,,13.778802
1,32,Undirected,,,,,8.479263
1,37,Undirected,,,,,8.479263
2,12,Undirected,,,,,13.778802
3,10,Undirected,,,,,12.718894
3,44,Undirected,,,,,6.359447
4,16,Undirected,,,,,15.898618
4,25,Undirected,,,,,11.658986
6,11,Undirected,,,,,9.539171
6,13,Undirected,,,,,9.539171
6,20,Undirected,,,,,11.658986
6,22,Undirected,,,,,14.838710
6,32,Undirected,,,,,9.539171
6,34,Undirected,,,,,11.658986
6,36,Undirected,,,,,9.539171
6,38,Undirected,,,,,11.658986
6,39,Undirected,,,,,9.539171
6,42,Undirected,,,,,34.976959
6,45,Undirected,,,,,15.898618
7,14,Undirected,,,,,8.479263
7,24,Undirected,,,,,8.479263
7,31,Undirected,,,,,13.778802
8,9,Undirected,,,,,21.198157
8,35,Undirected,,,,,22.258065
8,43,Undirected,,,,,20.138249
9,35,Undirected,,,,,11.658986
9,43,Undirected,,,,,9.539171
10,44,Undirected,,,,,12.718894
11,36,Undirected,,,,,6.359447
11,39,Undirected,,,,,6.359447
11,42,Undirected,,,,,8.479263
13,20,Undirected,,,,,8.479263
13,23,Undirected,,,,,6.359447
13,39,Undirected,,,,,6.359447
13,42,Undirected,,,,,8.479263
15,33,Undirected,,,,,5.299539
15,41,Undirected,,,,,5.299539
16,25,Undirected,,,,,10.599078
17,41,Undirected,,,,,7.419355
18,33,Undirected,,,,,7.419355
19,20,Undirected,,,,,10.599078
19,21,Undirected,,,,,10.599078
20,21,Undirected,,,,,10.599078
20,37,Undirected,,,,,8.479263
20,42,Undirected,,,,,10.599078
22,32,Undirected,,,,,23.317972
22,34,Undirected,,,,,13.778802
22,37,Undirected,,,,,11.658986
22,38,Undirected,,,,,13.778802
22,42,Undirected,,,,,13.778802
22,45,Undirected,,,,,18.018433
23,39,Undirected,,,,,6.359447
24,25,Undirected,,,,,6.359447
24,30,Undirected,,,,,13.778802
24,31,Undirected,,,,,11.658986
25,30,Undirected,,,,,13.778802
26,27,Undirected,,,,,7.419355
26,31,Undirected,,,,,12.718894
26,44,Undirected,,,,,7.419355
28,40,Undirected,,,,,2.119816
29,31,Undirected,,,,,10.599078
32,34,Undirected,,,,,8.479263
32,37,Undirected,,,,,6.359447
32,38,Undirected,,,,,8.479263
32,42,Undirected,,,,,8.479263
32,45,Undirected,,,,,12.718894
33,41,Undirected,,,,,6.359447
34,38,Undirected,,,,,10.599078
34,42,Undirected,,,,,10.599078
34,45,Undirected,,,,,14.838710
35,43,Undirected,,,,,10.599078
36,39,Undirected,,,,,6.359447
36,42,Undirected,,,,,8.479263
38,42,Undirected,,,,,10.599078
38,45,Undirected,,,,,14.838710
39,42,Undirected,,,,,8.479263
42,45,Undirected,,,,,14.838710
