Source,Target,Type,Kind,Id,Label,timeset,Weight
48,47,Undirected,,,,,1.589862
60,59,Undirected,,,,,4.239631
100,99,Undirected,,,,,2.649770
114,113,Undirected,,,,,7.949309
142,141,Undirected,,,,,2.384793
143,142,Undirected,,,,,2.384793
144,143,Undirected,,,,,2.384793
175,174,Undirected,,,,,4.239631
314,313,Undirected,,,,,4.239631
394,393,Undirected,,,,,0.000000
395,394,Undirected,,,,,0.000000
396,395,Undirected,,,,,0.000000
397,396,Undirected,,,,,0.000000
398,397,Undirected,,,,,0.000000
422,421,Undirected,,,,,3.533026
423,422,Undirected,,,,,3.533026
438,437,Undirected,,,,,4.239631
562,561,Undirected,,,,,0.529954
566,565,Undirected,,,,,0.529954
636,635,Undirected,,,,,4.769585
141,617,Undirected,,,,,5.564516
393,561,Undirected,,,,,0.529954
561,393,Undirected,,,,,0.529954
617,141,Undirected,,,,,5.564516
100,338,Undirected,,,,,5.829493
114,128,Undirected,,,,,13.248848
128,114,Undirected,,,,,13.248848
254,464,Undirected,,,,,7.419355
338,100,Undirected,,,,,5.829493
338,422,Undirected,,,,,6.712750
394,562,Undirected,,,,,0.529954
422,338,Undirected,,,,,6.712750
464,254,Undirected,,,,,7.419355
562,394,Undirected,,,,,0.529954
59,353,Undirected,,,,,7.419355
353,59,Undirected,,,,,7.419355
353,423,Undirected,,,,,6.712750
367,437,Undirected,,,,,8.479263
423,353,Undirected,,,,,6.712750
437,367,Undirected,,,,,8.479263
4,60,Undirected,,,,,7.419355
60,4,Undirected,,,,,7.419355
159,593,Undirected,,,,,8.479263
313,453,Undirected,,,,,14.838710
313,481,Undirected,,,,,9.539171
313,593,Undirected,,,,,9.539171
313,635,Undirected,,,,,9.009217
397,565,Undirected,,,,,0.529954
453,313,Undirected,,,,,14.838710
453,481,Undirected,,,,,8.479263
453,593,Undirected,,,,,8.479263
453,635,Undirected,,,,,7.949309
481,313,Undirected,,,,,9.539171
481,453,Undirected,,,,,8.479263
481,593,Undirected,,,,,10.599078
481,635,Undirected,,,,,10.069124
565,397,Undirected,,,,,0.529954
593,159,Undirected,,,,,8.479263
593,313,Undirected,,,,,9.539171
593,453,Undirected,,,,,8.479263
593,481,Undirected,,,,,10.599078
593,635,Undirected,,,,,10.069124
635,313,Undirected,,,,,9.009217
635,453,Undirected,,,,,7.949309
635,481,Undirected,,,,,10.069124
635,593,Undirected,,,,,10.069124
90,314,Undirected,,,,,10.599078
90,552,Undirected,,,,,9.539171
90,636,Undirected,,,,,11.129032
314,90,Undirected,,,,,10.599078
314,636,Undirected,,,,,9.009217
398,566,Undirected,,,,,0.529954
552,90,Undirected,,,,,9.539171
566,398,Undirected,,,,,0.529954
636,90,Undirected,,,,,11.129032
636,314,Undirected,,,,,9.009217
21,175,Undirected,,,,,9.539171
175,21,Undirected,,,,,9.539171
189,329,Undirected,,,,,6.359447
329,189,Undirected,,,,,6.359447
288,526,Undirected,,,,,8.479263
526,288,Undirected,,,,,8.479263
