Comp,Weight
OPK;OPK-1;28;12.6126%
;OPK-2;18;8.10811%
;OPK-5;9.5;4.27928%
;OPK-4;6.66667;3.003%
;OPK-7;5;2.25225%
;OPK-3;5.5;2.47748%
;OPK-9;4;1.8018%
;OPK-8;3.33333;1.5015%
;OPK-6;3.5;1.57658%;83.5;37.6126%
PK;PK-5;27.5;12.3874%
;PK-4;8.66667;3.9039%
;PK-8;6;2.7027%
;PK-6;5;2.25225%
;PK-3;5.5;2.47748%
;PK-7;3;1.35135%;55.6667;25.0751%
UK;UK-4;24;10.8108%
;UK-5;23.1667;10.4354%
;UK-3;9.83333;4.42943%
;UK-1;7;3.15315%
;UK-2;5.83333;2.62763%
;UK-9;4;1.8018%
;UK-8;3;1.35135%
;UK-10;3;1.35135%
;UK-7;2;0.900901%
;UK-6;1;0.45045%;82.8333;37.3123%
Количество зачётных единиц на все предметы;255
Количество зачётных единиц учтённых предметы;222
Количество дисциплин;56
Количество учтённых дисциплин;50
