Id,Label
0,"Веб-аналитика/"
1,Выч сети сист и
2,"Природа, культ"
3,3D-моделировани
4,3D-скульптинг/P
5,UI/UX дизайн
6,БД
7,БЖД
8,Проф деят
9,Всемирное культ
10,Высшая математи
11,Графический диз
12,Дискретная мате
13,Ин Яз
14,Иностранный язы
15,ИБЗИ
16,Информационная 
17,Информационные 
18,История России
19,История исскуст
20,Компьютерный ан
21,Конфликты и пер
22,Макроэкономика
23,Маркетинг в соц
24,Медиапланирован
25,Методы анализа 
26,Ознакомительная
27,Операционные си
28,Основы научно-и
29,Основы проектно
30,Основы цифровог
31,Полиграфический
32,Право
33,Прикладная физи
34,Программировани
35,Проектирование 
36,Психология визу
37,Разработка комп
38,Разработка моби
39,Режиссура интер
40,Системный анали
41,Специальные ист
42,Теория вероятно
43,Технологии допо
44,Технологии оциф
45,Управление прое
46,Физ культ
47,Философия
48,Эконометрика
49,Эффективная ком
