Id,Label
8,"Веб-аналитика/"_8
18,Выч сети сист и_4
33,"Природа, культ"_5
47,3D-моделировани_5
48,3D-моделировани_6
63,3D-скульптинг/P_7
77,UI/UX дизайн_7
87,БД_3
88,БД_4
101,БЖД_3
113,Проф деят_1
114,Проф деят_2
131,Всемирное культ_5
141,Высшая математи_1
142,Высшая математи_2
159,Графический диз_5
170,Дискретная мате_2
183,Ин Яз_1
184,Ин Яз_2
185,Ин Яз_3
186,Ин Яз_4
201,Иностранный язы_5
202,Иностранный язы_6
203,Иностранный язы_7
204,Иностранный язы_8
214,ИБЗИ_4
232,Информационная _8
239,Информационные _1
253,История России_1
271,История исскуст_5
272,История исскуст_6
285,Компьютерный ан_5
302,Конфликты и пер_8
310,Макроэкономика_2
328,Маркетинг в соц_6
343,Медиапланирован_7
357,Методы анализа _7
366,Ознакомительная_2
381,Операционные си_3
400,Основы научно-и_8
409,Основы проектно_3
427,Основы цифровог_7
442,Полиграфический_8
452,Право_4
463,Прикладная физи_1
464,Прикладная физи_2
465,Прикладная физи_3
466,Прикладная физи_4
467,Прикладная физи_5
468,Прикладная физи_6
477,Программировани_1
478,Программировани_2
479,Программировани_3
493,Проектирование _3
494,Проектирование _4
510,Психология визу_6
525,Разработка комп_7
539,Разработка моби_7
552,Режиссура интер_6
562,Системный анали_2
579,Специальные ист_5
591,Теория вероятно_3
609,Технологии допо_7
622,Технологии оциф_6
637,Управление прое_7
645,Физ культ_1
646,Физ культ_2
649,Физ культ_5
650,Физ культ_6
662,Философия_4
676,Эконометрика_4
687,Эффективная ком_1
