Id,Label
1,История_1
22,Администрирован_8
35,Акмеология_7
43,Алгебра_1
44,Алгебра_2
57,Аналитическая г_1
75,Английский язык_5
76,Английский язык_6
87,Аппаратные сред_3
104,БЖД_6
116,Безопасность оп_4
128,Проф деят_2
144,Гуманитарные ас_4
156,Дискретная мате_2
173,Документоведени_5
188,Защита информац_6
199,Защита программ_3
200,Защита программ_4
211,Ин Яз_1
212,Ин Яз_2
213,Ин Яз_3
214,Ин Яз_4
225,Информатика_1
246,Комплексная защ_8
257,Компьютерные се_5
273,Криптографическ_7
283,Математическая _3
295,Мат Анализ_1
296,Мат Анализ_2
313,Математическое _5
329,Междисциплинарн_7
342,Методы и средст_6
358,Методы оценки б_8
366,Ознакомительная_2
368,Ознакомительная_4
381,Операционные си_3
399,Организационное_7
413,Основы вычислит_7
425,Основы информац_5
441,Основы построен_7
455,Основы построен_7
468,Основы стеганог_6
484,Основы управлен_8
497,Основы управлен_7
509,Параллельное пр_5
540,Подготовка к сд_8
548,Правоведение_2
561,Прик Физ культ_1
562,Прик Физ культ_2
563,Прик Физ культ_3
564,Прик Физ культ_4
565,Прик Физ культ_5
566,Прик Физ культ_6
580,Программно-аппа_6
581,Программно-аппа_7
594,Сети и системы _6
608,Теоретико-число_6
620,Теория вероятно_4
634,Эффектив реч об_4
650,Теория информац_6
664,Технологии и ме_6
677,Технологии личн_5
688,Физика_2
689,Физика_3
701,Физ культ_1
702,Физ культ_2
705,Физ культ_5
706,Физ культ_6
717,Философия_3
733,Цифровая обрабо_5
746,Экономическая к_4
762,Эксплуатационна_6
774,Электроника и с_4
775,Электроника и с_5
785,Языки программи_1
786,Языки программи_2
801,Языки программи_3
802,Языки программи_4
