Source,Target,Type,Kind,Id,Label,timeset,Weight
0,37,Undirected,,,,,22.212766
0,51,Undirected,,,,,7.404255
1,37,Undirected,,,,,11.106383
1,38,Undirected,,,,,7.404255
2,17,Undirected,,,,,8.638298
2,25,Undirected,,,,,8.638298
2,26,Undirected,,,,,11.106383
2,31,Undirected,,,,,6.170213
2,37,Undirected,,,,,11.106383
2,38,Undirected,,,,,7.404255
3,4,Undirected,,,,,14.808511
3,11,Undirected,,,,,14.808511
3,20,Undirected,,,,,12.340426
3,21,Undirected,,,,,20.978723
3,37,Undirected,,,,,16.042553
3,43,Undirected,,,,,14.808511
3,44,Undirected,,,,,12.340426
4,11,Undirected,,,,,12.340426
4,20,Undirected,,,,,9.872340
4,21,Undirected,,,,,18.510638
4,37,Undirected,,,,,13.574468
4,43,Undirected,,,,,12.340426
4,44,Undirected,,,,,9.872340
5,15,Undirected,,,,,14.808511
5,37,Undirected,,,,,11.106383
5,38,Undirected,,,,,7.404255
5,45,Undirected,,,,,7.404255
5,54,Undirected,,,,,7.404255
6,9,Undirected,,,,,6.170213
6,18,Undirected,,,,,9.872340
6,27,Undirected,,,,,8.638298
6,37,Undirected,,,,,11.106383
6,41,Undirected,,,,,11.106383
6,42,Undirected,,,,,7.404255
7,37,Undirected,,,,,11.106383
8,14,Undirected,,,,,24.680851
8,23,Undirected,,,,,6.170213
8,36,Undirected,,,,,7.404255
8,37,Undirected,,,,,22.212766
8,54,Undirected,,,,,14.808511
9,18,Undirected,,,,,8.638298
9,27,Undirected,,,,,7.404255
9,35,Undirected,,,,,6.170213
9,37,Undirected,,,,,19.744681
9,38,Undirected,,,,,6.170213
9,39,Undirected,,,,,6.170213
9,41,Undirected,,,,,9.872340
9,42,Undirected,,,,,6.170213
10,12,Undirected,,,,,7.404255
10,16,Undirected,,,,,8.638298
10,30,Undirected,,,,,11.106383
10,37,Undirected,,,,,11.106383
10,38,Undirected,,,,,7.404255
10,46,Undirected,,,,,7.404255
11,20,Undirected,,,,,9.872340
11,21,Undirected,,,,,18.510638
11,37,Undirected,,,,,13.574468
11,43,Undirected,,,,,12.340426
11,44,Undirected,,,,,9.872340
12,16,Undirected,,,,,8.638298
12,30,Undirected,,,,,11.106383
12,37,Undirected,,,,,11.106383
12,38,Undirected,,,,,7.404255
12,46,Undirected,,,,,7.404255
13,17,Undirected,,,,,9.872340
13,19,Undirected,,,,,9.872340
13,24,Undirected,,,,,9.872340
13,37,Undirected,,,,,24.680851
14,23,Undirected,,,,,44.425532
14,36,Undirected,,,,,12.340426
14,37,Undirected,,,,,80.212766
14,38,Undirected,,,,,24.680851
14,54,Undirected,,,,,61.702128
15,37,Undirected,,,,,18.510638
15,38,Undirected,,,,,14.808511
15,45,Undirected,,,,,14.808511
15,54,Undirected,,,,,14.808511
16,30,Undirected,,,,,12.340426
16,37,Undirected,,,,,12.340426
16,38,Undirected,,,,,8.638298
16,46,Undirected,,,,,8.638298
17,25,Undirected,,,,,9.872340
17,26,Undirected,,,,,12.340426
17,31,Undirected,,,,,7.404255
17,34,Undirected,,,,,8.638298
17,37,Undirected,,,,,37.021277
