Source,Target,Type,Kind,Id,Label,timeset,Weight
86,85,Undirected,,,,,4.077670
128,127,Undirected,,,,,2.293689
129,128,Undirected,,,,,2.293689
130,129,Undirected,,,,,2.293689
175,174,Undirected,,,,,4.587379
226,225,Undirected,,,,,5.097087
324,323,Undirected,,,,,4.587379
352,351,Undirected,,,,,0.000000
353,352,Undirected,,,,,0.000000
354,353,Undirected,,,,,0.000000
355,354,Undirected,,,,,0.000000
356,355,Undirected,,,,,0.000000
440,439,Undirected,,,,,4.587379
521,520,Undirected,,,,,4.077670
534,533,Undirected,,,,,0.509709
538,537,Undirected,,,,,0.509709
578,577,Undirected,,,,,4.587379
29,225,Undirected,,,,,20.388350
141,323,Undirected,,,,,17.330097
225,29,Undirected,,,,,20.388350
323,141,Undirected,,,,,17.330097
351,533,Undirected,,,,,0.509709
533,351,Undirected,,,,,0.509709
86,310,Undirected,,,,,7.135922
86,506,Undirected,,,,,7.135922
100,226,Undirected,,,,,20.388350
100,310,Undirected,,,,,8.155340
100,506,Undirected,,,,,8.155340
100,520,Undirected,,,,,18.349515
128,408,Undirected,,,,,5.351942
226,100,Undirected,,,,,20.388350
226,310,Undirected,,,,,8.155340
226,506,Undirected,,,,,8.155340
226,520,Undirected,,,,,18.349515
310,86,Undirected,,,,,7.135922
310,100,Undirected,,,,,8.155340
310,226,Undirected,,,,,8.155340
310,506,Undirected,,,,,12.233010
310,520,Undirected,,,,,7.135922
352,534,Undirected,,,,,0.509709
408,128,Undirected,,,,,5.351942
506,86,Undirected,,,,,7.135922
506,100,Undirected,,,,,8.155340
506,226,Undirected,,,,,8.155340
506,310,Undirected,,,,,12.233010
506,520,Undirected,,,,,7.135922
520,100,Undirected,,,,,18.349515
520,226,Undirected,,,,,18.349515
520,310,Undirected,,,,,7.135922
520,506,Undirected,,,,,7.135922
534,352,Undirected,,,,,0.509709
199,395,Undirected,,,,,12.233010
199,521,Undirected,,,,,14.271845
395,199,Undirected,,,,,12.233010
395,521,Undirected,,,,,14.271845
521,199,Undirected,,,,,14.271845
521,395,Undirected,,,,,14.271845
312,508,Undirected,,,,,12.233010
508,312,Undirected,,,,,12.233010
61,257,Undirected,,,,,7.135922
61,439,Undirected,,,,,6.626214
257,61,Undirected,,,,,7.135922
257,383,Undirected,,,,,9.174757
257,439,Undirected,,,,,9.684466
355,537,Undirected,,,,,0.509709
383,257,Undirected,,,,,9.174757
439,61,Undirected,,,,,6.626214
439,257,Undirected,,,,,9.684466
537,355,Undirected,,,,,0.509709
20,174,Undirected,,,,,9.684466
20,244,Undirected,,,,,8.155340
174,20,Undirected,,,,,9.684466
174,244,Undirected,,,,,7.645631
174,272,Undirected,,,,,7.645631
244,20,Undirected,,,,,8.155340
244,174,Undirected,,,,,7.645631
272,174,Undirected,,,,,7.645631
356,538,Undirected,,,,,0.509709
538,356,Undirected,,,,,0.509709
49,175,Undirected,,,,,19.368932
49,189,Undirected,,,,,8.155340
49,469,Undirected,,,,,8.155340
175,49,Undirected,,,,,19.368932
175,189,Undirected,,,,,7.645631
175,469,Undirected,,,,,7.645631
175,483,Undirected,,,,,15.291262
189,49,Undirected,,,,,8.155340
189,175,Undirected,,,,,7.645631
189,469,Undirected,,,,,6.116505
469,49,Undirected,,,,,8.155340
469,175,Undirected,,,,,7.645631
469,189,Undirected,,,,,6.116505
483,175,Undirected,,,,,15.291262
8,302,Undirected,,,,,16.310680
8,498,Undirected,,,,,45.873786
302,8,Undirected,,,,,16.310680
498,8,Undirected,,,,,45.873786
